pname,pid,category,category_id,total_id,city,city_id
世茂滨江花园,100101B2094654DA69ABFA479F,类型,1,1,上海,310000
上海外滩悅榕庄酒店,100101B2094750D56CA4F9459E,类型,2,2,上海,310000
上海,1.00E+24,类型,3,3,上海,310000
海德苑,100101B2094655D26CA5FA449A,类型,4,4,上海,310000
寝室床上,100101B2094751D46AA7FC439E,类型,5,5,上海,310000
新天地,1.00E+24,类型,6,6,上海,310000
金茂88层观光厅,100101B2094654DA69A7FB459E,类型,7,7,上海,310000
上海杉达学院,100101B2094655D26BA7F84499,类型,8,8,上海,310000
南京路步行街,100101B2094654DA6FA1F9419C,类型,9,9,上海,310000
共富一村,100101B2094757D06FA0F4449E,类型,10,10,上海,310000
聚动力河畔球场,100101B209445DD36FA7F84399,类型,11,11,上海,310000
复旦大学上海医学院(东区),100101B2094757D06FAAFA429C,类型,12,12,上海,310000
苏家巷小区,100101B2094654D464A2FB4499,类型,13,13,上海,310000
上海外滩海湾大厦酒店,100101B2094753DB6DA7FD499C,类型,14,14,上海,310000
外滩万国建筑博览,100101B2094751D36BAAF9459A,类型,15,15,上海,310000
长寿商业广场,100101B2094655D26FA3FA409B,类型,16,16,上海,310000
达安花园,100101B2094757D06FA1FA449F,类型,17,17,上海,310000
南杨小区,100101B2094654DB6CA0F8469E,类型,18,18,上海,310000
上海复旦皇冠假日酒店,100101B2094757D06FA1F4499B,类型,19,19,上海,310000
上海师范大学(奉贤校区),100101B2094757D06FA2FE499F,类型,20,20,上海,310000
上海天地软件园,100101B2094654D56BA4FC409A,类型,21,21,上海,310000
上海凯宾斯基大酒店,100101B2094753D66DA6FD409B,类型,22,22,上海,310000
香港广场北座,100101B2094757D569A3FE449F,类型,23,23,上海,310000
金沙缘圆宝邸,100101B2094757D06FAAF4499E,类型,24,24,上海,310000
娄山关路(地铁站),100101B2094757D06EAAFF4399,类型,25,25,上海,310000
纯K(浙江路店),100101B2094654DB69A4F4479D,类型,26,26,上海,310000
河滨城市花园,100101B2094757D06BA7F5449E,类型,27,27,上海,310000
上海广场,100101B2094750D56DABFB469A,类型,28,28,上海,310000
春申景城湖滨晨韵,100101B2094654DB6CA4FF459F,类型,29,29,上海,310000
南江苑,100101B2094757D068A3FD469B,类型,30,30,上海,310000
世纪新城,100101B2094654DB6EA2FB419D,类型,31,31,上海,310000
上海商城,100101B2094757D06FA3FC449C,类型,32,32,上海,310000
爱庐世纪新苑,100101B2094757D068A2FC4298,类型,33,33,上海,310000
外滩三号,100101B2094654DA6FAAFD4799,类型,34,34,上海,310000
梅赛德斯-奔驰文化中心,100101B2094750D36BA7FC409B,类型,35,35,上海,310000
新丰小区,100101B2094757D064ABFF449B,类型,36,36,上海,310000
华高苑,100101B2094757D068A2FD409D,类型,37,37,上海,310000
高科苑,100101B2094757D16BA2FB4793,类型,38,38,上海,310000
涟泉大江户（上海莘庄店）,100101B2094551D064A3FC4998,类型,39,39,上海,310000
在路上,100101B2094554D564A4F84298,类型,40,40,上海,310000
