name,address,subtitle,outputaddress,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat
世茂滨江花园,潍坊西路2弄之1-18号,总签到2810人  上海市  住宅,上海市浦东新区潍坊西路2弄1-18号,121.515199,31.221854,121.51082298392836,31.223922063510155
上海外滩悦榕庄酒店,公平路19号(近海平路)(提篮桥地铁站3号口步行460米),月签到19人  上海市  五星级宾馆,上海市虹口区公平路19号海平路提篮桥,121.503694,31.253533,121.4992741501971,31.255552516648308
海德苑,博山东路112弄之1-10号,总签到209人  上海市  住宅,上海市浦东新区博山东路112弄之1,121.563607,31.248587,121.55936740315359,31.25075548622447
寝室床上,上海市松江区广富林街道东华大学松江校区上海工程技术大学松江校区,总签到427人  上海市  校园,上海市松江区广富林街道东华大学松江校区上海工程技术大学松江校区,121.206283,31.055301,121.20183848417717,31.057382372647144
金茂88层观光厅,世纪大道88号金茂大厦,总签到2851人  上海市  国家级景点,上海市浦东新区世纪大道88号金茂大厦,121.505613,31.235276,121.50120162697854,31.237309470482714
上海杉达学院,金海路2727号(顾唐路地铁站1号口步行160米),月签到12人  上海市  高校,上海市浦东新区金海路2727号,121.657968,31.269093,121.65370157059584,31.27121265928036
南京路步行街,南京东路558号,月签到576人  上海市  景点,上海市黄浦区南京路步行街558号,121.479957,31.235909,121.47545432469744,31.237866158914393
共富一村,顾村镇共富路183弄,总签到1609人  上海市  住宅,上海市宝山区顾村镇共富路183弄,121.430897,31.350925,121.42625709442167,31.35272994295775
聚动力河畔球场,鲁班路909,总签到75人  上海市  足球场,上海市黄浦区鲁班路909号,121.47927,31.192688,121.47476869518188,31.19466379380865
复旦大学上海医学院(东区),上海市徐汇区医学院路138号,总签到4841人  上海市  高校,上海市徐汇区医学院路138号,121.450536,31.196931,121.44594887347439,31.198833205960653
苏家巷小区,芷江西路393弄(中山北路地铁站2号口步行230米),总签到628人  上海市  住宅,上海市静安区芷江西路393弄中山北路,121.433423,31.250481,121.42879586990419,31.2523285972365
上海外滩海湾大厦酒店,上海虹口区黄浦路53号,总签到462人  上海市  五星级宾馆,上海市虹口区黄浦路53号,121.491652,31.244506,121.4871895042547,31.24649340375998
万国建筑博览群,滇池路63号,月签到77人  上海市  景点,上海市黄浦区滇池路74号,121.488373,31.239582,121.48389926181996,31.241561902313066
长寿商业广场,长寿路181弄1~12号,总签到1663人  上海市  商场,上海市普陀区长寿路181弄1-12号,121.441418,31.24243,121.43680637405706,31.244293561193665
达安花园,长寿路999弄1-66号(武宁路地铁站5B口步行90米),总签到2251人  上海市  住宅,上海市静安区长寿路九九九弄1-66号,121.430026,31.231415,121.42539520551354,31.233266781325405
南杨小区,长清路643弄1~42号,总签到386人  上海市  住宅,上海市浦东新区长清路643弄1-42号,121.491211,31.159409,121.48675418023272,31.161436455914597
