name,address,subtitle,outputaddress,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat
世茂滨江花园,潍坊西路2弄之1-18号,总签到2812人  上海市  住宅,上海市浦东新区潍坊西路2弄1-18号,121.515199,31.221854,121.51082298392836,31.223922063510155
上海外滩悦榕庄酒店,公平路19号(近海平路)(提篮桥地铁站3号口步行460米),月签到25人  上海市  五星级宾馆,上海市虹口区公平路19号海平路提篮桥上海外滩悦榕庄酒店,121.506273,31.249691,121.50186278388183,31.251719944871198
海德苑,博山东路112弄之1-10号,总签到209人  上海市  住宅,上海市浦东新区博山东路112弄之1海德苑(南门),121.563828,31.248473,121.55958883839878,31.250641868519683
寝室床上,上海市松江区广富林街道东华大学松江校区上海工程技术大学松江校区,总签到427人  上海市  校园,上海市松江区广富林街道东华大学松江校区上海工程技术大学松江校区,121.206283,31.055301,121.20183848417717,31.057382372647144
金茂88层观光厅,世纪大道88号金茂大厦,月签到10人  上海市  国家级景点,上海市浦东新区世纪大道88号金茂大厦,121.505613,31.235276,121.50120162697854,31.237309470482714
上海杉达学院,金海路2727号(顾唐路地铁站1号口步行160米),月签到23人  上海市  高校,上海市浦东新区金海路2727号,121.657968,31.269093,121.65370157059584,31.27121265928036
南京路步行街,南京东路558号,月签到615人  上海市  景点,上海市黄浦区南京路步行街558号南京路步行街(第一百货商业中心店),121.475408,31.234999,121.47089014862091,31.236943830005487
共富一村,顾村镇共富路183弄,总签到1608人  上海市  住宅,上海市宝山区顾村镇共富路183弄,121.430914,31.350855,121.42627412649678,31.352659988098157
聚动力河畔球场,鲁班路909,总签到74人  上海市  足球场,上海市黄浦区鲁班路909号聚动力河畔球场,121.479363,31.192271,121.47486204591601,31.19424726338177
复旦大学上海医学院(东区),上海市徐汇区医学院路138号,总签到4842人  上海市  高校,上海市徐汇区医学院路138号复旦大学上海医学院(东区),121.452234,31.197085,121.44765109135263,31.198990671543815
苏家巷小区,芷江西路393弄(中山北路地铁站2号口步行230米),总签到630人  上海市  住宅,上海市静安区芷江西路393弄小区,121.458324,31.257053,121.4537520511655,31.258944311301015
上海外滩海湾大厦酒店,上海虹口区黄浦路53号,总签到461人  上海市  五星级宾馆,上海市虹口区黄浦路53号上海外滩上海海湾大厦(东北门),121.49159,31.24491,121.48712724823748,31.246897037764725
万国建筑博览群,滇池路63号,月签到78人  上海市  景点,上海市黄浦区滇池路万国建筑博览群,121.48927,31.237204,121.48479964362048,31.239187634860226
长寿商业广场,长寿路181弄1~12号,总签到1661人  上海市  商场,上海市普陀区长寿路181弄1-12号,121.441418,31.24243,121.43680637405706,31.244293561193665
达安花园,长寿路999弄1-66号(武宁路地铁站5B口步行90米),总签到2250人  上海市  住宅,上海市静安区长寿路九九九弄1-66号武宁路达安花园(西北4门),121.429599,31.232842,121.42496745409473,31.234692601373993
南杨小区,长清路643弄1~42号,总签到386人  上海市  住宅,上海市浦东新区长清路643弄1-42号,121.491211,31.159409,121.48675418023272,31.161436455914597
上海复旦皇冠假日酒店,邯郸路199号 ，近国权路(复旦大学正门斜对面，4008825398 订房热线),总签到1986人  上海市  五星级宾馆,上海市杨浦区邯郸路199号国权路复旦大学(公交站)上海复旦皇冠假日酒店,121.502057,31.295027,121.49762770373087,31.29702418447892
上海师范大学(奉贤校区),海思路100号,月签到38人  上海市  高校,上海市奉贤区海思路100号,121.516162,30.836882,121.51182161222293,30.839169152198505
上海天地软件园,中江路879号,总签到2260人  上海市  产业园区,上海市普陀区中江路879号天地软件园(东门),121.391783,31.234516,121.3871338957939,31.236351692715395
上海凯宾斯基大酒店,陆家嘴环路1288号,月签到55人  上海市  五星级宾馆,上海市浦东新区百步街1288号上海凯宾斯基大酒店,121.504132,31.242452,121.49971467315798,31.244477770590038
香港广场·北座,淮海中路282号,总签到5086人  上海市  商场,上海市黄浦区淮海中路街道282号香港广场·北座,121.474725,31.223792,121.47020586179518,31.22574013931341
金沙缘圆宝邸,金园一路1359弄1~69号,总签到687人  上海市  住宅,上海市嘉定区金园一路1359弄1-69号金沙缘圆宝邸(西门),121.31648,31.242182,121.31196222715465,31.244125851999048
娄山关路(地铁站),15号线;2号线,总签到1407人  上海市  地铁站,上海市长宁区娄山关路(地铁站),121.404058,31.211158,121.39940834335825,31.21300228304866
纯K(浙江路店),浙江南路68号(宁海东路路口),总签到5271人  上海市  KTV,上海市黄浦区浙江南路68号宁海东路纯K(浙江路店),121.4819,31.229301,121.47740453753454,31.231266750653447
河滨城市花园,曹路镇顾唐路138弄(顾唐路地铁站3号口步行360米),总签到883人  上海市  楼宇,上海市浦东新区曹路镇顾唐路138弄顾唐路地铁站3号口河滨城市花园(东北门),121.656746,31.263595,121.65248230634434,31.265719250386592
上海广场,淮海中路138号(大世界地铁站3号口步行150米),总签到2770人  上海市  楼宇,上海市黄浦区淮海中路138号大世界(地铁站) 3号口上海广场,121.477874,31.225183,121.47336520313424,31.22713923179369
春申景城湖滨晨韵,莲花南路1111弄,总签到790人  上海市  住宅,上海市闵行区莲花南路春申景城湖滨晨韵,121.411047,31.10765,121.40640836451513,31.109549528155302
南江苑,杨高南路3288弄1~105号,总签到636人  上海市  楼宇,上海市浦东新区杨高南路3288弄1-105号南江苑(东北1门),121.519462,31.168727,121.51510532224029,31.17083349718794
世纪新城,滨湖路585弄,总签到641人  上海市  住宅,上海市松江区滨湖路585弄世纪新城(东门),121.206279,31.041076,121.20183567846864,31.04316558294138
上海商城,南京西路1376号,月签到14人  上海市  楼宇,上海市静安区南京西路1376号上海商城,121.451849,31.22684,121.44726254747688,31.22873062717702
爱庐世纪新苑,沪光路39弄1~108号,总签到1296人  上海市  楼宇,上海市闵行区沪光路39弄1-108号爱庐世纪新苑(西北门),121.421268,31.08096,121.41663931410228,31.08288074031063
外滩三号,上海市黄浦区中山东一路3号,月签到25人  上海市  楼宇,上海市黄浦区中山东一路3号外滩三号,121.490752,31.234042,121.48628718487927,31.23603147644438
梅赛德斯-奔驰文化中心,世博大道1200号,月签到916人  上海市  文化宫,上海市浦东新区世博大道1200号梅赛德斯-奔驰文化中心,121.493397,31.188847,121.4889454939293,31.190865995757243
新丰小区,上海市静安区安远路515弄1-17号,总签到860人  上海市  住宅,上海市静安区安远路515弄1-17号新丰小区(东南门),121.44003,31.23624,121.43541611825324,31.238104036063323
华高苑,杨高北路3885弄,总签到370人  上海市  楼宇,上海市浦东新区杨高中路2855号,121.546193,31.226108,121.54191482826161,31.22825454748611
高科苑,张江高科技园区华佗路678号,总签到1894人  上海市  楼宇,上海市浦东新区张江高科技园区华佗路678号高科苑(西北门),121.593046,31.190672,121.58884643139666,31.19289314207584
涟泉大江户(莘庄店),莘福路288号,总签到3108人  上海市  景点,上海市闵行区莘福路涟泉大江户(莘庄店),121.362067,31.105031,121.35746384087379,31.10696239689042
在路上,七宝镇吴中路2779号,总签到73人  上海市  咖啡厅,上海市闵行区七宝镇吴中路2779号,121.345299,31.161367,121.34072361961412,31.16329583953692
老外街101,虹桥镇虹梅路3338号靠近延安西路,月签到11人  上海市  特色商业街,上海市闵行区虹桥镇虹梅路3338号延安西路老外街101,121.388537,31.190736,121.38389364709533,31.192594282339996
高东镇樱花园,光耀路300号,总签到992人  上海市  广场,上海市浦东新区光耀路300号高东镇樱花园,121.618575,31.326725,121.61435961079123,31.328878358283404
淮海百盛iROO店铺,淮海中路918号2F,总签到4174人  上海市  商场,上海市黄浦区淮海中路918号淮海百盛,121.459201,31.217552,121.45463490766318,31.219463352720236
万达广场(上海金山店),龙皓路1088号,月签到22人  上海市  商场,上海市金山区龙皓路1088号万达广场(上海金山店),121.336056,30.754737,121.33153555204578,30.756914277476557
龙柏地区,中国上海市闵行区,月签到14人  上海市  商圈,上海市闵行区龙柏,121.364797,31.179511,121.36018280007296,31.181398977904927
k11,上海市 淮海中路300号K11购物艺术中心403号铺(近黄陂南路),总签到1928人  上海市  未知分类,上海市黄浦区淮海中路300号k11号,121.473614,31.223381,121.4690912635258,31.225326294183677
卢湾城市花园,鲁班路738弄之1-13号,总签到404人  上海市  住宅,上海市黄浦区鲁班路738弄之1卢湾城市花园(东北1门),121.477514,31.19449,121.47300662671014,31.19645996078204
凌兆十四村,上浦路165弄1~50号,总签到182人  上海市  住宅,上海市浦东新区上浦路165弄凌兆十四村(东南门),121.49211,31.145495,121.48765757309268,31.147532431779656
安徒生童话乐园,国泓路200号(殷高东路地铁站4号口步行500米),总签到1873人  上海市  景点,上海市杨浦区国泓路200号殷高东路安徒生童话乐园,121.511392,31.323905,121.50699385421187,31.325919002132377
远洋宾馆,东大名路1171号,总签到1746人  上海市  五星级宾馆,上海市虹口区东大名路1171号,121.510009,31.252594,121.50561195710489,31.2546327903809
仙逸小区,仙霞路451弄1~31号,总签到1227人  上海市  住宅,上海市长宁区仙霞路四五一弄1-31号仙逸小区(南3门),121.393041,31.205922,121.38839377289499,31.207770626761373
邻里苑,沪闵路5600弄88支弄,总签到842人  上海市  住宅,上海市闵行区沪闵路5600弄88支弄邻里苑(东南2门),121.38115,31.101453,121.37652064083409,31.1033637642251
宏汇国际广场,中山西路1600-1602号,总签到2177人  上海市  楼宇,上海市徐汇区中山西路1600-1602号宏汇国际广场,121.421856,31.186804,121.4172187364473,31.188668608964065
118广场,金沙江路1685号,月签到10人  上海市  商场,上海市普陀区金沙江路1685号118广场,121.378018,31.231514,121.37338072651549,31.23336101942557
蒲汇新村,青年路８８弄,总签到555人  上海市  住宅,上海市闵行区青年路88弄,121.35612,31.156097,121.3515232167286,31.1580100698006
御上海,谷阳北路2399弄,总签到1358人  上海市  住宅,上海市松江区谷阳北路2399弄御上海(东南1门),121.235617,31.049092,121.23120386982544,31.051206681187942
大宁国际商业广场,共和新路1878-2008号(近大宁路),月签到22人  上海市  商场,上海市静安区共和新路1878-2008号大宁路大宁国际商业广场,121.452239,31.274037,121.44764944235563,31.27590753487791
华狮国际服务公寓,天钥桥路216号,总签到336人  上海市  住宅,上海市徐汇区天钥桥路216号华狮国际服务公寓(东门),121.441952,31.190752,121.43734595604221,31.19264098042053
证大丽笙酒店,浦东新区迎春路1199号(近芳甸路),总签到1047人  上海市  五星级宾馆,上海市浦东新区迎春路芳甸路,121.560076,31.220752,121.55583160151859,31.222927671365007
