FID,lng,lat
0,121.4585483,31.26093593
1,121.4533912,31.24225727
2,121.4531771,31.24273773
3,121.4511833,31.24585899
4,121.4520282,31.24814494
5,121.4570143,31.24720387
6,121.4575257,31.24708087
7,121.4580287,31.24692799
8,121.4571892,31.2470306
9,121.457488,31.24663071
10,121.4579925,31.24650018
11,121.458457,31.24670549
12,121.4585523,31.2471941
13,121.4581657,31.2475218
14,121.4576483,31.24759008
15,121.4591666,31.25850471
16,121.4591096,31.25902753
17,121.457624,31.24545412
18,121.4577124,31.24493676
19,121.4578558,31.24443069
20,121.4580605,31.24394688
21,121.4590126,31.25340854
22,121.4589628,31.25288492
23,121.4588904,31.25236419
24,121.4587996,31.25184611
25,121.4587036,31.25132897
26,121.4586013,31.25081302
27,121.4584969,31.25029751
28,121.4583956,31.24978138
29,121.4582886,31.24926638
30,121.4581754,31.24875278
31,121.458054,31.24824099
32,121.4592136,31.25446008
33,121.4592138,31.25498606
34,121.4592139,31.25551204
35,121.4592141,31.25603803
36,121.4592142,31.25656401
37,121.4592143,31.25708999
38,121.4592145,31.25761598
39,121.4583694,31.26080059
40,121.4585901,31.26032316
41,121.4587848,31.25983456
42,121.4589513,31.25933606
43,121.4590286,31.25881705
44,121.4590567,31.25829188
45,121.4590886,31.2573058
46,121.4590978,31.2567799
47,121.4591071,31.25625399
48,121.4591163,31.25572809
49,121.4591124,31.25520224
50,121.4590989,31.25467643
51,121.4590784,31.25415099
52,121.4516426,31.24311917
53,121.4520385,31.24346539
54,121.4524317,31.24381436
55,121.4483439,31.24948076
56,121.4472762,31.25754652
57,121.4468569,31.25786377
58,121.4532989,31.24220729
59,121.4530878,31.24268903
60,121.4489195,31.25779291
61,121.4494227,31.25794564
62,121.4499285,31.25808985
63,121.4504338,31.25823595
64,121.4509391,31.25838206
65,121.4562415,31.24574335
66,121.4566466,31.24540797
67,121.4570522,31.24507354
68,121.4574606,31.24474214
69,121.4555108,31.24816679
70,121.4553857,31.24866797
71,121.4553369,31.24919156
72,121.4552624,31.24971222
73,121.452768,31.25761769
74,121.4532093,31.25790388
75,121.453682,31.2581339
76,121.4541576,31.25835808
77,121.4546693,31.2584798
78,121.4584283,31.24618212
79,121.458898,31.2459462
80,121.446543,31.25258154
81,121.4465208,31.25205672
82,121.446584,31.25154135
83,121.4467821,31.25105441
84,121.4579062,31.24558541
85,121.4579065,31.24611069
86,121.4580001,31.24662758
87,121.4582452,31.24708283
88,121.4584626,31.24753875
89,121.4584716,31.24806466
90,121.4467286,31.25256736
91,121.4468019,31.25308821
92,121.4468753,31.25360906
93,121.4469486,31.2541299
94,121.4470408,31.25464764
95,121.4471382,31.25516454
96,121.4472355,31.25568143
97,121.4474109,31.25637621
98,121.4475469,31.25688332
99,121.4470746,31.25536238
100,121.4469727,31.25484637
101,121.4468708,31.25433035
102,121.4467984,31.25380951
103,121.4467288,31.25328815
104,121.4466592,31.2527668
105,121.4466213,31.25224304
106,121.4513969,31.24927473
107,121.4518535,31.24939852
108,121.4523716,31.24930786
109,121.4512139,31.24837672
110,121.4495159,31.24819378
111,121.4497627,31.24865828
112,121.4500095,31.24912277
113,121.4496672,31.24918988
114,121.449425,31.24872297
115,121.4491828,31.24825606
116,121.4479471,31.24982203
117,121.4476607,31.25026321
118,121.4473743,31.2507044
119,121.4471457,31.25117624
120,121.4469471,31.25166246
121,121.4468702,31.25218278
122,121.4468763,31.25270732
123,121.4586065,31.24676141
124,121.4591125,31.24661771
125,121.4576888,31.24719765
126,121.4571875,31.24735682
127,121.4566874,31.24751954
128,121.4561931,31.24769943
129,121.4556972,31.24787421
130,121.4551835,31.2479861
131,121.4546595,31.24802728
132,121.4541337,31.24804099
133,121.4536078,31.24804726
134,121.4530818,31.24805041
135,121.4525559,31.24805112
136,121.4520302,31.24803662
137,121.4515044,31.24802211
138,121.4484024,31.24772964
139,121.4478818,31.24765465
140,121.4589244,31.25972016
141,121.4587426,31.26021375
142,121.4585278,31.26069324
143,121.4582793,31.26115653
144,121.458676,31.24687695
145,121.4560028,31.24309963
146,121.4540564,31.24229965
147,121.4545153,31.24254872
148,121.454897,31.2429099
149,121.4553311,31.24320623
150,121.4501217,31.24503385
151,121.450848,31.25010078
152,121.4512195,31.25007367
153,121.4507302,31.25026668
154,121.4502409,31.25045969
155,121.4497517,31.2506527
156,121.4497161,31.25051657
157,121.449895,31.2503265
158,121.4495552,31.25013767
159,121.449323,31.24966571
160,121.4496929,31.24942861
161,121.4501834,31.24923849
162,121.4506533,31.24909648
163,121.4508572,31.24958136
164,121.4527224,31.2487238
165,121.4527365,31.24819801
166,121.4492827,31.2460831
167,121.4496513,31.24645834
168,121.4534809,31.24230536
169,121.453271,31.24278762
170,121.4529091,31.2432793
171,121.4526157,31.24371563
172,121.4522702,31.24411073
173,121.4518907,31.2444749
174,121.4515047,31.24483215
175,121.451121,31.24519183
176,121.4461872,31.2534258
177,121.4574661,31.24633511
178,121.4551643,31.25042329
179,121.455096,31.25094481
180,121.4594933,31.25971037
181,121.4595944,31.25867938
182,121.4601169,31.25862363
183,121.4600219,31.25267877
184,121.4595008,31.25260727
185,121.4481193,31.25743763
186,121.4527371,31.2433868
187,121.4529848,31.24292375
188,121.4469744,31.25125634
189,121.4467954,31.25174978
190,121.4479214,31.25751887
191,121.4557387,31.2481014
192,121.4556952,31.24862558
193,121.4556517,31.24914977
194,121.4588495,31.25013709
195,121.4589664,31.25064991
196,121.459083,31.2511628
197,121.459184,31.25167895
198,121.4581125,31.24741663
199,121.4582162,31.24793229
200,121.4583133,31.24844915
201,121.4583969,31.24896845
202,121.4581413,31.24894829
203,121.4579918,31.24844399
204,121.4578424,31.24793969
205,121.457715,31.24742971
206,121.4576129,31.2469139
207,121.4575603,31.24639123
208,121.4575412,31.24586587
209,121.4575726,31.24534099
210,121.4590321,31.25149308
211,121.4586684,31.25179799
212,121.4594846,31.25043921
213,121.4589602,31.25047971
214,121.4584343,31.25048481
215,121.4579084,31.25049142
216,121.4573824,31.25048426
217,121.4579754,31.2508625
218,121.4569779,31.25359275
219,121.4568699,31.25308018
220,121.4568197,31.2525566
221,121.4567694,31.25203302
222,121.4568112,31.25153883
223,121.4571385,31.25112824
224,121.4573461,31.25064944
225,121.4573118,31.25012815
226,121.4586527,31.25210873
227,121.4585582,31.25159131
228,121.458457,31.25107521
229,121.4583472,31.25056082
230,121.4582439,31.25004511
231,121.4471273,31.2575022
232,121.4471019,31.25676214
233,121.447167,31.25622258
234,121.4470298,31.25571544
235,121.4469246,31.25520008
236,121.4468215,31.25468432
237,121.4471994,31.25466731
238,121.4472776,31.25518737
239,121.4473502,31.25570832
240,121.4474794,31.25621702
241,121.4476147,31.2567249
242,121.4496791,31.25316088
243,121.4491883,31.25334986
244,121.4486974,31.25353884
245,121.4482065,31.25372768
246,121.4477156,31.25391649
247,121.4472246,31.2541053
248,121.4467259,31.25427097
249,121.4588923,31.25919784
250,121.458951,31.25867704
251,121.4589805,31.25815188
252,121.4590081,31.25762662
253,121.4590224,31.25710184
254,121.4590177,31.25657592
255,121.4592429,31.25850495
256,121.4592284,31.25903073
257,121.4591222,31.25954306
258,121.4589346,31.26003364
259,121.4480632,31.25685253
260,121.4484714,31.25652082
261,121.4490402,31.25640779
262,121.4495603,31.25632963
263,121.4500797,31.2562471
264,121.4506009,31.25617597
265,121.451122,31.25610461
266,121.4516436,31.25603693
267,121.4521654,31.25597089
268,121.4526872,31.25590485
269,121.4532095,31.25584211
270,121.4537334,31.25580071
271,121.4542467,31.25569244
272,121.4547679,31.25562226
273,121.4552926,31.25558566
274,121.4558176,31.25555453
275,121.4563428,31.25552541
276,121.4568681,31.2555008
277,121.4573941,31.25549507
278,121.45792,31.25548937
279,121.458446,31.25548366
280,121.4589718,31.25547368
281,121.4594976,31.25546493
282,121.4600234,31.25547671
