adname,adress,divisions,lng,lat,bd09lng,bd09lat,wgs84lng,wgs84lat
阿王葡萄主题公园,塔新路与立业路交叉口西北280米,嘉定区,121.2845047,31.3991009,121.2910151,31.40499343,121.2800353,31.40103803
博爱广场,南翔镇栖林路金地格林世界白金果岭,嘉定区,121.3111854,31.30838334,121.3175902,31.31470634,121.3066736,31.31030922
菊园新区市民文化广场,平城路菊园新区党建广场(东北角),嘉定区,121.2464368,31.4005495,121.2529912,31.40626928,121.2419968,31.40250829
菊园新区党建广场,平城路789号,嘉定区,121.2462489,31.40046253,121.2528027,31.40618467,121.2418089,31.40242132
上海优秀城市文化广场,棋盘路与仓桥村路交叉口北80米,嘉定区,121.2466958,31.39992266,121.2532513,31.40563933,121.2422558,31.40188165
双桥公园,华江公路337-2临附近,嘉定区,121.3319761,31.25280083,121.3384073,31.25909741,121.3274223,31.25471049
极限松鼠运动公园,环城路762弄5号楼信业未来中心,嘉定区,121.2446273,31.39764434,121.2511771,31.40338821,121.2401874,31.39960366
毛桥党建公园,霜竹公路与霜竹公路1235弄交叉口西360米,嘉定区,121.2494626,31.47674949,121.2560612,31.48244443,121.245016,31.47869098
旭辉广场,白银路928弄(白银路地铁站1号口步行390米),嘉定区,121.2415324,31.34987896,121.2481052,31.35567744,121.237096,31.35185227
桃溪苑休闲绿地公园,坝桥路与南新路交叉口北120米,嘉定区,121.2154555,31.43625111,121.2218866,31.44250106,121.2109916,31.43817973
旺和苑公园,旺泾村,嘉定区,121.1665689,31.40141272,121.1730683,31.40734325,121.1620194,31.40326839
马陆法治主题公园,北陈路与思义路交叉口东120米,嘉定区,121.3181331,31.33887897,121.3245557,31.34524536,121.3136033,31.34078085
上海大学嘉定校区文荟广场,城中路20号上海大学嘉定校区,嘉定区,121.2445199,31.37924674,121.2510855,31.38499629,121.2400815,31.3812114
楼组党建党员服务广场,新成路,嘉定区,121.2645462,31.3835144,121.2711342,31.38915995,121.260101,31.38547406
腊梅广场,百安公路与恒盛路交叉口西北120米,嘉定区,121.1639418,31.36417396,121.1704854,31.37006428,121.1593902,31.36603582
瞿门路广场,瞿门路339号附近,嘉定区,121.1589445,31.36556119,121.1655093,31.37136578,121.1543828,31.36741341
江桥镇社区文化活动中心广场,华江路129弄,嘉定区,121.3370057,31.25529932,121.3434514,31.26152953,121.3324404,31.25719834
南翔老街-广场,南翔镇解放街206号南翔老街内,嘉定区,121.3049285,31.29269094,121.3113432,31.29894236,121.3004313,31.29463397
伏虎村四组广场,伏虎弄路高庙路伏虎村四组,嘉定区,121.2555887,31.44518823,121.2621857,31.45083547,121.2511433,31.44713541
