name,address,check,city,type,outputaddress,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat,subtitle
世茂滨江花园,上海市潍坊西路2弄之1-18号,总签到2812人,上海市,住宅,上海市浦东新区潍坊西路2弄1-18号,121.515199,31.221854,121.510823,31.22392206,总签到2812人  上海市  住宅
上海外滩悦榕庄酒店,上海市公平路19号(近海平路)(提篮桥地铁站3号口步行460米),月签到25人,上海市,五星级宾馆,上海市虹口区公平路19号海平路提篮桥上海外滩悦榕庄酒店,121.506273,31.249691,121.5018628,31.25171994,月签到25人  上海市  五星级宾馆
海德苑,上海市博山东路112弄之1-10号,总签到209人,上海市,住宅,上海市浦东新区博山东路112弄之1海德苑(南门),121.563828,31.248473,121.5595888,31.25064187,总签到209人  上海市  住宅
寝室床上,上海市松江区广富林街道东华大学松江校区上海工程技术大学松江校区,总签到427人,上海市,校园,上海市松江区广富林街道东华大学松江校区上海工程技术大学松江校区,121.206283,31.055301,121.2018385,31.05738237,总签到427人  上海市  校园
金茂88层观光厅,上海市世纪大道88号金茂大厦,月签到10人,上海市,国家级景点,上海市浦东新区世纪大道88号金茂大厦,121.505613,31.235276,121.5012016,31.23730947,月签到10人  上海市  国家级景点
上海杉达学院,上海市金海路2727号(顾唐路地铁站1号口步行160米),月签到23人,上海市,高校,上海市浦东新区金海路2727号,121.657968,31.269093,121.6537016,31.27121266,月签到23人  上海市  高校
南京路步行街,上海市南京东路558号,月签到615人,上海市,景点,上海市黄浦区南京路步行街558号南京路步行街(第一百货商业中心店),121.475408,31.234999,121.4708901,31.23694383,月签到615人  上海市  景点
共富一村,上海市顾村镇共富路183弄,总签到1608人,上海市,住宅,上海市宝山区顾村镇共富路183弄,121.430914,31.350855,121.4262741,31.35265999,总签到1608人  上海市  住宅
聚动力河畔球场,上海市鲁班路909,总签到74人,上海市,足球场,上海市黄浦区鲁班路909号聚动力河畔球场,121.479363,31.192271,121.474862,31.19424726,总签到74人  上海市  足球场
复旦大学上海医学院(东区),上海市徐汇区医学院路138号,总签到4842人,上海市,高校,上海市徐汇区医学院路138号复旦大学上海医学院(东区),121.452234,31.197085,121.4476511,31.19899067,总签到4842人  上海市  高校
苏家巷小区,上海市芷江西路393弄(中山北路地铁站2号口步行230米),总签到630人,上海市,住宅,上海市静安区芷江西路393弄小区,121.458324,31.257053,121.4537521,31.25894431,总签到630人  上海市  住宅
上海外滩海湾大厦酒店,上海市上海虹口区黄浦路53号,总签到461人,上海市,五星级宾馆,上海市虹口区黄浦路53号上海外滩上海海湾大厦(东北门),121.49159,31.24491,121.4871272,31.24689704,总签到461人  上海市  五星级宾馆
万国建筑博览群,上海市滇池路63号,月签到78人,上海市,景点,上海市黄浦区滇池路万国建筑博览群,121.48927,31.237204,121.4847996,31.23918763,月签到78人  上海市  景点
长寿商业广场,上海市长寿路181弄1~12号,总签到1661人,上海市,商场,上海市普陀区长寿路181弄1-12号,121.441418,31.24243,121.4368064,31.24429356,总签到1661人  上海市  商场
达安花园,上海市长寿路999弄1-66号(武宁路地铁站5B口步行90米),总签到2250人,上海市,住宅,上海市静安区长寿路九九九弄1-66号武宁路达安花园(西北4门),121.429599,31.232842,121.4249675,31.2346926,总签到2250人  上海市  住宅
南杨小区,上海市长清路643弄1~42号,总签到386人,上海市,住宅,上海市浦东新区长清路643弄1-42号,121.491211,31.159409,121.4867542,31.16143646,总签到386人  上海市  住宅
