FID,name,province,city,area,address,uid,detail_url,tag,wgs84_lng,wgs84_lat,行业大,行业子,Get_time,ha,value,visit_num
0,浦东牡丹园,上海市,上海市,浦东新区,上海市浦东新区兰谷路500号,01b0cb12172d4dae2cb17e5c,http://api.map.baidu.com/place/detail?uid=01b0cb12172d4dae2cb17e5c&output=html&source=placeapi_v2,旅游景点;植物园,121.590877,31.32468788,旅游景点,植物园,2021/10/25 0:53,8.23984,1,177
1,三泉公园,上海市,上海市,静安区,上海市静安区保德路1200号(共和新路口),0523a14130518e1cb23c81ff,http://api.map.baidu.com/place/detail?uid=0523a14130518e1cb23c81ff&output=html&source=placeapi_v2,旅游景点;公园,121.4425804,31.31727141,旅游景点,公园,2021/10/25 0:53,2.45971,1,4363
2,祥和公园,上海市,上海市,普陀区,上海市普陀区真光路1121号甲,083a55faf4dcd678246e98c9,http://api.map.baidu.com/place/detail?uid=083a55faf4dcd678246e98c9&output=html&source=placeapi_v2,旅游景点;公园,121.3749755,31.24403067,旅游景点,公园,2021/10/25 0:53,3.39466,1,4285
3,甘泉公园,上海市,上海市,普陀区,上海市普陀区西乡路100号,09185c569c0c4c5cf11937ca,http://api.map.baidu.com/place/detail?uid=09185c569c0c4c5cf11937ca&output=html&source=placeapi_v2,旅游景点;公园,121.4238442,31.26892487,旅游景点,公园,2021/10/25 0:53,3.00527,1,10178
4,活水公园,上海市,上海市,黄浦区,上海市黄浦区南车站路564号,0fb57fc9ef392841a2a9344c,http://api.map.baidu.com/place/detail?uid=0fb57fc9ef392841a2a9344c&output=html&source=placeapi_v2,旅游景点;公园,121.4895693,31.20445492,旅游景点,公园,2021/10/25 0:53,0.43628,1,2589
5,静安中环公园,上海市,上海市,静安区,上海市静安区共和新路3050号,1324ed6001571aca306212d8,http://api.map.baidu.com/place/detail?uid=1324ed6001571aca306212d8&output=html&source=placeapi_v2,旅游景点;公园,121.4447688,31.29509932,旅游景点,公园,2021/10/25 0:53,8.07151,1,3421
6,金桥市民体育休闲公园,上海市,上海市,浦东新区,上海市浦东新区乐林路3临,15ed53cec8206d2a9222e06f,http://api.map.baidu.com/place/detail?uid=15ed53cec8206d2a9222e06f&output=html&source=placeapi_v2,旅游景点;公园,121.6007594,31.28078544,旅游景点,公园,2021/10/25 0:53,1.92331,1,107
7,朝阳小憩,上海市,上海市,普陀区,上海市普陀区真北支路130号,168fa78cb17b78ba0bccdd80,http://api.map.baidu.com/place/detail?uid=168fa78cb17b78ba0bccdd80&output=html&source=placeapi_v2,旅游景点;公园,121.389138,31.25822143,旅游景点,公园,2021/10/25 0:53,0.20464,1,672
8,上海市滨江滑板公园,上海市,上海市,徐汇区,上海市徐汇区瑞宁路,21b9b35cce7b8cc4364aae50,http://api.map.baidu.com/place/detail?uid=21b9b35cce7b8cc4364aae50&output=html&source=placeapi_v2,旅游景点;公园,121.4629346,31.18772604,旅游景点,公园,2021/10/25 0:53,4.26438,1,2346
9,闸北公园,上海市,上海市,静安区,上海市静安区共和新路1555号,23116913c5c6a0fc734b87ff,http://api.map.baidu.com/place/detail?uid=23116913c5c6a0fc734b87ff&output=html&source=placeapi_v2,旅游景点;公园,121.4553901,31.27242517,旅游景点,公园,2021/10/25 0:53,11.23539,1,3112
10,昆山公园,上海市,上海市,虹口区,上海市虹口区昆山花园路13号,24d0550833e360ae12882436,http://api.map.baidu.com/place/detail?uid=24d0550833e360ae12882436&output=html&source=placeapi_v2,旅游景点;公园,121.4821886,31.25094513,旅游景点,公园,2021/10/25 0:53,0.37809,1,10718
11,曹杨公园,上海市,上海市,普陀区,上海市普陀区枫桥路50号(近梅岭北路),251374c9ab7ff53da11de91f,http://api.map.baidu.com/place/detail?uid=251374c9ab7ff53da11de91f&output=html&source=placeapi_v2,旅游景点;公园,121.4041704,31.24175243,旅游景点,公园,2021/10/25 0:53,2.48366,1,4891
12,古美人口文化公园(平南路),上海市,上海市,闵行区,上海市闵行区平南路与莲花路交叉口西南角,2527be1e14b272b04afc8d41,http://api.map.baidu.com/place/detail?uid=2527be1e14b272b04afc8d41&output=html&source=placeapi_v2,旅游景点;公园,121.3902946,31.1537037,旅游景点,公园,2021/10/25 0:53,1.13093,1,3846
13,金光村公园,上海市,上海市,浦东新区,上海市浦东新区高东镇顾高路1218号3栋,260183cd6910fc18f7231046,http://api.map.baidu.com/place/detail?uid=260183cd6910fc18f7231046&output=html&source=placeapi_v2,旅游景点;公园,121.632296,31.29834786,旅游景点,公园,2021/10/25 0:53,1.07977,1,0
14,虹桥河滨公园,上海市,上海市,长宁区,上海市长宁区长宁路2080号(锦屏路口),261b80c0eb0bc6a294031968,http://api.map.baidu.com/place/detail?uid=261b80c0eb0bc6a294031968&output=html&source=placeapi_v2,旅游景点;公园,121.3959742,31.22141073,旅游景点,公园,2021/10/25 0:53,2.20285,1,1354
15,平凉公园,上海市,上海市,杨浦区,上海市杨浦区平凉路1738号(近临青路),2848ffd6d2bc4e0e48cc4a21,http://api.map.baidu.com/place/detail?uid=2848ffd6d2bc4e0e48cc4a21&output=html&source=placeapi_v2,旅游景点;公园,121.5383781,31.26877676,旅游景点,公园,2021/10/25 0:53,1.34427,1,2027
16,亩中山水园,上海市,上海市,浦东新区,上海市浦东新区世博大道1000号,2955e863574f7d2f2ad7ab18,http://api.map.baidu.com/place/detail?uid=2955e863574f7d2f2ad7ab18&output=html&source=placeapi_v2,旅游景点;公园,121.4912201,31.19217515,旅游景点,公园,2021/10/25 0:53,2.59703,1,8957
17,后工业生态景观公园,上海市,上海市,宝山区,上海市宝山区长江西路101号,2a101249ffe50ffa8bdb7316,http://api.map.baidu.com/place/detail?uid=2a101249ffe50ffa8bdb7316&output=html&source=placeapi_v2,旅游景点;公园,121.4719278,31.34770798,旅游景点,公园,2021/10/25 0:53,4.33192,1,0
18,水霞公园,上海市,上海市,长宁区,上海市长宁区仙霞路505号,2a7a25ec3d7ed7626c3e1b62,http://api.map.baidu.com/place/detail?uid=2a7a25ec3d7ed7626c3e1b62&output=html&source=placeapi_v2,旅游景点;公园,121.385572,31.20808769,旅游景点,公园,2021/10/25 0:53,1.78576,1,5075
19,苏州河梦清园环保主题公园,上海市,上海市,普陀区,上海市普陀区宜昌路130号,2c0bd6c50f46e1ab43ab9ac9,http://api.map.baidu.com/place/detail?uid=2c0bd6c50f46e1ab43ab9ac9&output=html&source=placeapi_v2,旅游景点;公园,121.4358389,31.25276469,旅游景点,公园,2021/10/25 0:53,7.35472,1,12509
20,南园滨江绿地,上海市,上海市,黄浦区,上海市黄浦区龙华东路800号,2d71b4094170bd5d8f1a891d,http://api.map.baidu.com/place/detail?uid=2d71b4094170bd5d8f1a891d&output=html&source=placeapi_v2,旅游景点;公园,121.4710119,31.19444468,旅游景点,公园,2021/10/25 0:53,7.73577,1,17770
21,闵行体育公园,上海市,上海市,闵行区,上海市闵行区新镇路456号,2e00c5dd958a491dd7851f62,http://api.map.baidu.com/place/detail?uid=2e00c5dd958a491dd7851f62&output=html&source=placeapi_v2,旅游景点;公园,121.3663413,31.1453412,旅游景点,公园,2021/10/25 0:53,87.01049,1,8826
22,桃浦中央绿地,上海市,上海市,普陀区,常和路288-3号楼附近,2f2d5e19dcbe49cad8ecedbe,http://api.map.baidu.com/place/detail?uid=2f2d5e19dcbe49cad8ecedbe&output=html&source=placeapi_v2,旅游景点;景点,121.3677373,31.28343065,旅游景点,景点,2021/10/25 0:53,37.69864,1,354
23,双拥公园,上海市,上海市,闵行区,上海市闵行区龙茗路与平阳路交叉口,2f87dde3b16498c515b54b5d,http://api.map.baidu.com/place/detail?uid=2f87dde3b16498c515b54b5d&output=html&source=placeapi_v2,旅游景点;公园,121.3826531,31.13636691,旅游景点,公园,2021/10/25 0:53,1.27539,1,2431
24,衡山公园,上海市,上海市,徐汇区,上海市徐汇区广元路2号(衡山路宛平路口),2fd2beab5633d7537adbd2d9,http://api.map.baidu.com/place/detail?uid=2fd2beab5633d7537adbd2d9&output=html&source=placeapi_v2,旅游景点;公园,121.4374574,31.20253965,旅游景点,公园,2021/10/25 0:53,1.57864,1,4426
25,玉兰园,上海市,上海市,黄浦区,上海市黄浦区重庆南路南昌路路口,2fd2beab56fad7537bdbd296,http://api.map.baidu.com/place/detail?uid=2fd2beab56fad7537bdbd296&output=html&source=placeapi_v2,旅游景点;风景区,121.4664512,31.22059643,旅游景点,风景区,2021/10/25 0:53,0.46579,1,20137
26,西康公园,上海市,上海市,静安区,上海市静安区西康路255-1号,2fd2beab57ecd4537bdbd288,http://api.map.baidu.com/place/detail?uid=2fd2beab57ecd4537bdbd288&output=html&source=placeapi_v2,旅游景点;公园,121.4452406,31.23201825,旅游景点,公园,2021/10/25 0:53,0.30436,1,16151
27,真光公园,上海市,上海市,普陀区,上海市普陀区真光路1865号(近铜川路),35debf29c0d81b45a6da39ca,http://api.map.baidu.com/place/detail?uid=35debf29c0d81b45a6da39ca&output=html&source=placeapi_v2,旅游景点;公园,121.3804371,31.25585408,旅游景点,公园,2021/10/25 0:53,1.28967,1,531
