id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
BV10035458,,叶城路永盛路(公交站),交通设施服务;公交车站;公交车站相关,嘉定6路,,121.244661,31.362209,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0HGS549L6,,中青旅大厦停车场,交通设施服务;停车场;公共停车场,永盛路嘉定区叶城幼儿园,,121.24506,31.362684,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
BV10035367,,永盛路叶城路(公交站),交通设施服务;公交车站;公交车站相关,嘉定1路;嘉定1路大站车;嘉定67路,,121.245642,31.363099,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0G0XDZ5E0,,嘉福汇商务广场地下停车场,交通设施服务;停车场;公共停车场,福海路与永盛路交叉口西南220米,,121.242352,31.364278,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
BV10035457,,普惠路福海路(公交站),交通设施服务;公交车站;公交车站相关,嘉定6路,,121.240377,31.363049,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0H2G7U72V,,福海路-道路停车位,交通设施服务;停车场;路边停车场,福海路与普惠路交叉口东北140米,,121.241236,31.364502,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
BV10035453,,福海路普惠路(公交站),交通设施服务;公交车站;公交车站相关,嘉定5路,,121.240833,31.364288,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0H6GU0J3Z,,红土天阶停车场(出入口),交通设施服务;停车场;停车场出入口,叶城路与胜辛路交叉口东北200米,,121.239184,31.360256,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
BV10035366,,永盛路福海路(公交站),交通设施服务;公交车站;公交车站相关,上嘉线;嘉定1路;嘉定1路大站车;嘉定5路;嘉定67路,,121.243776,31.366432,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
BV10035368,,永盛路回城南路(公交站),交通设施服务;公交车站;公交车站相关,嘉定1路;嘉定1路大站车;嘉定67路,,121.248039,31.358959,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0H2G7W21Q,,福海路-道路停车位,交通设施服务;停车场;路边停车场,福海路与普惠路交叉口西南220米,,121.237856,31.363011,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0H2G7TK73,,良舍路-道路停车位,交通设施服务;停车场;路边停车场,良舍路上海汽车制动系统公司,,121.249459,31.362762,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0HK5HMC9H,,上海嘉定和凌雷克萨斯停车场,交通设施服务;停车场;公共停车场,永盛路2018号上海嘉定和凌雷克萨斯,,121.248492,31.358878,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGMXV99,,停车场(永盛路),交通设施服务;停车场;公共停车场,永盛路,,121.243586,31.367605,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
