id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0IUPUF70E,,FCD游泳健身会所(中青旅旗舰店),体育休闲服务;运动场馆;游泳馆,叶城北路1128号,15001993213,121.243954,31.363201,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.7'}"
B0FFM5BAJ2,,京club(叶城路店),体育休闲服务;娱乐场所;酒吧,叶城路1118号嘉定淮海国际广场F3层,,121.244747,31.362816,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '3.8'}"
B0K6L5MIWN,,壁燃极限壁球馆,体育休闲服务;运动场馆;运动场所,叶城路1128号B1-08室,13564967675,121.244482,31.363286,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.1'}"
B0J0MZ12PE,,淮海国际KTV(嘉定淮海国际广场店),体育休闲服务;娱乐场所;KTV,嘉定淮海国际广场,,121.24479,31.36325,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.1'}"
B0J3X4XTQ5,,麦克台球(中青旅大厦店),体育休闲服务;运动场馆;台球厅,叶城路1118号中青旅大厦B1层,18737622370,121.245052,31.363344,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.2'}"
B0I1LSJCGU,,宇意恒飞乒乓球俱乐部,体育休闲服务;运动场馆;乒乓球馆,永盛路2255弄4号B1,18964537010,121.245032,31.363427,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.2'}"
B0FFIVOVTF,,老酒吧(嘉定淮海国际广场店),体育休闲服务;娱乐场所;酒吧,叶城路1118号嘉定淮海国际广场2层,13262866625,121.245055,31.363417,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.0'}"
B0H1CS33JG,,Deity power fitness健身俱乐部,体育休闲服务;体育休闲服务场所;体育休闲服务场所,浦发香舍东南1门东90米,17601292717,121.243688,31.365615,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.2'}"
B0GU4MRDXD,,欢聚棋牌,体育休闲服务;娱乐场所;棋牌室,永盛路2501弄13号,15821971505,121.243265,31.366273,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.3'}"
B0FFLK2T2V,,钰宁棋牌,体育休闲服务;娱乐场所;棋牌室,嘉定工业区永盛路2551弄3号,18221292880;18321976134,121.243106,31.366717,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.0'}"
B0I2GSA7SC,,儿童游乐,体育休闲服务;休闲场所;游乐场,叶城路与胜辛路交叉口东北160米,,121.238243,31.360418,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '3.8'}"
B0FFFE76OE,,乔琳棋牌,体育休闲服务;娱乐场所;棋牌室,永盛路2551弄11号,15000637898,121.243169,31.366886,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.0'}"
B0I2BMSW2B,,鹏新体育公园,体育休闲服务;运动场馆;综合体育馆,沪南路2418号2楼,,121.237926,31.360998,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '3.9'}"
B0H1ZS5ZAH,cinema,上海海漫国际影城(红土天阶店),体育休闲服务;影剧院;电影院,叶城路1500弄6号楼2-3层,021-59163788,121.237698,31.360733,,上海市,,上海市,,嘉定区,,"{'cost': , 'opentime2': '00:00-24:00', 'seat_ordering': '1', 'rating': '4.6', 'open_time': '24小时营业'}"
B0FFFSXCP1,,永福棋牌(永盛路店),体育休闲服务;娱乐场所;棋牌室,永盛路2551弄17号,13818467923,121.242989,31.366999,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.4'}"
B0JK6C612Y,,球大侠24小时台球棋牌,体育休闲服务;娱乐场所;棋牌室,叶城路1500号红土天阶下沉广场负一层34室,15126009504,121.237772,31.360374,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.3'}"
B0FFJ530AV,,叶城网咖台球(红土天阶店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,叶城路1500号红土天阶B1层,,121.237724,31.360348,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.1'}"
B0I1VC4QPP,,古巴电竞(叶城路店),体育休闲服务;娱乐场所;网吧,红土天阶B1,15255099189,121.23781,31.359924,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.3'}"
B0JKDL5ITJ,,奇唛悦歌KTV(红土天阶),体育休闲服务;娱乐场所;KTV,红土天阶附近,021-60401239,121.237458,31.360745,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.3'}"
B0H06UH6Z2,,麻友汇棋牌室(红土天阶店),体育休闲服务;娱乐场所;棋牌室,叶城路1500号红土天阶B1层,18016308185,121.237732,31.360058,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '3.8'}"
B0FFFSXZA8,,利群棋牌室(永盛路店),体育休闲服务;娱乐场所;棋牌室,永盛路2601弄19号,15221508778,121.242642,31.367489,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.4'}"
