id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0I6Z5L1SG,,应急避难场所,公共设施;公共设施;公共设施,叶城小学西侧,,121.241011,31.362207,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFK6SYM5,,公共厕所,公共设施;公共厕所;公共厕所,福海路嘉福汇商务广场B1层,,121.242203,31.364203,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGJRINX,,应急掩蔽场所(福海路),公共设施;紧急避难场所;紧急避难场所,永盛路与福海路交叉口西150米,,121.242622,31.365737,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0KB9R9OHT,,公共厕所,公共设施;公共厕所;公共厕所,红土天阶附近麦当劳西北面,,121.237056,31.360687,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0I67ANQPZ,,无障碍公共厕所,公共设施;公共厕所;公共厕所,裕民路与普惠路交叉口东北60米,,121.238163,31.366932,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHLT1LV,,公共厕所,公共设施;公共厕所;公共厕所,裕民路1000弄附近,,121.238185,31.366942,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFF5USPN,,应急掩蔽场所(嘉禾大厦西北),公共设施;紧急避难场所;紧急避难场所,叶城路与阳川路交叉口西150米,,121.25169,31.366137,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGSTZJT,,应急避难场所(清水颐园东南),公共设施;紧急避难场所;紧急避难场所,裕民路1000弄99号,,121.240044,31.369584,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0IGASLF4T,,应急避难场所,公共设施;公共设施;公共设施,德富路与城固路交叉口东南40米,,121.251946,31.356337,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFKDVM91,,公共厕所,公共设施;公共厕所;公共厕所,嘉定工业区洪德路1000号西北70米,,121.247417,31.352881,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGL0ADL,,应急避难场所(普惠路),公共设施;紧急避难场所;紧急避难场所,普惠路与嘉安公路交叉口东100米,,121.235324,31.36879,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHC8Q8I,,南苑公园南园-公共厕所,公共设施;公共厕所;公共厕所,福海路220号附近,,121.252658,31.36926,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGNH90K,,公共厕所,公共设施;公共厕所;公共厕所,胜辛路1616号,,121.242223,31.351659,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGL0XEC,,公共厕所,公共设施;公共厕所;公共厕所,裕民路与阳川路交叉口东80米,,121.250354,31.370953,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHC8Q91,,应急避难场所(福海路),公共设施;紧急避难场所;紧急避难场所,福海路与裕民路交叉口西100米,,121.252512,31.369066,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00156CKKD,,公共厕所,公共设施;公共厕所;公共厕所,胜辛路1336号,,121.242166,31.351314,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHC8POR,,应急避难场所(裕民路),公共设施;紧急避难场所;紧急避难场所,裕民路与群裕路交叉口西20米,,121.251157,31.370679,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFFONHQ4,,应急避难场所,公共设施;紧急避难场所;紧急避难场所,裕民路与福海路交叉口西北60米,,121.252865,31.36978,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHC8Q2B,,应急避难场所(群裕路),公共设施;紧急避难场所;紧急避难场所,群裕路55号,,121.251499,31.371894,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHLT7FZ,,公共厕所,公共设施;公共厕所;公共厕所,沪宜公路3518号,,121.246433,31.374006,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFKZGT77,,公共厕所,公共设施;公共厕所;公共厕所,洪德路228号西云楼4号楼2楼,,121.25741,31.356801,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHLSCAM,,公共厕所,公共设施;公共厕所;公共厕所,沪宜公路上海中亚医院(嘉丰路),,121.235477,31.372949,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFIW9NPF,,应急避难场所,公共设施;紧急避难场所;紧急避难场所,沪宜公路与群裕路交叉口西180米,,121.250043,31.373865,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFF5USQC,,应急掩蔽场所(民乐路),公共设施;紧急避难场所;紧急避难场所,民乐路与沪宜公路交叉口西南140米,,121.256955,31.368347,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFF5URVA,,应急避难场所(嘉定水务稽查东),公共设施;紧急避难场所;紧急避难场所,沪宜公路与群裕路交叉口西100米,,121.250873,31.373814,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00157I58O,,小河口银杏园-公共厕所,公共设施;公共厕所;公共厕所,塔城路与西城河南街交叉口西北100米,,121.242582,31.376274,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGH0JHR,,应急掩蔽场所(上海绿地万怡酒店北),公共设施;紧急避难场所;紧急避难场所,沪宜公路3103-3107号附近,,121.258069,31.368694,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGL0S9X,,公共厕所,公共设施;公共厕所;公共厕所,洪德路与裕民南路交叉口西南100米,,121.26004,31.357326,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFH1ZRNI,,紧急避难所(云谷路),公共设施;紧急避难场所;紧急避难场所,云谷路与白银路交叉口北80米,,121.246796,31.347821,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '2.9'}"
B0FFHIXYDR,,应急掩蔽场所(嘉定水务稽查西北),公共设施;紧急避难场所;紧急避难场所,沪宜公路与阳川路交叉口北300米,,121.248504,31.375986,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFIXQKEQ,,公共厕所,公共设施;公共厕所;公共厕所,沪宜公路上海装修市场,,121.258802,31.370436,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHLN1DO,,绿地嘉尚国际广场-无障碍洗手间,公共设施;公共厕所;公共厕所,沪宜公路3128号绿地嘉尚国际广场F3,,121.260344,31.367705,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHCD5QH,,应急避难场所(城中路),公共设施;紧急避难场所;紧急避难场所,城中路与沪宜公路交叉口西北220米,,121.253386,31.37525,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGJRIW6,,公共厕所,公共设施;公共厕所;公共厕所,清河路443-6号附近,,121.235212,31.37628,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFLMC8WV,,男洗手间,公共设施;公共厕所;公共厕所,地铁站11号线白银路站白银路站F1,,121.245652,31.345628,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFLGXIDY,,女洗手间,公共设施;公共厕所;公共厕所,地铁站11号线白银路站白银路站F1,,121.245702,31.345644,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHE4609,,公共厕所,公共设施;公共厕所;公共厕所,清河路与项泾西街交叉口南150米,,121.238233,31.377957,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFMFFN4W,,公共厕所,公共设施;公共厕所;公共厕所,崇信路新城金郡,,121.239814,31.345425,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00157I548,,公共厕所,公共设施;公共厕所;公共厕所,塔城路470弄三皇桥小区,,121.244322,31.378884,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFK7XKCF,,公共厕所,公共设施;公共厕所;公共厕所,塔秀路与永盛路交叉口东80米,,121.255433,31.347965,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGL0GG7,,紫气东来公园-公共厕所,公共设施;公共厕所;公共厕所,塔秀路与依玛路交叉口西南80米,,121.252108,31.346525,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00157HYY5,,公共厕所,公共设施;公共厕所;公共厕所,塔城路与城中路交叉口南200米,,121.248868,31.378446,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHDQZ4M,,公共厕所,公共设施;公共厕所;公共厕所,嘉定人民街人民街绿地(西南角),,121.242151,31.379292,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0IGMA2F12,,应急避难场所,公共设施;公共设施;公共设施,清河路与项泾西街交叉口西南100米,,121.237595,31.378204,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGL0VW7,,紫气东来公园-公共厕所,公共设施;公共厕所;公共厕所,塔秀路与云谷路交叉口东80米,,121.249052,31.345194,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHCQ5OM,,应急避难场所(嘉定南大街),公共设施;紧急避难场所;紧急避难场所,城中路与沪宜公路交叉口北300米,,121.254852,31.376111,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00155JSL8,,公共厕所,公共设施;公共厕所;公共厕所,南大街52号,,121.254252,31.377617,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFMDTNPP,,公共厕所,公共设施;公共厕所;公共厕所,温泉路与高台路交叉口西北140米,,121.234869,31.34532,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0I6C5MQA6,,无障碍公共厕所,公共设施;公共厕所;公共厕所,嘉定南大街与沙霞路交叉口东南200米,,121.254268,31.377641,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHDLFNH,,紧急避难场所(仁丰金源大厦东),公共设施;紧急避难场所;紧急避难场所,永盛路与塔秀路交叉口东南140米,,121.25609,31.347217,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHCWM8O,,紧急避难场所(德富路),公共设施;紧急避难场所;紧急避难场所,德富路与塔秀路交叉口南140米,,121.25715,31.347691,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGL0VTJ,,公共厕所,公共设施;公共厕所;公共厕所,沙霞路93-5号附近,,121.252971,31.379035,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0KB7CL4ES,,公共厕所,公共设施;公共厕所;公共厕所,温泉路与高台路交叉口西南20米,,121.2359,31.344495,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHDGSVC,,公共厕所,公共设施;公共厕所;公共厕所,嘉浏立交桥与G1503上海绕城高速交叉口北120米,,121.22699,31.3499,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0HAKNGICD,,公共厕所,公共设施;公共厕所;公共厕所,天祝路紫气东来公园(西侧),,121.248156,31.343368,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHCWM7O,,紧急避难场所(仁丰金源大厦东南),公共设施;紧急避难场所;紧急避难场所,天祝路与永盛路交叉口东北120米,,121.256304,31.346701,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0IKOU1HCU,,无障碍公共厕所,公共设施;公共厕所;公共厕所,沙霞路与嘉定南大街交叉口西南60米,,121.253129,31.378982,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGJRHAD,,公共厕所,公共设施;公共厕所;公共厕所,嘉定西站3号口,,121.227956,31.376628,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGL0VBI,,紫气东来公园-公共厕所,公共设施;公共厕所;公共厕所,天祝路与云谷路交叉口北40米,,121.249676,31.342671,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGSTX2D,,紧急避难场所(天祝路),公共设施;紧急避难场所;紧急避难场所,天祝路与德富路交叉口东北100米,,121.259044,31.347642,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFMH2EV0,,男洗手间,公共设施;公共厕所;公共厕所,地铁站11号线嘉定西站嘉定西站F1,,121.227942,31.376584,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHLSIW5,,公共厕所,公共设施;公共厕所;公共厕所,嘉定人民街58号附近,,121.24665,31.38216,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFG75T2C,,公共厕所,公共设施;公共厕所;公共厕所,博乐南路128号,,121.261734,31.375663,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHC78BY,,紧急避难场所(嘉罗公路),公共设施;紧急避难场所;紧急避难场所,菊园新区博乐南路158号紧急避难场,,121.260786,31.375776,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHWN0XJ,,公共厕所,公共设施;公共厕所;公共厕所,白银路远香湖公园,,121.266501,31.354925,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
