id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0I6XCD3ZJ,,半日书店(咖啡精酿),购物服务;专卖店;书店,叶城路1128号,18930017319,121.244381,31.362661,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.2'}"
B0FFJBE265,,Mj·Magical journey(嘉定店),购物服务;专卖店;专营店|生活服务;美容美发店;美容美发店,叶城路1128号中青旅国际酒店一层,021-39530932,121.244632,31.362937,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.2'}"
B0FFHCFZKB,,喜士多(嘉定淮海国际广场店),购物服务;便民商店/便利店;便民商店/便利店,叶城路1118号嘉定淮海国际广场F1层,021-61817166,121.245,31.362828,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.3'}"
B0FFIP4NDD,,蓝宫装饰家居文化体验馆,购物服务;家居建材市场;家居建材市场,工业区招贤路666号2号楼3层,021-66901568;13681826735,121.245076,31.3606,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.5'}"
B0I3MZNUII,,斯文虎眼镜定配设计工作室(嘉福汇商务广场1号楼店),购物服务;专卖店;眼镜店,福海路777弄嘉福汇商务广场1号楼1121,18521051943,121.241276,31.363481,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.3'}"
B0JGPHKSLS,,古尔犇清真牛羊肉,购物服务;购物相关场所;购物相关场所,古尔犇牛羊肉2201号,021-39900827;18697273924,121.246868,31.360318,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.5'}"
B0FFFPCUBT,,乡巴佬(永盛路店),购物服务;综合市场;果品市场,招贤路555号,021-39900827;021-69522733;18917360977,121.246981,31.360145,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.7'}"
B0FFFSYA07,,全家便利店(福海路二店),购物服务;便民商店/便利店;便民商店/便利店,嘉定工业区福海路718号,18721762429,121.243124,31.365395,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.5'}"
B0HGJAJ2UR,,牛牛宠艺(叶城路店),购物服务;专卖店;宠物用品店,叶城路1438号,16605688845;17621007956,121.238853,31.360342,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.3'}"
B0FFM9GDU0,,大脚印文画(叶城路校区),购物服务;综合市场;综合市场,嘉定工业区叶城路1500弄红土天阶1号楼,13661660764,121.238085,31.360975,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '3.8'}"
