id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFFONW0X,,上海农商银行(南区分理处),金融保险服务;银行;上海农商银行,福海路735号,021-69952339,121.241731,31.364454,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFKKBNVT,,华烽国际投资控股(中国)有限公司,金融保险服务;金融保险服务机构;金融保险机构,叶城路1299号,,121.241047,31.360177,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFG1Z29H,,上海农商银行24小时自助银行(南区分理处),金融保险服务;自动提款机;上海农商银行ATM,福海路735号,,121.241391,31.364682,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0HKOSHSXP,,搜福财税,金融保险服务;金融保险服务机构;金融保险机构,诚新二手车售后服务展示厅东北门西北80米,,121.24706,31.360014,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '4.2'}"
B0J0NUCOZA,,上海连盈投资有限公司,金融保险服务;金融保险服务机构;金融保险机构,叶城路与良舍路交叉口西南80米,,121.248142,31.363328,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFMBP6M6,,锦囊妙计财税,金融保险服务;财务公司;财务公司,叶城路925号A4栋2-3层(嘉定税务局),13024139888,121.248804,31.362577,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFFS3WV0,,中国光大银行(南苑社区支行),金融保险服务;银行;中国光大银行,福海路369号,021-39947561;021-39948391,121.247648,31.366839,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFG0YWLJ,,中国光大银行24小时自助银行(南苑社区支行),金融保险服务;自动提款机;中国光大银行ATM,福海路369号,,121.247791,31.366884,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00156F56A,,中国农业银行(嘉定开发区支行),金融保险服务;银行;中国农业银行,叶城路818号嘉禾大厦F1层,021-20730506;021-59162564,121.251597,31.365542,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00156F35S,,中国农业银行24小时自助银行(嘉定开发区支行),金融保险服务;自动提款机;中国农业银行ATM,叶城路818号嘉禾大厦F1层,,121.25172,31.365562,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0I67SO5OV,,中国工商银行(永盛路支行),金融保险服务;银行;中国工商银行,永盛路2765-2771号一层,021-59164489;95588,121.241488,31.369905,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFGJ5W0L,,上海晶悦财务咨询有限公司,金融保险服务;金融保险服务机构;金融保险机构,叶城路818号217室,18018500935,121.251751,31.365532,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0JULSLR9J,,中国工商银行24小时自助银行,金融保险服务;自动提款机;中国工商银行ATM,永盛路与裕民路交叉口西北120米,,121.241528,31.369842,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00155F7TU,,中国邮政储蓄银行(叶城营业所),金融保险服务;银行;中国邮政储蓄银行,凤池社区南苑五村西区东南门东北80米,021-59166000;021-59166874,121.25052,31.36835,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00155LIJK,,中国邮政储蓄银行24小时自助银行(叶城营业所),金融保险服务;自动提款机;中国邮政储蓄银行ATM,福海路258号,,121.250568,31.368372,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0J01C43D5,,中国光大银行(上海嘉定支行),金融保险服务;银行;中国光大银行,塔城路885弄3幢2楼,,121.239061,31.372243,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0JKMAD711,,中国农业银行(上海嘉西支行),金融保险服务;银行;中国农业银行,塔城路826号,021-20730541;021-59534586,121.238991,31.372196,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00156F6IJ,,中国农业银行24小时自助银行(上海嘉西支行),金融保险服务;自动提款机;中国农业银行ATM,塔城路885号3栋102室,,121.239018,31.372224,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00155NL82,,中国建设银行(嘉定南门支行),金融保险服务;银行;中国建设银行,福海路158号南门,021-59161903;021-59169982;021-95533,121.253361,31.369676,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00155AUCS,,上海农商银行(嘉西支行),金融保险服务;银行;上海农商银行,嘉定镇塔城路860号,021-59534048,121.237908,31.371993,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0GKPRZCZV,,中国光大银行24小时自助银行(上海嘉定支行),金融保险服务;自动提款机;中国光大银行ATM,塔城路885弄,,121.239046,31.372222,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00155NLKF,,中国建设银行24小时自助银行(上海嘉定南门支行),金融保险服务;自动提款机;中国建设银行ATM,裕民路358号,,121.253386,31.369672,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00155AUCT,,上海农商银行24小时自助银行(嘉西支行),金融保险服务;自动提款机;上海农商银行ATM,塔城路860号,,121.237979,31.372046,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00155AUC6,,上海农商银行(福海路分理处),金融保险服务;银行;上海农商银行,裕民路358号,021-69521865,121.253327,31.369742,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00155Q74Q,,国泰君安证券,金融保险服务;证券公司;证券营业厅,塔城路885号4幢,021-69016100,121.23962,31.372773,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFHKZ9MH,,中国太平洋保险(集团)股份有限公司(叶城路),金融保险服务;保险公司;中国太平洋保险,嘉定工业区裕民路256号1楼,,121.255835,31.367075,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00156YUA0,,生转拉卡拉(民乐社区店),购物服务;便民商店/便利店;便民商店/便利店|金融保险服务;金融保险服务机构;金融保险机构,裕民路325号,,121.254098,31.368651,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '3.6'}"
B0JU95BYLF,,中国太平洋人寿保险股份有限公司,金融保险服务;保险公司;中国太平洋保险,嘉定工业区裕民路256号,,121.255757,31.367093,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00155AUC7,,上海农商银行24小时自助银行(福海路分理处),金融保险服务;自动提款机;上海农商银行ATM,裕民路358号,,121.253281,31.369805,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0JDOC9OOR,,上海农商银,金融保险服务;银行;上海农商银行,塔城路与沪宜公路交叉口北40米,,121.237844,31.371901,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '3.5'}"
B0JKXAM2GD,,招商银行(嘉定新城支行),金融保险服务;银行;招商银行,洪德路398号,021-39526519,121.255872,31.355991,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0J246TUUB,,中国建设银,金融保险服务;银行;中国建设银行,裕民路与福海路交叉口北40米,,121.253443,31.369663,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': '3.8'}"
B0JKG6OM31,,招商银行24小时自助银行(嘉定新城支行),金融保险服务;自动提款机;招商银行ATM,西云楼1门旁,,121.255919,31.356064,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0H1HZTDGJ,,海通证券(嘉定新城西云楼店),金融保险服务;证券公司;证券营业厅,西云楼368-370号1-2层,021-59556357;95553,121.256597,31.356179,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFJPYYIH,,新华人寿,金融保险服务;金融保险服务机构;金融保险机构,西云楼2门旁,,121.256515,31.35614,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0JDRDNN3Q,,中国平安人寿保险股份有限公司上海分公司,金融保险服务;保险公司;中国平安保险公司,叶城路565号隆慧大厦12楼,,121.25865,31.36698,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B00155GHO0,,上海农商银行(嘉定支行),金融保险服务;银行;上海农商银行,叶城路565号,021-69988505;021-69988590,121.259012,31.367242,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0JGR45F77,,中华联合保险有限公司,金融保险服务;保险公司;保险公司,叶城路565号隆慧大厦F11层,,121.258651,31.366985,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0IK1AH7BF,,上海农商银行24小时自助银行,金融保险服务;自动提款机;上海农商银行ATM,叶城路565号隆慧大厦,,121.258875,31.367289,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0FFG4TOVP,,喆龙投资,金融保险服务;金融保险服务机构;金融保险机构,嘉丰路40号-5,13501739588,121.235483,31.374107,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0G3LAGRK6,,上海农商银行(西云楼分理处),金融保险服务;银行;上海农商银行,洪德路214号,021-59960106;021-59960520,121.260252,31.357809,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0JA7MXP57,,浙江稠州商业银行(嘉定支行),金融保险服务;银行;银行,裕民南路1743号,021-69913226,121.260358,31.35815,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0HKVZ50SE,,中国农业银行24小时自助银行,金融保险服务;自动提款机;中国农业银行ATM,云谷路与白银路交叉口西北60米,,121.24647,31.347329,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0JB2RRTJH,,浙江稠州商业银行,金融保险服务;银行;银行,裕民南路1743号,021-69913313,121.260321,31.358084,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0HK677MXL,,嘉企财税,金融保险服务;金融保险服务机构;金融保险机构,白银路928弄5号401室,13651710958,121.246362,31.347253,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0JDBSBB0P,,中国银行,金融保险服务;银行;中国银行,洪德路与裕民南路交叉口东40米,021-59160520,121.261253,31.357806,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
B0KBTZ1Q8M,,西云楼分理处,金融保险服务;银行;银行,裕民南路与洪德路交叉口西北40米,,121.260451,31.35809,,上海市,,上海市,,嘉定区,,"{'cost': , 'rating': }"
