id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
BV11440785,,滕家村(公交站),交通设施服务;公交车站;公交车站相关,南燎专线;青村1线;青村2线,,121.55818971899612,30.890182098626976,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV09184293,,申隆二村(公交站),交通设施服务;公交车站;公交车站相关,南燎专线;青村1线;青村2线,,121.55740032357237,30.892863619356206,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV09184290,,申隆生态园(公交站),交通设施服务;公交车站;公交车站相关,南燎专线;青村1线;青村2线,,121.55666314291604,30.895097769858907,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV09281134,,申隆生态团(公交站),交通设施服务;公交车站;公交车站相关,南燎专线,,121.55666314291604,30.895097769858907,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV09184291,,沿钱公路奉柘公路(公交站),交通设施服务;公交车站;公交车站相关,南燎专线;青村1线;青村2线,,121.55931387543532,30.8845319421422,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0H3TLR0NJ,,上海申隆生态园停车场,交通设施服务;停车场;公共停车场,青村镇申隆一村朱蒋中心路申隆生态园,,121.56476349327463,30.89512272997805,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFIDOEMQ,,停车场,交通设施服务;停车场;公共停车场,朱蒋中心路与银杏大道交叉口东南40米,,121.5654225841774,30.89506434611823,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV11487047,,申隆一村站(公交站),交通设施服务;公交车站;公交车站相关,青村2线,,121.56853503530634,30.892484143033823,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFJAOSN0,,申隆一村145号(后门),交通设施服务;交通服务相关;交通服务相关,朱蒋中心路与奉柘公路交叉口西北460米,,121.56931623605438,30.891733588596587,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10513127,,桃园村(公交站),交通设施服务;公交车站;公交车站相关,青村1线,,121.55869183328971,30.882522509986195,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10026416,,桃园(公交站),交通设施服务;公交车站;公交车站相关,奉卫线;奉贤24路,,121.55833053699106,30.882365635211695,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFM65NZL,,奉贤申隆生态园停车场(出入口),交通设施服务;停车场;停车场出入口,青村镇申隆一村朱蒋中心路申隆生态园上海申隆生态园-2号门停车场内,,121.56452262359565,30.895947187613505,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0H3TLP3IW,,上海东方金融小镇开发有限公司-贵宾停车场,交通设施服务;停车场;停车场相关,青村镇钱桥社区朱蒋村沿钱公路5599号上海申隆生态园内上海东方金融小镇开发有限公司,,121.5667780853473,30.898311582146462,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0H3TLOVP1,,上海致千信息科技有限公司停车场,交通设施服务;停车场;停车场相关,青村镇沿钱公路5599号上海致千信息科技有限公司,,121.5658000582297,30.899201355638244,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0I02ZJEB5,,上海奉贤前昇希尔顿酒店地下停车场,交通设施服务;停车场;公共停车场,融沁路818号上海奉贤前昇希尔顿酒店,,121.56612789790803,30.900259855165483,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0I02ZH9AY,,上海奉贤前昇希尔顿酒店地下停车场(出入口),交通设施服务;停车场;停车场出入口,前昇希尔顿酒店地下停车场,,121.56612789790803,30.900259855165483,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10036863,,平庄公路沿钱公路(公交站),交通设施服务;公交车站;公交车站相关,南五线;青村2线,,121.55575255173899,30.901281691188345,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV09184292,,朱蒋(公交站),交通设施服务;公交车站;公交车站相关,南燎专线;奉卫线;青村2线,,121.5704604564604,30.890429307532656,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10037434,,沿钱公路北横港路(公交站),交通设施服务;公交车站;公交车站相关,青村1线,,121.55317671721276,30.90250392538988,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0I02ZJEB3,,上海奉贤前昇希尔顿酒店地面停车场,交通设施服务;停车场;公共停车场,融沁路818号上海奉贤前昇希尔顿酒店,,121.56601031147757,30.901461175580163,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0H23RS3TA,,上海奉贤宝能希尔顿酒店立体停车场(入口),交通设施服务;停车场;停车场入口,融沁路与融园路交叉口东140米,,121.56644260041874,30.901454154159055,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0I02ZH9AX,,上海奉贤前昇希尔顿酒店地面停车场(出入口),交通设施服务;停车场;停车场出入口,前昇希尔顿酒店地面停车场,,121.56601031147757,30.901461175580163,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0H23RS1A5,,上海奉贤宝能希尔顿酒店立体停车场(出口),交通设施服务;停车场;停车场出口,融沁路与聚永路交叉口西180米,,121.56787472863607,30.901287441610908,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10773863,,平庄公路朱桥路(公交站),交通设施服务;公交车站;公交车站相关,南五线;青村2线,,121.56660062534542,30.90419727039415,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10513136,,奉柘公路海农公路(公交站),交通设施服务;公交车站;公交车站相关,奉卫线;海航专线;青村1线,,121.55248380035461,30.877833470156776,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFGO9DSI,,上海华向橡胶履带有限公司停车场,交通设施服务;停车场;公共停车场,奉柘公路2735号上海华向橡胶履带有限公司,,121.55315170795997,30.87754404965461,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV09266320,,海农公路南横河路(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,奉贤24路,,121.55406590375864,30.87514086592662,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV11127751,,海农公路南横河路(公交站),交通设施服务;公交车站;公交车站相关,奉贤24路;海航专线,,121.55441955689727,30.874043289450086,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10038682,,元通村(公交站),交通设施服务;公交车站;公交车站相关,南五线;南燎专线,,121.53987969490528,30.898438613393612,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0IK6CLC94,,青村镇元通村村委会地面停车场,交通设施服务;停车场;公共停车场,青村镇元通村934号青村镇元通村村委会,,121.54004451537202,30.89882887197888,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0IK6CN1N8,,青村镇元通村村委会地面停车场(出入口),交通设施服务;停车场;停车场出入口,青村镇元通村村委会地面停车场,,121.54004451537202,30.89882887197888,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10789713,,奉柘公路(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南燎专线;奉卫线,,121.5785535785511,30.891693028714126,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00155Q1ZR,,苏家码头,交通设施服务;港口码头;港口码头,奉柘公路,,121.57889902446514,30.892751176224888,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10026417,,周陆(公交站),交通设施服务;公交车站;公交车站相关,奉贤24路;海航专线;青村1线,,121.54299362278812,30.875927047849284,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV11388591,,奉柘公路星火公路(公交站),交通设施服务;公交车站;公交车站相关,奉卫线,,121.54312937670814,30.875961566568286,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV11127752,,海农公路星火公路(公交站),交通设施服务;公交车站;公交车站相关,海航专线,,121.55591439468623,30.869474345932215,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10029250,,星火水闸(公交站),交通设施服务;公交车站;公交车站相关,奉贤24路;海湾1线,,121.55612827126771,30.86908046527485,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
