id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
BV11440785,,滕家村(公交站),交通设施服务;公交车站;公交车站相关,南燎专线;青村1线;青村2线,,121.5624019,30.88781633,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV09184293,,申隆二村(公交站),交通设施服务;公交车站;公交车站相关,南燎专线;青村1线;青村2线,,121.5616143,30.89050066,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV09184290,,申隆生态园(公交站),交通设施服务;公交车站;公交车站相关,南燎专线;青村1线;青村2线,,121.5608788,30.8927373,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV09281134,,申隆生态团(公交站),交通设施服务;公交车站;公交车站相关,南燎专线,,121.5608788,30.8927373,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV09184291,,沿钱公路奉柘公路(公交站),交通设施服务;公交车站;公交车站相关,南燎专线;青村1线;青村2线,,121.5635234,30.88216115,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0H3TLR0NJ,,上海申隆生态园停车场,交通设施服务;停车场;公共停车场,青村镇申隆一村朱蒋中心路申隆生态园,,121.5689641,30.89275055,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10513127,,桃园村(公交站),交通设施服务;公交车站;公交车站相关,青村1线,,121.5629024,30.88015149,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10026416,,桃园(公交站),交通设施服务;公交车站;公交车站相关,奉卫线;奉贤24路,,121.5625418,30.87999508,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFM65NZL,,奉贤申隆生态园停车场(出入口),交通设施服务;停车场;停车场出入口,青村镇申隆一村朱蒋中心路申隆生态园上海申隆生态园-2号门停车场内,,121.5687237,30.8935758,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFIDOEMQ,,停车场,交通设施服务;停车场;公共停车场,朱蒋中心路与银杏大道交叉口东南40米,,121.5696221,30.8926913,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV11487047,,申隆一村站(公交站),交通设施服务;公交车站;公交车站相关,青村2线,,121.5727295,30.89010591,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFJAOSN0,,申隆一村145号(后门),交通设施服务;交通服务相关;交通服务相关,朱蒋中心路与奉柘公路交叉口西北460米,,121.5735095,30.88935406,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV10036863,,平庄公路沿钱公路(公交站),交通设施服务;公交车站;公交车站相关,南五线;青村2线,,121.5599706,30.89892634,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
BV09184292,,朱蒋(公交站),交通设施服务;公交车站;公交车站相关,南燎专线;奉卫线;青村2线,,121.574652,30.88804781,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0H3TLP3IW,,上海东方金融小镇开发有限公司-贵宾停车场,交通设施服务;停车场;停车场相关,青村镇钱桥社区朱蒋村沿钱公路5599号上海申隆生态园内上海东方金融小镇开发有限公司,,121.5709757,30.89593879,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0H3TLOVP1,,上海致千信息科技有限公司停车场,交通设施服务;停车场;停车场相关,青村镇沿钱公路5599号上海致千信息科技有限公司,,121.5699993,30.89683027,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
