id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFK8DD83,,公共厕所,公共设施;公共厕所;公共厕所,中心路与银杏大道交叉口西北160米,,121.5687948,30.89423449,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0JK7RIFFS,,公共厕所,公共设施;公共厕所;公共厕所,中心路与银杏大道交叉口北180米,,121.5691623,30.89461068,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFF03V8X,,公共厕所,公共设施;公共厕所;公共厕所,中心路与朱蒋中心路交叉口东150米,,121.5727615,30.89007895,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00155JZTR,,上海申隆生态园-公共厕所,公共设施;公共厕所;公共厕所,森林大道与融沁路交叉口南220米,,121.569812,30.89757263,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00156G85F,,公共厕所,公共设施;公共厕所;公共厕所,朱蒋中心路与奉柘公路交叉口西北140米,,121.5757533,30.88733713,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0HG2L11IZ,,公共厕所,公共设施;公共厕所;公共厕所,畅心路上海申隆生态园内(北侧),,121.5700443,30.89718011,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFHLS9X9,,公共厕所,公共设施;公共厕所;公共厕所,农工路与南横河路交叉口西20米,,121.5642832,30.87500132,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00156G8U7,,公共厕所,公共设施;公共厕所;公共厕所,朱桥路352-358附近,,121.5709521,30.90350232,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFGO32RD,,公共厕所,公共设施;公共厕所;公共厕所,长丰路与人民路交叉口东北100米,,121.5396537,30.87710799,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFHLTBT2,,公共厕所,公共设施;公共厕所;公共厕所,金王南北路与中横港路交叉口南100米,,121.5354936,30.88092717,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00156G9SS,,公共厕所,公共设施;公共厕所;公共厕所,长丰路53号东南方向60米,,121.5381207,30.87400632,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFG2XTT4,,公共厕所,公共设施;公共厕所;公共厕所,星中路205号海滨一村,,121.5641129,30.86298906,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFGO9CY7,,公共厕所,公共设施;公共厕所;公共厕所,金钱公路凯旋新村,,121.5376233,30.87383528,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFF2CJ46,,公共厕所,公共设施;公共厕所;公共厕所,星安路与海滨路交叉口东南40米,,121.5635992,30.86117843,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0KBFRUX63,,公共厕所,公共设施;公共厕所;公共厕所,振钱路与龙泉路交叉口南40米,,121.5366296,30.87251973,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFH07EUE,,上海都市菜园-公共厕所,公共设施;公共厕所;公共厕所,五四大道与海兴路交叉口西北500米,,121.5832028,30.86733343,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0JULPFT4W,,公共厕所,公共设施;公共厕所;公共厕所,星乐路与海兴路交叉口西北40米,,121.5674446,30.85957713,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFGO3607,,和美南星村公共厕所,公共设施;公共厕所;公共厕所,南横河路,,121.5398793,30.86575908,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0HB6HKNVG,,公共厕所,公共设施;公共厕所;公共厕所,海湾镇海兴路888号,,121.5877406,30.86817655,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0HB24T31W,,公用电话,公共设施;公用电话;公用电话,海湾镇海兴路888弄1号都市菜园内,,121.5849152,30.86528633,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0GKY4EO55,,公共厕所,公共设施;公共厕所;公共厕所,莲塘路与明城路交叉口东140米,,121.5586095,30.85582836,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0HBTO4UK6,,公共厕所,公共设施;公共厕所;公共厕所,品星路与青灵路交叉口南120米,,121.5594877,30.92240178,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0HB3Y8GEP,,公共厕所,公共设施;公共厕所;公共厕所,X429(海兴路),,121.5953351,30.86638523,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0GKC5TT3A,,公共场所,公共设施;公共厕所;公共厕所,吴房村茅草屋对面烟火往事北侧,,121.5180172,30.89588397,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFHLT2IM,,公共厕所,公共设施;公共厕所;公共厕所,青村镇王家宅,,121.5819903,30.92339997,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0I0Y5V0F4,,青村镇老街公共厕所,公共设施;公共厕所;公共厕所,青村南路南街三十九弄39号,,121.5805871,30.92415576,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0I0AH9127,,公共厕所,公共设施;公共厕所;公共厕所,青村南路182号,,121.5806241,30.92409881,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0H3ZAF88C,,公共厕所,公共设施;公共厕所;公共厕所,青村南路182号,,121.5806211,30.92410881,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFF29DPR,,公共厕所,公共设施;公共厕所;公共厕所,奉柘公路与航塘公路交叉口西60米,,121.6068216,30.89874259,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0IGHHEDHH,,无障碍公共厕所,公共设施;公共厕所;公共厕所,南奉公路与城乡路交叉口西100米,,121.575671,30.92627813,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFF2DLA7,,公共厕所,公共设施;公共厕所;公共厕所,南奉公路2729号,,121.579492,30.92594105,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFF03FTE,,公共厕所,公共设施;公共厕所;公共厕所,石海村海边842号,,121.5241673,30.86284003,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFHLT2RG,,公共厕所,公共设施;公共厕所;公共厕所,城乡东路与南奉公路交叉口南140米,,121.583079,30.92487762,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFGCETO9,,公共厕所,公共设施;公共厕所;公共厕所,振兴路与青成路交叉口西北160米,,121.5734042,30.92796422,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFHLT5KI,,公共厕所,公共设施;公共厕所;公共厕所,振浦路36号,,121.576624,30.92746817,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFHLT31O,,公共厕所,公共设施;公共厕所;公共厕所,褚聚南路与奉柘公路交叉口东南40米,,121.6138843,30.90034268,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFHLT4NE,,公共厕所,公共设施;公共厕所;公共厕所,光明路与光伟路交叉口东140米,,121.5134705,30.90906434,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00155H6I8,,光明服务区第二公共厕所,公共设施;公共厕所;公共厕所,光明镇光明服务区,,121.5159348,30.91173479,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0HRVOE92P,,光明服务区公共厕所,公共设施;公共厕所;公共厕所,清璇路与张弄中心路交叉口西200米,,121.5153307,30.91141027,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
