id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFK8DD83,,公共厕所,公共设施;公共厕所;公共厕所,中心路与银杏大道交叉口西北160米,,121.56459378886483,30.896605582709842,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00155JZTR,,上海申隆生态园-公共厕所,公共设施;公共厕所;公共厕所,森林大道与融沁路交叉口南220米,,121.56561239392492,30.899943047972407,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFH07EUE,,上海都市菜园-公共厕所,公共设施;公共厕所;公共厕所,五四大道与海兴路交叉口西北500米,,121.57902292141408,30.86973415922924,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFGO3607,,和美南星村公共厕所,公共设施;公共厕所;公共厕所,南横河路,,121.5356133393653,30.868092988753983,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0HB24T31W,,公用电话,公共设施;公用电话;公用电话,海湾镇海兴路888弄1号都市菜园内,,121.58073703599352,30.86768928480754,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0GKC5TT3A,,公共场所,公共设施;公共厕所;公共厕所,吴房村茅草屋对面烟火往事北侧,,121.51367835627981,30.898142328241228,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0I0Y5V0F4,,青村镇老街公共厕所,公共设施;公共厕所;公共厕所,青村南路南街三十九弄39号,,121.57639992205996,30.926521317836173,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0IGHHEDHH,,无障碍公共厕所,公共设施;公共厕所;公共厕所,南奉公路与城乡路交叉口西100米,,121.57147771129364,30.92863813676064,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0HRVOE92P,,光明服务区公共厕所,公共设施;公共厕所;公共厕所,清璇路与张弄中心路交叉口西200米,,121.51098119514668,30.91365172126323,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFIGH0RZ,,光明服务区第一公共厕所,公共设施;公共厕所;公共厕所,光明镇光明服务区,,121.51110111728204,30.913613451757524,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00155H6I8,,光明服务区第二公共厕所,公共设施;公共厕所;公共厕所,光明镇光明服务区,,121.51158738374775,30.91397780570657,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0HKMCDQ0Z,,上海师范大学-三号教学楼厕所,公共设施;公共厕所;公共厕所,玉兰路上海师范大学(奉贤校区),,121.50990930855399,30.844272232186253,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0KBB7I6JJ,,男洗手间(龙湖·上海奉贤天街),公共设施;公共厕所;男洗手间,金海公路3800号龙湖·上海奉贤天街4F层,,121.48924740164937,30.91680941428286,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0KBB7LJF7,,无障碍洗手间(龙湖·上海奉贤天街),公共设施;公共厕所;残障洗手间/无障碍洗手间,金海公路3800号龙湖·上海奉贤天街2F层,,121.48912557283437,30.916743769742148,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0KBB7MD9C,,公共厕所(龙湖·上海奉贤天街),公共设施;公共厕所;公共厕所,金海公路3800号龙湖·上海奉贤天街2F层,,121.48921418449231,30.916794234183097,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0KBB7OIX6,,母婴室(龙湖·上海奉贤天街),公共设施;公共厕所;婴儿换洗间/哺乳室/母婴室,金海公路3800号龙湖·上海奉贤天街4F层,,121.48910338915763,30.916798571247423,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0KBB7JUS4,,女洗手间(龙湖·上海奉贤天街),公共设施;公共厕所;女洗手间,金海公路3800号龙湖·上海奉贤天街4F层,,121.48917193472712,30.916783994237957,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFM9G924,,女洗手间,公共设施;公共厕所;公共厕所,地铁5号线奉贤新城站奉贤新城站B2,,121.48784824286692,30.91773098292078,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0H3ZADQIF,,公共厕所(碧海金沙),公共设施;公共厕所;公共厕所,海涵路6号,,121.54707609614965,30.825124387000052,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFG653UP,,应急掩蔽场所(海泉路),公共设施;紧急避难场所;紧急避难场所,海泉路与环西路交叉口东140米,,121.50040256165039,30.842908026382613,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0H1JAPAZY,,修改厕所,公共设施;公共厕所;公共厕所,湖畔路与展览路交叉口北100米,,121.49600116844022,30.938610014452347,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFL6MMCJ,,百联南桥购物中心(百齐路店)-洗手间,公共设施;公共厕所;公共厕所,百齐路588号百联南桥购物中心B2,,121.47816858139095,30.921140929431626,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFHEQZYQ,,男洗手间(百联南桥购物中心),公共设施;公共厕所;男洗手间,百齐路588号百联南桥购物中心3F层,,121.47683179723597,30.918950793194764,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0GUZOJKIO,,卫生间隔断,公共设施;公共设施;公共设施,百秀路与百顺路交叉口东北80米,,121.47486472341318,30.91672114349766,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFFDPZ79,,棕榈滩海景酒店洗手间,公共设施;公共厕所;公共厕所,海湾旅游区海鸥路1888号棕榈滩海景酒店1层,,121.51249328087667,30.819448095492607,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFFS8NK8,,公共厕所(装修中),公共设施;公共厕所;公共厕所,海马路与海乐路交叉口西60米,,121.50126340968856,30.826510714046908,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0HDMLW7B3,,亿阳市场公共厕所,公共设施;公共厕所;公共厕所,八字桥路228弄,,121.45817393879888,30.939970047577,310000.0,上海市,21.0,上海市,310120.0,奉贤区,环城东路,
B0FFFDIPT4,,麦当劳(奉贤店)-洗手间,公共设施;公共厕所;公共厕所,南桥镇人民路188号(人民中路周家弄),,121.45437011841288,30.916512842435765,310000.0,上海市,21.0,上海市,310120.0,奉贤区,环城东路,
B0FFKYOD8Q,,公共卫生间,公共设施;公共厕所;公共厕所,鸿程路与展发路交叉口东南80米,,121.42616308245871,30.97048332912728,310000.0,上海市,21.0,上海市,310120.0,奉贤区,,
B0FFMAI5DC,,公厕,公共设施;公共厕所;公共厕所,汇中路与继光路交叉口南80米,,121.5248246713191,30.992198547324623,310000.0,上海市,21.0,上海市,310120.0,奉贤区,中国(上海)自由贸易试验区临港新片区,
B0FFH5F3BS,,韩谊路公共厕所,公共设施;公共厕所;公共厕所,南桥韩谊路商宝兴贤公寓东门(玫瑰苑旁),,121.46011451801192,30.94152991873401,310000.0,上海市,21.0,上海市,310120.0,奉贤区,环城东路,
B0FFL78IBZ,,奉贤宝龙城市广场-男洗手间,公共设施;公共厕所;公共厕所,航南公路5639号奉贤宝龙城市广场F4,,121.45819668667887,30.931961847928232,310000.0,上海市,21.0,上海市,310120.0,奉贤区,环城东路,
B0FFG8U7WL,,西渡公园-公共厕所,公共设施;公共厕所;公共厕所,扶兰路西渡公园(西侧),,121.43443954475796,30.99105206365957,310000.0,上海市,21.0,上海市,310120.0,奉贤区,西渡,
B0I0M54JZZ,,公共厕所(上海海湾国家森林公园游客中心),公共设施;公共厕所;公共厕所,海湾镇随塘河路1677号,,121.6746418016481,30.867811032832353,310000.0,上海市,21.0,上海市,310120.0,奉贤区,中国(上海)自由贸易试验区临港新片区,
B0J3V78NFQ,,公共厕所(渔沥村游客中心),公共设施;公共厕所;公共厕所,渔沥村友谊路旁游客接待中心北,,121.38219681691258,30.9740693328001,310000.0,上海市,21.0,上海市,310120.0,奉贤区,,
