id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0J2VUJQ8Y,,上海易博门窗,购物服务;家居建材市场;建材五金市场,沿钱公路与中横港路交叉口南20米,15921876816,121.55797786069411,30.89064892539302,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B00156G7FK,,申隆超市,购物服务;便民商店/便利店;便民商店/便利店,青村镇申隆二村2004号,,121.55622834248074,30.895163355287778,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0G3A675QS,,桑记乐汇生鲜超市,购物服务;专卖店;专营店,沿钱公路与森林大道交叉口西南40米,18939774476,121.55632575043975,30.895081752002998,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.8'}"
B0FFGBXAYT,,上海双翼建材经营部,购物服务;家居建材市场;建材五金市场,钱桥镇桃园村1111号(奉柘公路沿钱公路交界),13641989627;18121045627,121.55978480811079,30.88292813337141,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B0FFG8GGUO,,近海食品店,购物服务;便民商店/便利店;便民商店/便利店,青村镇钱桥奉柘公路2538号,,121.55764498721696,30.88221280406779,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.0'}"
B0JASK7YT3,,黄沙水泥加气块建筑材料,购物服务;家居建材市场;家居建材市场,奉柘公路与竹奉路交叉口东南220米,15000133168,121.55622809806441,30.878606703269856,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0G0XSXMAC,,庆现食品店,购物服务;便民商店/便利店;便民商店/便利店,中横港路与竹中路交叉口西南20米,13817843750,121.54471333864784,30.88749751112148,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0FFGB9ITU,,中财管道,购物服务;家居建材市场;建材五金市场,钱桥镇奉柘公路2720号,18049709577;18930339577,121.55190840492189,30.877849479494056,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.6'}"
B0IB5C37Y2,,车站食品(安全放心店),购物服务;便民商店/便利店;便民商店/便利店,青村镇申隆二村丁夏1404号,,121.55279701816279,30.903212819616215,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B0JK5SCPRX,,老二两钓鱼俱乐部,购物服务;专卖店;专营店,沿钱公路4698号,13651815751,121.547671803711,30.905052378305804,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.7'}"
B0FFM8W0JC,,永程大理石,购物服务;家居建材市场;建材五金市场,奉柘公路与星火公路交叉路口北侧,13585636515;15102161318,121.54364089217965,30.876233330952285,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.3'}"
B0FFFRSCCO,,新如海超市(奉柘公路店),购物服务;超级市场;超市,上海申凡起重设备有限公司东北门西160米,,121.54355747934497,30.87617705778723,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B0FFLDNQVG,,四民食品店,购物服务;便民商店/便利店;便民商店/便利店,盐青路北侧,,121.5793840084959,30.897308363325568,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.7'}"
B0JA27K1AA,,方太官方授权社区5S店(海湾店),购物服务;购物相关场所;购物相关场所,瞭海路137号,18321479768,121.55880742257571,30.869523957823535,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.3'}"
B0GK0H9ENX,,上海如天包装设备有限公司,购物服务;家电电子卖场;手机销售|公司企业;公司;公司,青村镇钱桥路1153号,021-67182903;13611916529,121.54264318088332,30.87370717980857,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.0'}"
B00156YZW2,,上海永新家具,购物服务;家居建材市场;家具城,青村镇钱桥社区奉柘公路3038号,13671737518;15221928753,121.53990566147365,30.87539465991663,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B0FFFRT5QC,,古城家具厂家直销,购物服务;家居建材市场;家具城,钱桥镇奉柘公路3068号,13311872928,121.53929940295228,30.875226227979805,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B0FFL5APXM,,乐佳生鲜超市,购物服务;购物相关场所;购物相关场所,奉城镇星火农场了海路155号,18019706266,121.55941158525918,30.869598589928756,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0FFIDHL0L,,赛蒂食品店,购物服务;便民商店/便利店;便民商店/便利店,海湾铭苑西南1门旁,18017819869,121.55667156884422,30.868124242748802,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.4'}"
B0FFKH6WMJ,,宠乐缘宠物店,购物服务;专卖店;宠物用品店,海湾铭苑西南1门旁,13917888081,121.55684224469096,30.867794149006862,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0FFL07QWL,,爱玛电动车二本机电(海农公路店),购物服务;专卖店;自行车专卖店,海湾镇海农公路1680号,18918038510,121.5568804293256,30.867711358332734,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0FFGBBAIM,,米壹佰便利店,购物服务;便民商店/便利店;便民商店/便利店,海湾镇民乐路28弄87号113,13167197788,121.55625912805587,30.866808495219445,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.0'}"
B0FFH0ZPF9,,大瓜宠物,购物服务;专卖店;宠物用品店,民乐路28弄88号104,13816356977;18721763940,121.55637569698814,30.86646225556694,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.8'}"
B0FFHKN4CS,,上海市奉贤区车站便利店,购物服务;便民商店/便利店;便民商店/便利店,海湾镇民乐路28弄88号114室,17321186737,121.55658656703885,30.86601742517641,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.3'}"
B0FFH2QGHW,,美视眼镜(海湾店),购物服务;专卖店;眼镜店,民乐路28弄89-101(农工商斜对面),15021191395,121.55664980869557,30.865870782299112,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B0H1MUZL0X,,海湾书店,购物服务;专卖店;书店,民乐路28弄89号113室,19921462846,121.55682360758833,30.86533893021182,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B0FFK7F00P,,城市书屋,购物服务;专卖店;书店,海农公路与民乐路交叉口西北60米,,121.55731452154883,30.86512266018714,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.8'}"
B0FFIMCYRT,,万权便利店,购物服务;便民商店/便利店;便民商店/便利店,"海湾镇,海湾新苑大门口",17317899616,121.55266519124703,30.86824021435179,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
