id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFK7914I,,上海东方金融小镇开发有限公司,金融保险服务;金融保险服务机构;金融保险机构,青村镇钱桥社区朱蒋村沿钱公路5599号上海申隆生态园内,,121.56667581351682,30.898452197708437,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFFFMCHL,,中国邮政储蓄银行(钱桥营业所),金融保险服务;银行;中国邮政储蓄银行,钱桥镇长丰路147-149号,021-57598176;95580,121.53414232010411,30.878031621366862,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00156G7WJ,,中国邮政储蓄银行24小时自助银行(钱桥营业所),金融保险服务;自动提款机;中国邮政储蓄银行ATM,长丰路147-149号,,121.53429216451912,30.87799536351303,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00156GNYQ,,上海农商银行(钱桥支行),金融保险服务;银行;上海农商银行,振水路17号,021-57596185;021-57596569,121.53270207087252,30.877657246007992,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00156GO7H,,上海农商银行24小时自助银行,金融保险服务;自动提款机;上海农商银行ATM,振水路17号,,121.53270207260631,30.877636268222762,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00155IUN4,,中国建设银行(上海星火支行),金融保险服务;银行;中国建设银行,星火开发区民乐路52号,021-57501041;021-57503081;95533,121.55398744967171,30.863955575540732,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFFEL9JT,,上海农商银行(海湾分理处),金融保险服务;银行;上海农商银行,海湾镇海农公路1488号,021-57501098,121.55843195804694,30.863773520113508,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00156GB2T,,中国建设银行24小时自助银行(上海星火支行),金融保险服务;自动提款机;中国建设银行ATM,民乐路52号,,121.55417124375074,30.864003113956066,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00155IOMI,,中国邮政储蓄银行(海湾支行),金融保险服务;银行;中国邮政储蓄银行,星火农场海滨路163号,021-57501555,121.55910748572286,30.86364961471909,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFGCBOGF,,上海农商银行24小时自助银行(海湾分理处),金融保险服务;自动提款机;上海农商银行ATM,海农公路1488号,,121.55845199694205,30.863779577526152,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0JKTO98XX,,海湾分理处,金融保险服务;银行;银行,海滨路与海农公路交叉口东北20米,,121.55831452784517,30.863761195747674,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0GDSLS4F5,,中国工商银行(青村支行),金融保险服务;银行;中国工商银行,南奉公路3111弄19号楼,021-37567390,121.56537093598817,30.92883140096676,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0JUOUI0J7,,上海农商银行(青村支行),金融保险服务;银行;上海农商银行,南奉公路3111弄5号,021-57561083;021-57566259,121.5664170316778,30.928678955262857,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
