id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFLIIQ2I,,诚滨库里-面停车场,交通设施服务;停车场;停车场相关,杨行镇杨宗路181号诚滨库里面停车场,,121.414981,31.388053,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034236,,杨北路杨北支路(公交站),交通设施服务;公交车站;公交车站相关,宝山83路,,121.409859,31.391111,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0IA1HV4ZS,,上海宏奎货运有限公司地面停车场,交通设施服务;停车场;公共停车场,杨北路188号上海宏奎货运有限公司,,121.415416,31.391958,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0G1L55WEJ,,北宗村4号桥停车场,交通设施服务;停车场;停车场相关,北宗村4号桥,,121.405282,31.38851,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10034237,,杨北路杨宗路(公交站),交通设施服务;公交车站;公交车站相关,宝山83路,,121.403242,31.389592,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10039885,,富锦路(地铁站),交通设施服务;地铁站;地铁站,1号线,,121.424661,31.39226,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BX10016223,,富锦路地铁站1号口,交通设施服务;地铁站;出入口,1号线,,121.424524,31.392869,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFGLDPNK,,富锦路站停车场,交通设施服务;停车场;公共停车场,地铁1号线富锦路站(富锦路地铁站2号口步行80米),,121.424845,31.391229,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BX10016224,,富锦路地铁站2号口,交通设施服务;地铁站;出入口,1号线,,121.424868,31.391728,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0015721NL,,富锦路综合客运交通枢纽,交通设施服务;长途汽车站;长途汽车站,富锦路地铁站1号口步行220米,,121.423395,31.39472,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFI87641,,海德坊停车场,交通设施服务;停车场;公共停车场,蕰川路2336号(富锦路地铁站1号口步行130米),,121.423682,31.393613,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10027601,,杨北(公交站),交通设施服务;公交车站;公交车站相关,172路;宝山21路,,121.424942,31.392559,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFKAXEYQ,,P+R停车场,交通设施服务;停车场;专用停车场,杨北路与蕰川公路交叉口西60米,,121.42379,31.394382,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10589228,,杨北路蕰川公路(公交站),交通设施服务;公交车站;公交车站相关,1603路;宝山14路;宝山6路;宝山83路;宝山91路;宝山92路;宝山95路,,121.423826,31.394596,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFGT38J5,,富锦路站停车场(出入口),交通设施服务;停车场;停车场出入口,富锦路地铁站2号口步行80米,,121.425124,31.3914,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0IRB7YFQK,,地面停车场,交通设施服务;停车场;公共停车场,蕰川公路与白沙园路交叉口西20米,,121.425198,31.39142,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFI0N3HP,,上海交投场站企业管理有限公司停车场,交通设施服务;停车场;公共停车场,杨北路1087号(富锦路地铁站1号口步行290米),,121.423671,31.394624,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0G2CZ7034,,蕰川路停车场,交通设施服务;停车场;停车场相关,蕰川路2399号(富锦路地铁站2号口步行250米),,121.425312,31.392248,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0HBRH7AXZ,,洋北停车场,交通设施服务;停车场;公共停车场,白沙园路与蕰川公路交叉口东20米,15618155213,121.425757,31.391341,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11469228,,友谊西路富长路(公交站),交通设施服务;公交车站;公交车站相关,宝山9路,,121.412808,31.376892,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0KDGUNTEX,,富锦路2058号停车场,交通设施服务;停车场;公共停车场,蕰川公路与G1503上海绕城高速入口交叉口西北120米,,121.42309,31.397027,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0HUAU8K9J,,优登停车场(宝山充电站),交通设施服务;停车场;停车场相关,友谊西路1号(友谊西路地铁站1号口步行380米),15618888530,121.425693,31.382647,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10384409,,富锦路锦伟路(公交站),交通设施服务;公交车站;公交车站相关,宝山83路,,121.399128,31.393498,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11469223,,富长路友谊西路(公交站),交通设施服务;公交车站;公交车站相关,宝山9路,,121.411098,31.375686,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0G0OAU5UF,,四季都会停车场,交通设施服务;停车场;公共停车场,月城路,,121.427581,31.391099,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV10851463,,月城路白沙园路(公交站),交通设施服务;公交车站;公交车站相关,宝山30路,,121.427669,31.391411,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0H0RM974W,,上海建筑科技产业园停车场,交通设施服务;停车场;公共停车场,湄星路与蕰川公路交叉口西220米,,121.425772,31.381961,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
BV11469229,,友谊西路蕰川公路(公交站),交通设施服务;公交车站;公交车站相关,宝山9路,,121.426758,31.382765,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
