id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0J11LAX5S,,小宋草莓园,体育休闲服务;休闲场所;采摘园,杨宗路260号,15021713016,121.407879,31.385342,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.3'}"
B0J0CACW3P,,小吴奶油草莓园,体育休闲服务;休闲场所;采摘园,百姓敬老院东北50米(杨宗路东),17621630419,121.405136,31.385861,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.5'}"
B00156GKO2,,宝山区百姓敬老院,体育休闲服务;度假疗养场所;疗养院,杨宗路308号,021-33852677,121.404764,31.385471,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B00156GKC8,,宝山区杨行镇北宗村老年活动中心,体育休闲服务;休闲场所;休闲场所,杨行镇,,121.404156,31.387477,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B00157ETOS,,草莓采摘体验基地,体育休闲服务;休闲场所;采摘园,杨行镇北宗村杨宗路378号(近杨北路),13120516128,121.401771,31.390226,,上海市,,上海市,,宝山区,,"{'cost': '67.00', 'rating': '4.1'}"
B0FFL7Q6N7,,联怡网咖(富锦路地铁站),体育休闲服务;娱乐场所;网吧,1号线富锦路地铁站2号出口蕰川路2390号201室,15821169273,121.424596,31.391274,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.3'}"
B0FFKVKM2V,,上海宝山沣德养老院,体育休闲服务;度假疗养场所;疗养院,湄星路1850号,021-66680189;13046690689,121.412689,31.376163,,上海市,,上海市,,宝山区,,"{'cost': '4294.00', 'rating': }"
B0FFH0WJ51,cinema,亿博国际影城(昊耀科创大厦店),体育休闲服务;影剧院;电影院,蕰川路1999号亿博大厦4层,021-66221200,121.429098,31.382912,,上海市,,上海市,,宝山区,,"{'cost': , 'opentime2': '09:00-01:30', 'seat_ordering': '1', 'rating': '4.8', 'open_time': '09:00-01:30'}"
B0JDHXZF8F,,辰悦健身工作室,体育休闲服务;运动场馆;健身中心,白沙园路与月城路交叉口东240米,13681683849,121.429829,31.392324,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '3.7'}"
B0J36DJBR0,,恐龙传奇(杨泰路店),体育休闲服务;休闲场所;游乐场,远洋·悦庭东南3门旁,19165893011,121.430071,31.393411,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.3'}"
