id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFGLGEUR,,好又多超市(严江巷店),购物服务;便民商店/便利店;便民商店/便利店,杨行镇北宗村严江巷16号,,121.410947,31.389055,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.3'}"
B0FFGBWN6H,,家和超市,购物服务;便民商店/便利店;便民商店/便利店,杨北路至杨宗路苗林幼儿园二号桥小拐第一个转弯口往西至,,121.410642,31.388276,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.4'}"
B0G3M71F3F,,杨北便利超市,购物服务;便民商店/便利店;便民商店/便利店,杨北中心村东区西门南50米,,121.410459,31.392277,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.4'}"
B0FFI1120R,,惠优美综合商店,购物服务;便民商店/便利店;便民商店/便利店,杨行镇杨北路204号,15921621267;17321280186,121.419991,31.392815,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.5'}"
B0FFGH9GFT,,快乐购超市(北宗村店),购物服务;便民商店/便利店;便民商店/便利店,杨行镇石家堰北宗村杨宗路1号,15067989188,121.401223,31.390951,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.7'}"
B00156YUFK,,易杨超市(杨宗店),购物服务;超级市场;超市,杨行镇石浜东23号,17317362908,121.401053,31.391636,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.7'}"
B0FFH15QON,,招商·海德坊商业步行街,购物服务;特色商业街;步行街,蕰川公路与白沙园路交叉口西100米(富锦路地铁站2号口旁),,121.424387,31.391685,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.2'}"
B0FFGI0Y5F,,海上人生(招商·海德坊商业步行街店),购物服务;购物相关场所;购物相关场所,招商·海德坊商业步行街,15021470668;18616810335,121.424625,31.391188,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '3.8'}"
B0G107GYIR,,京东便利店(招商·海德坊商业步行街店),购物服务;便民商店/便利店;便民商店/便利店,蕰川路2408号101室(富锦路地铁站2口步行90米),15201748852,121.424305,31.392139,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.3'}"
B0FFJ18MLV,,全家便利店(蕰川路四店),购物服务;便民商店/便利店;便民商店/便利店,杨行镇富锦地铁站1号出口,021-56160183;13512173880,121.42402,31.393074,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.5'}"
B0GRYSUNNA,,佰驰装饰门窗,购物服务;家居建材市场;建材五金市场,富联三路66号,17717280063;18254000505,121.408006,31.377294,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.5'}"
B0HRV1B3OK,,兴发铝材上海总代理(友谊西路店),购物服务;家居建材市场;建材五金市场,湄星路1955号,13817566464,121.408971,31.377027,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.4'}"
B0FFI66AR9,,易佰生活超市(工人公寓店),购物服务;超级市场;超市,顾村镇湄星路1918号,13162788548,121.411613,31.376193,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.4'}"
B0FFMF8BFB,,库奇铝板批发加工铝板剪板折边激光切割铝板冲孔刨槽,购物服务;家居建材市场;建材五金市场,友谊西路1号(地铁站口步行360米),15000988003,121.425879,31.382642,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.4'}"
B0FFI74LXL,,乐满家小店,购物服务;便民商店/便利店;便民商店/便利店,杨行镇北宗村(近杨宗路),,121.397778,31.388144,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.2'}"
B0JKHM9O2X,,立明种子店,购物服务;购物相关场所;购物相关场所,湄星路1918号-10号,13305529330,121.411827,31.375761,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.4'}"
B001579HW2,,花花公子(锦富路),购物服务;服装鞋帽皮具店;品牌服装店|公司企业;公司;公司,共祥路439号,15202175117,121.406284,31.400781,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.4'}"
B0FFG983BY,,天天超市(远洋·悦庭店),购物服务;便民商店/便利店;便民商店/便利店,白沙园路远洋悦庭(富锦路地铁站2号口步行490米),13918724086,121.427777,31.392533,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '4.4'}"
B0FFHWL2CE,,安达曼广场,购物服务;商场;普通商场,杨行镇盘古路2650号,021-36625566,121.429245,31.388667,,上海市,,上海市,,宝山区,,"{'cost': '20966.00', 'rating': '4.5'}"
B0HKYDS2LG,,雅迪电动车(白沙园路店),购物服务;专卖店;自行车专卖店,白沙园路远洋悦庭,,121.428075,31.392637,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '3.9'}"
B0HKYDS2LG,,雅迪电动车(白沙园路店),购物服务;专卖店;自行车专卖店,白沙园路远洋悦庭,,121.428075,31.392637,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': '3.9'}"
