id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0H2A78A70,,中国平安,金融保险服务;金融保险服务机构;金融保险机构,蕰川路1999号昊耀科创大厦F6层,,121.429214,31.382707,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B001571DPL,,中国邮政储蓄银行24小时自助银行(月浦支行),金融保险服务;自动提款机;中国邮政储蓄银行ATM,德都路52-4号,,121.426963,31.404146,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B00156EMBK,,中国邮政储蓄银行(月浦支行),金融保险服务;银行;中国邮政储蓄银行,德都路52-4号,021-66931798,121.426935,31.404388,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFGPWQ2D,,中国人寿(金悦·生活广场),金融保险服务;保险公司;中国人寿保险公司,德都路18号金悦·生活广场3F层,,121.428411,31.402879,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFM0OHON,,中国邮政储蓄银行(月城路营业所),金融保险服务;银行;中国邮政储蓄银行,月城路230号杨行邮政支局菜鸟驿站月城路,021-56800614;95580,121.43455,31.376715,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFLDTCYL,,中国邮政储蓄银行24小时自助银行(月城路营业所),金融保险服务;自动提款机;中国邮政储蓄银行ATM,四季都会·荣万悦宁苑北门西北60米,,121.434592,31.376628,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0HRYREWUZ,,上海银行(月浦支行),金融保险服务;银行;上海银行,安家路19号,021-36300437;021-36303106,121.425993,31.409916,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B00155FGAC,,中国建设银行(绥化路支行),金融保险服务;银行;中国建设银行,绥化路160-164号,021-36301075;95533,121.43268,31.405859,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B001571DP3,,中国建设银行24小时自助银行(绥化路支行),金融保险服务;自动提款机;中国建设银行ATM,绥化路162-164号,,121.432709,31.405832,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFF9UHI8,,上海农商银行(杨泰路分理处),金融保险服务;银行;上海农商银行,杨泰路539号大旻广场美好生活F1层,021-66037351;021-66037679,121.439802,31.379273,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B001558D8A,,中国建设银行(上海月浦支行),金融保险服务;银行;中国建设银行,月浦镇四元路307号,021-56938852,121.424872,31.413489,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFIT8XPN,,温州银行(松兰路社区支行),金融保险服务;银行;银行,松兰路1069号,021-56390270,121.443316,31.382647,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFFFMCBZ,,中国建设银行ATM,金融保险服务;自动提款机;中国建设银行ATM,四元路307号,,121.424743,31.413451,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B001558D8O,,中国建设银行(杨行支行),金融保险服务;银行;中国建设银行,杨桃路155号,021-56802823,121.441005,31.373381,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0J117ZJN1,,中国农业银行(上海顾北东路支行),金融保险服务;银行;中国农业银行,顾北东路106号一层,,121.415233,31.360225,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B001571E8L,,中国建设银行24小时自助银行(杨行支行),金融保险服务;自动提款机;中国建设银行ATM,杨桃路155号,,121.441022,31.373228,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFKB81B3,,中国建设银行(顾北东路支行),金融保险服务;银行;中国建设银行,顾北东路142号,021-56047230;021-56047231,121.414117,31.359515,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFGNWJRV,,上海农商银行(四元路分理处),金融保险服务;银行;上海农商银行,月浦镇四元路151号,021-66930021,121.429564,31.41367,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFLAM8TV,,中国建设银行24小时自助银行(上海顾北东路支行),金融保险服务;自动提款机;中国建设银行ATM,顾北东路与富长路交叉口西南360米,,121.414172,31.359588,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0JG5C5IXR,,公司注册财税管家,金融保险服务;金融保险服务机构;金融保险机构,顾北东路120号,,121.415048,31.360286,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
B0FFHBT9BP,,上海迪九投资控股有限公司杨桃路分行,金融保险服务;金融保险服务机构;金融保险机构,杨桃路167号附近,,121.440525,31.372915,,上海市,,上海市,,宝山区,,"{'cost': , 'rating': }"
