id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
BV10032146,,大川公路浦红西路(公交站),交通设施服务;公交车站;公交车站相关,1065路;浦东55路,,121.73509,31.083376,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV09081661,,大川公路S32(公交站),交通设施服务;公交车站;公交车站相关,浦东55路,,121.735039,31.088948,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10032147,,会龙村(公交站),交通设施服务;公交车站;公交车站相关,1065路,,121.735039,31.088948,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV11554734,,宣梅路宣春路(公交站),交通设施服务;公交车站;公交车站相关,浦东59路,,121.730461,31.085533,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0HGCSHN8D,,会龙寺停车场,交通设施服务;停车场;公共停车场,六灶镇会龙村101号(近南六公路)会龙寺,,121.728167,31.090286,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H2N5E2HW,,上海智微世纪酒店停车场,交通设施服务;停车场;公共停车场,宣秋路699号1栋上海智微世纪酒店,,121.725349,31.090319,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0FFMFBL8U,,联祝停车场,交通设施服务;停车场;停车场相关,宣兰路与宣秋路交叉口南140米,,121.722184,31.088341,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H0N7UPMW,,上海市公安局浦东分局交通警察支队七大队停车场,交通设施服务;停车场;公共停车场,宣桥镇宣夏路518号上海市公安局浦东分局交通警察支队七大队,,121.72205,31.087568,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10034571,,大川公路下盐路(公交站),交通设施服务;公交车站;公交车站相关,806路;惠南6路;浦东51路;浦东55路,,121.735195,31.071933,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV11554737,,宣春路宣竹路(公交站),交通设施服务;公交车站;公交车站相关,浦东59路,,121.718849,31.083651,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10032148,,大川公路卫亭路(公交站),交通设施服务;公交车站;公交车站相关,1065路;浦东55路,,121.734306,31.100365,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10503556,,下盐路大川公路(公交站),交通设施服务;公交车站;公交车站相关,806路;惠南6路;浦东51路,,121.734536,31.071137,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10557659,,听潮路下盐路(公交站),交通设施服务;公交车站;公交车站相关,1138路,,121.741829,31.070765,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10942652,,下盐路光明村(公交站),交通设施服务;公交车站;公交车站相关,浦东51路,,121.726912,31.070475,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10557654,,拱海路听悦路(公交站),交通设施服务;公交车站;公交车站相关,1138路;幸福惠南专列定制专线;浦东107路北段,,121.738887,31.069474,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV11042555,,下盐路园中路(光明村)(公交站),交通设施服务;公交车站;公交车站相关,惠南6路,,121.726912,31.070475,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10032151,,卫民村6组(公交站),交通设施服务;公交车站;公交车站相关,1065路,,121.748546,31.099622,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV11562533,,下盐路城西路(公交站),交通设施服务;公交车站;公交车站相关,1138路;浦东93路,,121.750981,31.073238,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV11049093,,拱秀路城西路(公交站),交通设施服务;公交车站;公交车站相关,幸福惠南专列定制专线;浦东107路北段;浦东57路;浦东93路;浦东96路,,121.748414,31.068626,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10942649,,南六公路宣春路(中路)(公交站),交通设施服务;公交车站;公交车站相关,浦东51路,,121.710851,31.083316,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV11258010,,南六公路宣春路(公交站),交通设施服务;公交车站;公交车站相关,南龙专线;浦东71路,,121.710851,31.083316,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV11568131,,下盐路光明路(公交站),交通设施服务;公交车站;公交车站相关,806路;宣桥1路;浦东87路,,121.719353,31.069835,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0FFH15RW4,,浦汇地面停车场,交通设施服务;停车场;公共停车场,祝桥镇祝西村1390号,,121.758305,31.094034,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10588102,,拱晨路听潮路(公交站),交通设施服务;公交车站;公交车站相关,1070路,,121.741081,31.065278,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0JGPSK1L6,,维也纳酒店(上海浦东机场南祝路店)地面停车场,交通设施服务;停车场;公共停车场,维也纳酒店(上海浦东机场南祝路店),,121.760697,31.08774,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10942651,,南六公路五丰路(五星村)(公交站),交通设施服务;公交车站;公交车站相关,浦东51路,,121.712153,31.07533,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV11258012,,南六公路会龙路(公交站),交通设施服务;公交车站;公交车站相关,南龙专线;浦东51路;浦东71路,,121.709635,31.093546,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV10928796,,南祝路盐朝公路(盐仓)(公交站),交通设施服务;公交车站;公交车站相关,机场八线;浦东24路;浦东99路;浦东9路,,121.762054,31.086243,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
BV11154207,,南六公路会龙路(会龙湖)(公交站),交通设施服务;公交车站;公交车站相关,浦东51路,,121.709627,31.093619,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
