id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0HBRS6HFU,,成田草莓园,体育休闲服务;休闲场所;采摘园,祝桥镇大川公路23组中心路交叉口,,121.734846,31.084516,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.0'}"
B0FFMBBRFZ,,老王甜瓜草莓采摘园,体育休闲服务;休闲场所;采摘园,大川公路与会龙路交叉口往西30米南侧,13381546480;17521144547,121.734141,31.087717,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0GKDUTVJG,,生态农业草莓园,体育休闲服务;休闲场所;采摘园,大川工路浦红西路公交车站向北30米处,,121.735343,31.083795,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '3.6'}"
B0I3XS7JUY,,上海浦东惠兵渔业专业合作社休闲垂钓中心,体育休闲服务;休闲场所;垂钓园,大川公路288号,15000260456,121.73433,31.09019,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0IKBUH7NG,,小蜗牛农场·草莓采摘园,体育休闲服务;体育休闲服务场所;体育休闲服务场所,环园南路和浩虹路交叉口,15900603317,121.732489,31.081784,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.2'}"
B0HAT5Z4W2,,亲和谷,体育休闲服务;度假疗养场所;疗养院,宣梅路309号,18621302102,121.728557,31.089014,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0FFJFPM23,,陈佳草莓园,体育休闲服务;体育休闲服务场所;体育休闲服务场所,上海市浦东新区浦红西路18组,17717060405,121.742141,31.083794,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.2'}"
B0HK6S5T73,,小甄草莓园,体育休闲服务;休闲场所;采摘园,大川公路与立新南路交叉口往西100米北侧,18456096606,121.732994,31.078703,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '3.6'}"
B0FFJ033AW,,蜗牛花园农场,公司企业;农林牧渔基地;其它农林牧渔基地|体育休闲服务;休闲场所;休闲场所,上海琼宴水产养殖专业合作社西南门旁,13918666551,121.74295,31.092694,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B00155764F,,会龙养老院,体育休闲服务;度假疗养场所;疗养院,川沙新镇,,121.726112,31.092201,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0IUH5NBA9,,小甄草莓采摘园,体育休闲服务;休闲场所;采摘园,环园南路与宣兰路交叉口,18505583956,121.724092,31.081029,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.1'}"
B0FFL82ST3,,红枫苑,体育休闲服务;休闲场所;休闲场所,宣桥镇大川公路4599号大门直走看见,,121.734909,31.073576,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.2'}"
B0J1FZ8HID,,林间烟火(大川公路店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,大川公路1888号,15821157788,121.735595,31.073459,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0FFM9009F,,COZY酷时迪士尼精品民宿,体育休闲服务;体育休闲服务场所;体育休闲服务场所,上海浦东新区六灶镇汇龙村5组572号,18201755087,121.722711,31.094857,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0FFI10BA0,,上海金龙养护院,体育休闲服务;度假疗养场所;疗养院,下盐路明祥苑南区东北400米,021-58034510,121.727548,31.07338,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0I66ZDGA7,,休闲生态农庄,体育休闲服务;休闲场所;休闲场所,光明村金光154号,15021133478,121.724806,31.074529,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.2'}"
B0FFIXJZPG,,老唐草莓园,体育休闲服务;休闲场所;采摘园,下盐路与永安路交叉口摊位在西边,13120849187;15800809610,121.741692,31.072048,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.2'}"
B00155IR1J,,海阳养老院,体育休闲服务;度假疗养场所;疗养院,宣桥镇光明村495号,021-58032208,121.719025,31.078694,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H6BDE9Y3,,郑记草莓园,体育休闲服务;休闲场所;采摘园,大川公路卫亭路向东20米,13524521602,121.734742,31.101367,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '3.7'}"
B0FFK2F4YY,,小康草莓采摘园,体育休闲服务;体育休闲服务场所;体育休闲服务场所,下盐路与城西路对面向西20米,18721696725,121.749343,31.073172,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '3.8'}"
B0K6FUGZ90,,麻雀林棋牌,体育休闲服务;娱乐场所;棋牌室,惠南镇听悦路1461号2楼,13817002367,121.738078,31.068228,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.1'}"
