id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0IAKUGB7E,,无障碍公共厕所,公共设施;公共厕所;公共厕所,朱新路与五灶港交叉口南120米,,121.727209,31.091186,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H3VD9QR6,,民防工程(浦东南汇宣桥三灶社区),公共设施;紧急避难场所;紧急避难场所,闵家浜路80弄,,121.72196,31.074975,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H3VD896K,,民防工程,公共设施;紧急避难场所;紧急避难场所,拱海路79弄,,121.738263,31.069672,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H3VDAD9G,,民防工程(民乐大型居住社区),公共设施;紧急避难场所;紧急避难场所,拱海路459弄,,121.744501,31.07108,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0J0JZK6AI,,公共厕所,公共设施;公共厕所;公共厕所,听悦路与拱海路交叉口南140米,,121.738183,31.068144,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H3VD7TTG,,民防工程,公共设施;紧急避难场所;紧急避难场所,惠南镇拱海路78弄,,121.736618,31.068432,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H3VD8GNK,,民防工程,公共设施;紧急避难场所;紧急避难场所,听悦路1353号,,121.736661,31.066179,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H3VD8VVR,,民防工程(乐民大型居住社区),公共设施;紧急避难场所;紧急避难场所,听康路79弄,,121.747706,31.069055,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H3VD6ZDD,,民防工程(汇雅苑南苑),公共设施;紧急避难场所;紧急避难场所,拱优路79弄,,121.750913,31.070317,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H3VD76RH,,民防工程(民乐城秀园东园),公共设施;紧急避难场所;紧急避难场所,听康路190弄,,121.746759,31.06735,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0H3VDA5TF,,民防工程,公共设施;紧急避难场所;紧急避难场所,拱辰路256弄,,121.740069,31.064903,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
