id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFI64XVI,,尚优生鲜超市(宣秋路店),购物服务;综合市场;农副产品市场,会龙街16号,13817615191,121.727356,31.090139,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0FFJJNMFS,,顺发五金(宣兰路店),购物服务;家居建材市场;建材五金市场,宣桥镇三灶工业园区宣兰路222号,,121.722886,31.086179,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0FFLERSQT,,五金建材,购物服务;家居建材市场;建材五金市场,宣春路光明村711号,13482691163,121.718384,31.083512,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0JUYKJURN,,中国联通沃店(宣春路店),购物服务;家电电子卖场;手机销售,宣春路与光明路交叉口西60米,,121.71799,31.083648,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.0'}"
B00155QN2K,,义乌小商品(宣春路店),购物服务;综合市场;小商品市场|购物服务;专卖店;专营店,宣桥镇三灶工业园宣春路741号旁,,121.717893,31.083625,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0FFHHO1ET,,如海超市(拱海路店),购物服务;超级市场;超市,惠南镇拱海路79弄11号101室,13795386404;18950629622,121.739826,31.069768,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.0'}"
B0G2FO3PRB,,倍优倍惠中心菜场(听悦店),购物服务;综合市场;蔬菜市场,听悦路1489号,13818717114,121.738196,31.068905,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0H1JCOXGJ,,盒马邻里(上海浦东拱海路店),购物服务;超级市场;超市,惠南镇拱海路505号,,121.745516,31.070584,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0HDFAG6IW,,媖小胖宠物生活馆,购物服务;专卖店;宠物用品店,惠南镇拱海路493号(民乐城兰丽苑西苑旁),13916860561;13918111984,121.745402,31.070456,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B00155QMFL,,磊磊园区超市,公司企业;公司;公司|购物服务;购物相关场所;购物相关场所,宣桥镇三灶宣秋路210号,,121.713881,31.08858,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0FFGVVFFM,,远景门窗制作总汇,购物服务;家居建材市场;建材五金市场,三灶光明村金光220号,13764780065,121.722303,31.07114,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0H31CYW6K,,萌小派宠物(民乐城兰丽苑东苑店),购物服务;专卖店;宠物用品店,拱海路673-1室国大药房隔壁,17721111529,121.749201,31.071644,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0HGNHNU76,,小杨石膏线,购物服务;家居建材市场;建材五金市场,下盐路1292号,13162678569,121.722705,31.069836,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.7'}"
B0FFKPHLLL,,清美鲜食(民乐城店),购物服务;综合市场;农副产品市场,拱海路755弄1-13号民乐城汇雅苑北苑,18916165245;4006071717,121.749948,31.071609,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.6'}"
B0GK6HQXD9,,一花一世界(民乐大居店),购物服务;花鸟鱼虫市场;花卉市场,惠南镇听健路129号,13764309526;19145524285,121.744071,31.067943,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.6'}"
B0HRH757RI,,罗森(民乐城秀园西苑店),购物服务;便民商店/便利店;便民商店/便利店,拱秀路136号1层,13801959366;4008206390,121.744725,31.06805,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0FFFPNNSL,,乐买购购物中心(浦红西路店),购物服务;超级市场;超市,祝桥镇浦红西路72号,15988089865,121.758577,31.087447,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.6'}"
B0FFHW0370,,品上生活(民乐大居店),购物服务;超级市场;超市,惠南镇听悦路1330路,13371909327,121.738625,31.066032,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0I0V4CGGA,,惠圆开锁换锁配汽车钥匙,购物服务;购物相关场所;购物相关场所,惠南镇听悦路1337号,17132111262,121.738283,31.065782,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.8'}"
B0FFGY6QY8,,三灶花木城,购物服务;花鸟鱼虫市场;花卉市场,川沙新镇宣秋路99号,,121.71099,31.088659,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.7'}"
B0GUCS64J5,,拱秀路商业街,购物服务;特色商业街;特色商业街,拱秀路与听康路交叉口西20米,,121.747319,31.068252,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0FFIXRG08,,新艺家具电器批发零售,购物服务;家居建材市场;家具城,下盐路光明村160号,18036322819;18201728813,121.720681,31.069603,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0FFLCVFCH,,尚优玛特生鲜特卖(听悦路店),购物服务;超级市场;超市,听悦路1335号,,121.738192,31.065751,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0HKDSURBK,,爱家玛特生活超市(听悦路店),购物服务;超级市场;超市,听悦路与拱晨路交叉口北60米,,121.738332,31.065639,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0FFK7P74Z,,可心食品超市,购物服务;便民商店/便利店;便民商店/便利店,宣桥镇三灶村五星468号,15921780235,121.711873,31.079317,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.6'}"
B0IRLAHNZ4,,弘亮遮阳雨蓬(雨棚)雨篷,购物服务;家居建材市场;建材五金市场,下盐路139号-2号,13122371167,121.719452,31.069506,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0FFKM7C43,,美的智慧家(祝桥镇柘颐美的专卖店),购物服务;家电电子卖场;家电电子卖场,祝桥镇上海浦东新区盐仓街浦红西路18-5美的专卖店,13918676263,121.759426,31.087294,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.0'}"
B0FFKP7DNW,,鑫荻五金,购物服务;家居建材市场;建材五金市场,拱晨路269号鑫荻五金九牧专卖店,17717687517,121.74118,31.065534,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0FFINHV1I,,老闵榨油点,购物服务;综合市场;农副产品市场,三吉路与新明南路交叉口东北280米,13795334078,121.729618,31.106712,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0HAS99H9X,,好又多生鲜超市(浦红西路店),购物服务;超级市场;超市,祝桥镇浦红西路71号,,121.759803,31.087109,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0JGSAG7DZ,,窗世界,购物服务;家居建材市场;建材五金市场,下盐公路(光明村)132号,13391433180,121.718943,31.069263,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B00152EB17,,盐仓菜场(盐仓建工大楼店),购物服务;综合市场;蔬菜市场,南祝路盐仓建工大楼,,121.760936,31.087142,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.8'}"
B0FFI9NS26,,盐仓集贸市场,购物服务;综合市场;综合市场,祝桥镇盐仓镇沿路街10号,13661524561,121.760743,31.087085,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0HDTSK26P,,老储杂货店,购物服务;便民商店/便利店;便民商店/便利店,祝桥镇祝西村1142号,17701625234,121.75645,31.098773,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0FFG36TUQ,,方太官方旗舰店(两港店),购物服务;家居建材市场;厨卫市场,两港装饰城A栋117-120号,13764223717,121.711754,31.075441,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.2'}"
B0JDHU9VJH,,索菲亚(两港共创店),购物服务;家居建材市场;家居建材市场,南六公路699弄两港装饰城B栋一层116号,19121209476,121.711807,31.074625,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.7'}"
B0FFL0DX9V,,仙果缘果品批发部(听悦路店),购物服务;综合市场;果品市场,民乐城丽园北园东门南70米,15021962760;18701969897,121.738358,31.063667,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0FFF5UNEE,,上海如海(川南奉公路店),购物服务;购物相关场所;购物相关场所,祝桥镇川南奉公路5642号,021-58097987;18301751521,121.761199,31.087864,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0G3GZSO5W,,正大遮阳雨棚车棚帐篷,购物服务;购物相关场所;购物相关场所,南祝路5625号,18016239853,121.761151,31.088777,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0FFGE63D5,,两港装饰B,商务住宅;楼宇;商务写字楼|购物服务;家居建材市场;建材五金市场,南六公路699号,,121.711649,31.074515,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.7'}"
B0FFGE63D5,,两港装饰B,商务住宅;楼宇;商务写字楼|购物服务;家居建材市场;建材五金市场,南六公路699号,,121.711649,31.074515,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.7'}"
B0JD6DZGC1,,天顺景观防腐,购物服务;购物相关场所;购物相关场所,南六公路如意路南60米,13795404902,121.712791,31.073342,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0FFGW4B4T,,马可波罗瓷砖(南汇两港店),购物服务;家居建材市场;建材五金市场,南六公路699号两港装饰B F1层,021-68272113;18501602670,121.711705,31.074539,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B00155N8NO,,联华超市(盐仓店),购物服务;超级市场;超市,盐仓镇商住楼8号,021-38090067,121.761649,31.087818,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0FFM4BR23,,恒洁卫浴(南汇两港专卖店),购物服务;家居建材市场;厨卫市场,宣桥镇南六公路装饰城B栋一楼135-140号马可波罗瓷砖隔壁,13801781725,121.711651,31.07449,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B001558CQY,,中国电信(盐仓合作营业厅),购物服务;家电电子卖场;手机销售|生活服务;电讯营业厅;中国电信营业厅,祝桥镇盐仓南祝路5684号,021-38226678,121.761808,31.086487,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0HR0CWVUR,,两港慕思寝具专卖店(两港装饰B店),购物服务;家居建材市场;家居建材市场,南六公路699号两港装饰城B栋2层237-240,021-50880969,121.711679,31.074445,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '3.9'}"
B0FFJ8DZSF,,大艺树地板(两港装饰B店),购物服务;家居建材市场;建材五金市场,南六公路699号两港装饰B F2层,021-58270669,121.711768,31.074099,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '3.9'}"
B0FFHCGI3S,,祝闽石材,购物服务;家居建材市场;建材五金市场,祝桥镇川南奉公路5550号,021-20919289;18964882749,121.759446,31.096037,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0FFG8FZB9,,启龙通讯,购物服务;家电电子卖场;手机销售,祝桥镇盐仓镇浦红东路8-1号,,121.762258,31.087441,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.7'}"
B0FFKKCOKS,,小潘烟酒饮料冷饮批发商行,购物服务;便民商店/便利店;便民商店/便利店,上海市上海市浦东新区,13621657578;15900843131,121.71557,31.069417,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0FFG8DZT6,,诺贝尔瓷砖(两港装饰城店),购物服务;家居建材市场;建材五金市场,宣桥镇南六公路799弄两港装饰城C幢1层,021-68246038;13917724084,121.711961,31.072878,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0FFFZ1840,,雅迪电动车(三灶小乔旗舰店),购物服务;专卖店;自行车专卖店,下盐路3959号(中国农业银行东行20米),13671654178,121.715067,31.069327,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.2'}"
B0HBR55K1J,,壹品仓020会员仓库直购中心(南汇壹品仓店),购物服务;商场;普通商场,南六公路677号,021-33758000,121.711876,31.071261,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0FFL1IZJ2,,宏盛通风设备,购物服务;专卖店;专营店|公司企业;公司;公司,祝桥镇南祝路5749号,13761862572;17870423767,121.762739,31.08451,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0FFJCS7H0,,百得胜全屋环保定制(上海两港店),购物服务;家居建材市场;家居建材市场,宣桥镇两港装饰城D座一楼,13311675563;13512192614,121.712043,31.072384,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '3.8'}"
B0FFLAEISI,,三灶水果批发,购物服务;综合市场;果品市场,下盐公路与南六公路辅路交叉口东120米,13816258217,121.714091,31.069768,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0FFMEEEFW,,糖朝果品批发行,购物服务;综合市场;果品市场,祝桥镇浦红东路16号糖朝果品,17177766661,121.763171,31.087499,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0FFG836E9,,毅斐集贸市场,购物服务;综合市场;综合市场,亦园路73弄与下盐路辅路交叉口西南20米,13585682752,121.714764,31.068831,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0FFHPVDW8,,连家五金灯具,购物服务;家居建材市场;建材五金市场,上海市上海市浦东新区,13024161899,121.762696,31.08042,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0FFFSA4TB,,小刀电动车(亦园路店),购物服务;专卖店;自行车专卖店,亦园路74弄60-62号,18217617710,121.713899,31.069344,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B0FFLGFQCT,,明燕烟糖便利商店,购物服务;便民商店/便利店;便民商店/便利店,祝桥镇南祝路光明祝西小区东方鸿景斜对面,13524469828;13651908553,121.759341,31.099066,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.6'}"
B0GKU7JL36,,小许石材批发楼梯门套窗套扶手外墙,购物服务;家居建材市场;建材五金市场,南六公路699弄两港港装饰一支弄25号,13145641108;13585718760,121.710666,31.072635,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0JAX76RJD,,上海AOAO宠物度假乐园,购物服务;专卖店;宠物用品店,川沙镇六灶新吉村村委会向南200m东侧,13661661913,121.720687,31.10734,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.2'}"
B0FFLOFC3D,,两港立邦涂料,购物服务;综合市场;综合市场,南六公路699弄两港装饰城2支弄6栋517-519号,15026667909,121.71076,31.07243,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.0'}"
B0FFIMXYEH,,东鹏瓷砖(两港连锁店),购物服务;家居建材市场;建材五金市场,南六公路699弄两港装饰城一支弄94号东鹏瓷砖,13612530837;13651839555,121.710898,31.072024,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B00155QMHE,,联华超市(亦园店),购物服务;超级市场;超市,下盐路3974-3976号,021-58039336,121.713836,31.068728,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.2'}"
B0JA6LHAOY,,生活家地板(两港店),购物服务;家居建材市场;建材五金市场,南六公路699弄一支弄142-144号,18964919042,121.710949,31.071655,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B00155G9Q3,,冠珠陶瓷(两港装饰城店),购物服务;购物相关场所;购物相关场所,南六公路699弄两港装饰城一支弄33-35号,021-68246815;13918793989,121.710053,31.0728,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0IGYHG401,,美利达自行车(宣桥镇店),购物服务;专卖店;自行车专卖店,宣桥镇亦园路75弄65号,18916122215,121.71334,31.068525,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.3'}"
B0G3ON92NI,,浦商生鲜(拱乐路店),购物服务;综合市场;农副产品市场,拱乐路2501号,,121.741287,31.061351,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.4'}"
B00155AL2Q,,上海两港装饰城,购物服务;家居建材市场;家具建材综合市场,,13636373548,121.70827,31.072995,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
B0GKHC1FA9,,科凡全屋定制工厂旗舰店,购物服务;家居建材市场;家居建材市场,两港装饰城一支弄128号,021-20983822;15000976373;19101707698,121.709605,31.072012,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.6'}"
B0KGLHK1IJ,,奥普浴霸铝扣板批发,购物服务;家居建材市场;厨卫市场|购物服务;家居建材市场;建材五金市场,南六公路699号一支弄195号,13370082667,121.710676,31.070984,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': '4.5'}"
