id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0GRUU65DG,,上海银行(通济路支行),金融保险服务;银行;上海银行,拱秀路202-210号,,121.74605,31.068095,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0G33NU3L2,,上海银行24小时自助银行(通济路支行),金融保险服务;自动提款机;上海银行ATM,拱秀路202号,,121.745953,31.068007,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B0FFK08EZH,,上海农商银行(民乐支行),金融保险服务;银行;上海农商银行,听悦路1167-1171号,021-58240135,121.73834,31.063463,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B00155IO9S,,中国邮政储蓄银行(盐仓镇支行),金融保险服务;银行;中国邮政储蓄银行,祝桥镇南祝路2368号,021-58096721,121.761872,31.086238,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B001571DUP,,中国邮政储蓄银行24小时自助银行(盐仓镇支行),金融保险服务;自动提款机;中国邮政储蓄银行ATM,盐仓镇,,121.761981,31.086159,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B00155L8HQ,,中国农业银行(上海盐仓支行),金融保险服务;银行;中国农业银行,浦红东路8号,021-20736009;95599,121.762582,31.087423,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B001558DJC,,中国农业银行24小时自助银行(盐仓支行),金融保险服务;自动提款机;中国农业银行ATM,浦红东路8号,,121.762683,31.087424,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B001557LW2,,上海农商银行(盐仓支行),金融保险服务;银行;上海农商银行,祝桥镇盐仓浦红东路10号,021-58098844,121.762918,31.087442,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B00155IO9U,,上海农商银行24小时自助银行(盐仓支行),金融保险服务;自动提款机;上海农商银行ATM,浦红东路10号,,121.762779,31.087476,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
B001558DJ7,,中国农业银行(三灶支行),金融保险服务;银行;中国农业银行,宣桥镇下盐路3929号,021-58037162;95599,121.714053,31.069385,,上海市,,上海市,,浦东新区,,"{'cost': , 'rating': }"
