id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFGPQAOB,,公共厕所,公共设施;公共厕所;公共厕所,龙跃村路与金张公路交叉口南80米,,121.236219,30.824811,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0K6YH2IFW,,公共厕所,公共设施;公共厕所;公共厕所,塌石桥路与干溪街交叉口南20米,,121.237885,30.826501,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0FFHLT74Q,,公共厕所,公共设施;公共厕所;公共厕所,兰亭街88号,,121.23495,30.827855,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0FFF2QLAX,,公共厕所,公共设施;公共厕所;公共厕所,红光路98附近,,121.237044,30.828379,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0FFHLS7SI,,公共厕所,公共设施;公共厕所;公共厕所,龙士路汇丰馨苑,,121.240735,30.82835,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0JGFHOH9D,,公共厕所,公共设施;公共厕所;公共厕所,小普陀路141号,,121.235038,30.830091,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0FFL34WV0,,公共厕所,公共设施;公共厕所;公共厕所,X204(金石北路),,121.216828,30.836274,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B00156D1LP,,公共厕所,公共设施;公共厕所;公共厕所,金石南路2255号,,121.248577,30.78561,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0FFG8NESB,,公共厕所,公共设施;公共厕所;公共厕所,金张支线中国石化金堰加油站,,121.270222,30.79391,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B00156GAJ4,,公共厕所,公共设施;公共厕所;公共厕所,建圩路与钱商大街交叉口西20米,,121.247718,30.776714,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0FFF2ARXZ,,公共厕所,公共设施;公共厕所;公共厕所,依佳依超市(廊下店),,121.195818,30.788749,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B00156GAOK,,公共厕所,公共设施;公共厕所;公共厕所,秦弯路与金石南路交叉口西80米,,121.249842,30.774241,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B00156GP6U,,张堰公园-公共厕所,公共设施;公共厕所;公共厕所,花贤路68号张堰公园(西南角),,121.28311,30.80347,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0FFF08KDY,,公共厕所,公共设施;公共厕所;公共厕所,廊下大街与益民路交叉口东北100米,,121.193111,30.786132,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B00156GB7B,,公共厕所,公共设施;公共厕所;公共厕所,景乐路与金廊公路交叉口东80米,,121.189744,30.789761,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0FFGLM5N2,,公共厕所,公共设施;公共厕所;公共厕所,花贤路与张堰大街交叉口西40米,,121.284736,30.802265,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0KB6R9DUB,,公共厕所,公共设施;公共厕所;公共厕所,益民路与廊下大街交叉口西北60米,,121.19193,30.786228,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
B0FFGLSDYI,,公共厕所,公共设施;公共厕所;公共厕所,新华路40弄5号,,121.287139,30.804597,,上海市,,上海市,,金山区,,"{'cost': , 'rating': }"
