id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFHFDXSB,,威尔仕健身(老西门新苑),体育休闲服务;运动场馆;健身中心,西藏南路688弄15号(老西门地铁站3号口步行320米),021-31659446;021-63461803,121.47427726508091,31.220113952469966,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.6'}"
B0J3PR9G1U,,乐刻健身(老西门南六MIX精品馆),体育休闲服务;运动场馆;健身中心,西藏南路686号南六B1层,13761848103,121.47467182455753,31.22093642519315,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.7'}"
B0FFHQ32TA,,执琢健身(老西门店),体育休闲服务;运动场馆;健身中心,西藏南路769-3号(文惠小区底商),15618919677,121.47579160503417,31.21989080817951,,上海市,,上海市,,黄浦区,,"{'cost': '6687.00', 'rating': '4.2'}"
B0FFHS9K7Y,,嘉草网咖(卢湾国际广场店),体育休闲服务;娱乐场所;网吧,西藏南路518-528号地下一层,021-53865808,121.47403131327124,31.22157117251696,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.6'}"
B0J2UL2KSV,,喜联空间,体育休闲服务;影剧院;剧场,湖滨路168号无限极荟购物中心2楼W19b,17887950037,121.4729341719857,31.222351272894343,310000.0,上海市,21.0,上海市,310101.0,黄浦区,淮海路,
B00152CA98,cinema,UME国际影城(上海新天地店),体育休闲服务;影剧院;电影院,兴业路123弄1-7号上海新天地南里5层L501/502,021-63878808;021-63841122;021-63733333,121.47088150176502,31.22080431484099,310000.0,上海市,21.0,上海市,310101.0,黄浦区,新天地(上海新天地南北里店),
B0FFFAL85E,,Y+瑜伽会所(新天地店),体育休闲服务;运动场馆;健身中心,湖滨路202号企业天地5号楼3层,021-63336363;021-63406161;4000090999,121.4744913412259,31.222980342838554,310000.0,上海市,21.0,上海市,310101.0,黄浦区,淮海路,
B0J6UUJE2K,,尽情喜剧脱口秀(上海新天地店),体育休闲服务;影剧院;剧场,湖滨路150号地下一层E03A单元,,121.47458366641196,31.222817679576554,310000.0,上海市,21.0,上海市,310101.0,黄浦区,淮海路,
B0FFKQ0895,,Jumplify室内蹦极运动(新天地店),体育休闲服务;运动场馆;健身中心,湖滨路168号无限极荟购物中心B1层,15801878363,121.47361442917892,31.222563075261515,310000.0,上海市,21.0,上海市,310101.0,黄浦区,淮海路,
B0FFM9KVNC,,威尔仕健身(玖号会所),体育休闲服务;运动场馆;健身中心,济南路9号三楼威尔仕健身,021-31659474,121.4727474488249,31.22352519982158,310000.0,上海市,21.0,上海市,310101.0,黄浦区,淮海路,
B0FFG92FJR,,蚂蚁健身康复私教工作室(永惠大厦A栋店),体育休闲服务;运动场馆;健身中心,西藏南路765号永惠大厦A座1301室,15222277211;18217117371,121.47598998342677,31.21984199474354,,上海市,,上海市,,黄浦区,,"{'cost': '2885.00', 'rating': '4.0'}"
B0K6VR1IOY,,谎宴·云胡岛剧本杀推理社,体育休闲服务;体育休闲服务场所;体育休闲服务场所,西藏南路765号永惠大厦2201室,18341310206,121.47608158789275,31.219925445645906,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.6'}"
B0GKVB2MWM,,凯平棋牌会所(永惠大厦店),体育休闲服务;娱乐场所;棋牌室,西藏南路765号永惠大厦21楼2103室,021-63330332,121.47613298717064,31.219640006928664,,上海市,,上海市,,黄浦区,,"{'cost': '61.00', 'rating': '4.2'}"
B0K6ZMSBJL,,撩8·24小时自助台球,体育休闲服务;运动场馆;台球厅,建国新路1号(实华公寓进),18516108892,121.47579281262418,31.218678965775744,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.5'}"
B00150CEAC,,斜桥游泳池,体育休闲服务;运动场馆;游泳馆,大吉路218号(陆家浜路地铁站4号口步行330米),021-63450508,121.47420425024168,31.217412108420138,,上海市,,上海市,,黄浦区,,"{'cost': '19.00', 'rating': '4.7'}"
B0HD3UQ8ZZ,,骨语荟·推拿艾灸(陆家浜路店),体育休闲服务;休闲场所;休闲场所,陆家浜路1378号万事利大厦1701室,13402025437,121.47410592574168,31.214998851829506,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.3'}"
B0FFJB4CGX,,Super monkey(新天地时尚Ⅱ),体育休闲服务;运动场馆;健身中心,马当路245号新天地时尚ⅡB1层B137,4009009166,121.47066695628922,31.218936608946148,310000.0,上海市,21.0,上海市,310101.0,黄浦区,淮海路,
B0FFK90QTC,,Real Gym私教工作室(新邻生活站商场店),体育休闲服务;运动场馆;健身中心,陆家浜路1100号新邻生活站商场F3层,18512115368,121.47781539910629,31.215425726724465,,上海市,,上海市,,黄浦区,,"{'cost': '260.00', 'rating': '4.0'}"
B0I2YZQBO5,,喵杏雀庄(立直麻将馆),体育休闲服务;娱乐场所;棋牌室,陆家浜路1100号裙楼2F摩客空间208室,13386156979,121.47863300949545,31.215465428599725,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.5'}"
B0IRUC44IA,,六号棋牌吧(紫宇大楼店),体育休闲服务;娱乐场所;棋牌室,制造局路27紫宇大楼5层(陆家浜路地铁站7号口步行430米),16628566323,121.47352713026474,31.21444809098707,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.6'}"
B0FFH0HHG8,,雀王棋牌俱乐部(斜士路店),体育休闲服务;娱乐场所;棋牌室,斜土路75号,021-63337981;13162625905,121.47448828591278,31.210632221200157,,上海市,,上海市,,黄浦区,,"{'cost': '61.00', 'rating': '4.7'}"
B0FFJKP0KN,cinema,橙天嘉禾影城(上海LuOne凯德晶萃店),体育休闲服务;影剧院;电影院,徐家汇路268号05-29六层06-16室,021-63133332;15900972850,121.47205509645961,31.212417550155298,310000.0,上海市,21.0,上海市,310101.0,黄浦区,,
B0J275GQTX,,Blac+Blac(中海环宇荟店),体育休闲服务;娱乐场所;酒吧,黄陂南路838弄环宇荟地面一层L120-121,17621089487,121.47249041187688,31.21394702668958,310000.0,上海市,21.0,上海市,310101.0,黄浦区,,
B0FFK7VAKB,,BOLD Wellness Club,体育休闲服务;运动场馆;健身中心,马当路616号(马当路地铁站出入口步行70米),021-53866669,121.47152335243503,31.21222317110024,310000.0,上海市,21.0,上海市,310101.0,黄浦区,,
B0G0LZH1ZU,diner,bluefrog蓝蛙(LuOne凯德晶萃广场店),餐饮服务;外国餐厅;西餐厅(综合风味)|体育休闲服务;娱乐场所;酒吧,徐家汇路268号凯德晶萃广场01层23B/24A/24B号,021-53521757,121.4727895946675,31.211766904908846,310000.0,上海市,21.0,上海市,310101.0,黄浦区,,
B0FFL004R6,,大公鸡小酒馆(中海环宇荟),体育休闲服务;娱乐场所;酒吧,黄陂南路838弄中海环宇荟L1层L122,,121.47251448916573,31.213980077865486,310000.0,上海市,21.0,上海市,310101.0,黄浦区,,
B0FFL008M2,,多多淘(LuOne凯德晶萃广场徐家汇路),体育休闲服务;休闲场所;游乐场,徐家汇路268号LuOne凯德晶萃广场F3层,021-60829521,121.47192666989253,31.21242618992514,310000.0,上海市,21.0,上海市,310101.0,黄浦区,,
B0FFIL7D65,,LOKAL(湖滨道店),体育休闲服务;娱乐场所;酒吧|餐饮服务;中餐厅;中餐厅,湖滨路150号湖滨道购物中心F1,021-63290227;19121792915,121.47000781194913,31.22459473419676,,上海市,,上海市,,黄浦区,,"{'cost': '81.00', 'opentime2': '07:00-22:00', 'rating': '4.6', 'open_time': '07:00-22:00', 'meal_ordering': '0'}"
B0FFK3LV2E,,威尔仕健身(企业天地),体育休闲服务;运动场馆;健身中心,湖滨路企业天地3号楼,021-31659473,121.46847574391069,31.224467409755448,,上海市,,上海市,,黄浦区,,"{'cost': '11417.00', 'rating': '4.5'}"
B0H17D6CI3,,FITLAB(无限极荟购物中心店),体育休闲服务;娱乐场所;娱乐场所,湖滨路168号无限极荟购物中心B1层,021-53860788;17521182317,121.46839016924183,31.224447957748122,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.3'}"
B0FFHS9G4U,,Hercules健身订制工作室(新天地店),体育休闲服务;运动场馆;健身中心,普安路189号曙光大厦F11层,,121.46984140978847,31.22644607263756,,上海市,,上海市,,黄浦区,,"{'cost': '226.00', 'rating': '3.9'}"
B00155D3BS,,好乐迪(新天地店),体育休闲服务;娱乐场所;KTV|体育休闲服务;娱乐场所;迪厅,顺昌路2号1-2层,021-63115858;021-63288388,121.46739145984243,31.225598422785374,,上海市,,上海市,,黄浦区,,"{'cost': '165.00', 'rating': '4.8'}"
B0FFK6FFIY,,The Odd Couple酒吧,体育休闲服务;娱乐场所;酒吧,太仓路一八一弄新天地北里25号楼二层,021-63332363,121.46593827386165,31.223990068794738,,上海市,,上海市,,黄浦区,,"{'cost': '195.00', 'rating': '4.7'}"
B0FFKSYM42,,拳击猫精酿啤酒(新天地店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,太仓路181弄2号上海新天地南北里F1层,021-53510116,121.46542990061441,31.224800576714074,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.8'}"
B0FFKS96TN,,BLEU BAR,体育休闲服务;娱乐场所;酒吧,嵩山路88号安达仕酒店内,021-23101721;021-64027726,121.46661733289594,31.226257597774815,,上海市,,上海市,,黄浦区,,"{'cost': '307.00', 'rating': '4.2'}"
