id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFLMI2NI,,中国民生银行(豫园支行),金融保险服务;银行;中国民生银行,方斜路238号(老西门地铁站2号口步行260米),021-53860500;95568,121.480112,31.21830763,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0HGF4230B,,中国银行(上海市西藏南路支行),金融保险服务;银行;中国银行,西藏南路669号(老西门地铁站2号口步行80米),021-63280041;021-63280258,121.4793773,31.21984378,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155KIDE,,浦发银行(西藏南路支行),金融保险服务;银行;上海浦东发展银行,安基大厦(大吉路)760号楼,021-63453274;021-63458038,121.480373,31.21675013,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0H23SQ388,,上海银行(豫园支行),金融保险服务;银行;上海银行,盐城路51号(老西门地铁站2号口步行190米),,121.4799031,31.21967238,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0FFHBTJIR,,广发证券上海西藏南路证券营业部,金融保险服务;证券公司;证券公司,西藏南路518-528号(上海东方国际广场)4楼401室,,121.4780597,31.2200109,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155IFGO,,中信银行(上海黄浦支行),金融保险服务;银行;中信银行,西藏南路518号1层中信拍卖有限公司,021-63900111;021-63901300,121.478426,31.22026483,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00156O3FJ,,广发证券,金融保险服务;证券公司;证券营业厅,西藏南路518-528号国际广场B座4层,021-63867694;021-63869627,121.4783507,31.22036057,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155IMLK,,中国建设银行(上海复兴路支行),金融保险服务;银行;中国建设银行,复兴中路1号申能国际大厦F1层,021-63900107;021-63900330;021-63900332,121.478154,31.2205909,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155GRM8,,中国光大银行(卢湾支行),金融保险服务;银行;中国光大银行,复兴中路1号申能国际大厦4层407B,021-63368828;021-63795219,121.4777537,31.2204858,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155IMLJ,,中国建设银行24小时自助银行(复兴路支行),金融保险服务;自动提款机;中国建设银行ATM,复兴中路1号(老西门地铁站4号口步行60米),,121.4781831,31.22057899,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0FFI6WX3Y,,兴业银行(人民广场支行),金融保险服务;银行;兴业银行,西藏南路829号(陆家浜路地铁站1号口步行190米),021-63596993;021-63599577,121.4811969,31.21619279,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B001558DGT,,中国农业银行(老西门支行),金融保险服务;银行;中国农业银行,中华路1359号康宁商厦F1层,95599,121.4816322,31.21941453,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155QLJ5,,上海农商银行24小时自助银行(西藏南路支行),金融保险服务;自动提款机;上海农商银行ATM,西藏南路880号(陆家浜路地铁站4号口步行220米),,121.4808016,31.21596075,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155QL5Z,,上海农商银行(西藏南路支行),金融保险服务;银行;上海农商银行,西藏南路880号(近大林路),021-33660586;021-63452211,121.4808407,31.21575696,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155QLAT,,平安银行(上海市南支行),金融保险服务;银行;平安银行,西藏南路888号(陆家浜路地铁站4号口步行170米),021-63452865,121.480912,31.21553028,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00156NW26,,工银安盛人寿(黄浦安澜路营销服务部),金融保险服务;保险公司;保险公司|生活服务;生活服务场所;生活服务场所,安澜路8号,021-60392888,121.4826479,31.21785924,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155HPB7,,中国邮政储蓄银行(老西门支行),金融保险服务;银行;中国邮政储蓄银行,复兴东路1131号(老西门地铁站6号口步行90米),021-63288676;021-63851847;021-63860918,121.4794976,31.22142138,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155HOUT,,中国工商银行(中华路支行),金融保险服务;银行;中国工商银行,黄家阙路65 69惠德大厦F1层,021-63451233;021-63456182,121.4829971,31.21764436,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155HOUS,,中国工商银行24小时自助银行(中华路支行),金融保险服务;自动提款机;中国工商银行ATM,中华路1168号(老西门地铁站7号口步行500米),,121.4830975,31.21753871,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B001558CZM,,中国工商银行(老西门支行),金融保险服务;银行;中国工商银行,复兴东路1111号近中华路(方斜路复兴东路),021-53833022;021-63865827,121.4797103,31.22172885,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0FFFX9S96,,中国建设银行(上海第一支行),金融保险服务;银行;中国建设银行,陆家浜路1332号南开大厦1层,021-53850541;021-63774710,121.4792735,31.21332358,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00151E0E7,,上海银行(方中支行),金融保险服务;银行;上海银行,中华路1128号(陆家浜路地铁站1号口步行430米),021-33180166;021-63457555,121.4841452,31.21680514,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B001558DII,,中国农业银行(上海陆家浜路支行),金融保险服务;银行;中国农业银行,陆家浜路1296号(陆家浜路地铁站7号口步行90米),021-63771897;95599,121.4803382,31.21342262,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0H07H44OT,,上海银行(陆家浜路支行),金融保险服务;银行;上海银行,陆家浜路1378-1380万事利大厦,021-61355455;021-61355457,121.4784798,31.21318036,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0FFI8ATKL,,上海浦东发展银行制造局路支行,金融保险服务;银行;上海浦东发展银行,制造局路38号(陆家浜路地铁站7号口步行290米),,121.4777944,31.21308544,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155IV7A,,中国光大银行(南市支行),金融保险服务;银行;中国光大银行,陆家浜路1139号(陆家浜路地铁站1号口步行200米),021-63452807;021-63458084,121.482885,31.21422067,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B001558DGS,,中国农业银行(大兴街支行),金融保险服务;银行;中国农业银行,大兴街34号兴林公寓底层(陆家浜路地铁站1号口步行360米),021-20733821;021-63456996,121.4842226,31.2152531,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0FFFQ0NQU,,中国工商银行(复兴中路支行),金融保险服务;银行;中国工商银行,黄陂南路700号(一大会址·新天地地铁站4号口步行330米),021-63855439,121.4724822,31.21624691,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B001536D6A,,中国工商银行(徐家汇路支行),金融保险服务;银行;中国工商银行,徐家汇路9号,021-63018653,121.4763124,31.21249148,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00154613A,,中国工商银行(斜桥支行),金融保险服务;银行;中国工商银行,陆家浜路1058-1号(陆家浜路地铁站6号口步行190米),021-63775477;95588,121.4839879,31.2138241,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00154221D,,浦发银行(南市支行),金融保险服务;银行;上海浦东发展银行,陆家浜路1011号新世纪大厦F1层,021-51159500,121.4847536,31.21447604,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
