id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFLMI2NI,,中国民生银行(豫园支行),金融保险服务;银行;中国民生银行,方斜路238号(老西门地铁站2号口步行260米),021-53860500;95568,121.47561136043078,31.220273415757184,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0HGF4230B,,中国银行(上海市西藏南路支行),金融保险服务;银行;中国银行,西藏南路669号(老西门地铁站2号口步行80米),021-63280041;021-63280258,121.47487403293447,31.2218067550872,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0H23SQ388,,上海银行(豫园支行),金融保险服务;银行;上海银行,盐城路51号(老西门地铁站2号口步行190米),,121.47540163274729,31.221636927324063,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0FFHBTJIR,,广发证券上海西藏南路证券营业部,金融保险服务;证券公司;证券公司,西藏南路518-528号(上海东方国际广场)4楼401室,,121.47355197054394,31.22197007967281,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155IFGO,,中信银行(上海黄浦支行),金融保险服务;银行;中信银行,西藏南路518号1层中信拍卖有限公司,021-63900111;021-63901300,121.47391948165996,31.222224920195004,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00156O3FJ,,广发证券,金融保险服务;证券公司;证券营业厅,西藏南路518-528号国际广场B座4层,021-63867694;021-63869627,121.47384391977289,31.222320403111457,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155IMLK,,中国建设银行(上海复兴路支行),金融保险服务;银行;中国建设银行,复兴中路1号申能国际大厦F1层,021-63900107;021-63900330;021-63900332,121.47364653793498,31.222550071370463,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155GRM8,,中国光大银行(卢湾支行),金融保险服务;银行;中国光大银行,复兴中路1号申能国际大厦4层407B,021-63368828;021-63795219,121.47324490213357,31.2224438970971,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155IMLJ,,中国建设银行24小时自助银行(复兴路支行),金融保险服务;自动提款机;中国建设银行ATM,复兴中路1号(老西门地铁站4号口步行60米),,121.47367573685403,31.222538248784126,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155HPB7,,中国邮政储蓄银行(老西门支行),金融保险服务;银行;中国邮政储蓄银行,复兴东路1131号(老西门地铁站6号口步行90米),021-63288676;021-63851847;021-63860918,121.47499460568626,31.223383953010266,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0J10A9JS5,,宁波银行(上海卢湾支行),金融保险服务;银行;银行,湖滨路202号106室222号2301-2306室2321室,021-31158866,121.47204820291857,31.222597692108113,310000.0,上海市,21.0,上海市,310101.0,黄浦区,淮海路,
B00155KIDE,,浦发银行(西藏南路支行),金融保险服务;银行;上海浦东发展银行,安基大厦(大吉路)760号楼,021-63453274;021-63458038,121.47587338308148,31.218717396321313,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0FFFX9S96,,中国建设银行(上海第一支行),金融保险服务;银行;中国建设银行,陆家浜路1332号南开大厦1层,021-53850541;021-63774710,121.47477043985059,31.215289354734665,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B001558DII,,中国农业银行(上海陆家浜路支行),金融保险服务;银行;中国农业银行,陆家浜路1296号(陆家浜路地铁站7号口步行90米),021-63771897;95599,121.47583874940293,31.215391370306197,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0H07H44OT,,上海银行(陆家浜路支行),金融保险服务;银行;上海银行,陆家浜路1378-1380万事利大厦,021-61355455;021-61355457,121.47397407018299,31.215143962074055,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0FFI8ATKL,,上海浦东发展银行制造局路支行,金融保险服务;银行;上海浦东发展银行,制造局路38号(陆家浜路地铁站7号口步行290米),,121.47328637315611,31.215047161010784,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B001558845,,上海银行(卢湾支行),金融保险服务;银行;上海银行,复兴中路369号(一大会址·新天地地铁站1号口旁),021-63201071;021-63367777;95594,121.47086869056274,31.21810555782471,310000.0,上海市,21.0,上海市,310101.0,黄浦区,淮海路,
