name,adress,divisions,lng,lat
杨树浦电厂遗迹公园,上海国际时尚中心西南,杨浦区,121.55215279362469,31.268744736012785
波阳公园,波阳路200号(近贵阳路),杨浦区,121.54729584797762,31.274350201717724
杨浦公园,双阳路369号,杨浦区,121.53194076869306,31.282474489132625
复兴岛公园,共青路386号,杨浦区,121.55810679488472,31.28858141990371
黄兴公园,营口路699号(黄兴公园地铁站2号口步行150米),杨浦区,121.52563097707495,31.295356121119895
延春公园,营口路20号(近靖宇东路),杨浦区,121.5315318669626,31.290364244685545
内江公园,控江路261号,杨浦区,121.54065335820115,31.28895324743113
江浦公园,长阳路1111号(江浦路口),杨浦区,121.51973790564092,31.268067515710683
平凉公园,平凉路1738号(近临青路),杨浦区,121.53830452449678,31.26882337504666
黄兴全民体育公园,五角场街道双阳北路363号(黄兴公园地铁站2号口步行430米),杨浦区,121.52360611688192,31.29894830870768
金桥公园,台儿庄路408号,浦东新区,121.5888689646497,31.259158139578417
世纪公园,陆家嘴金融贸易区锦绣路1001号,浦东新区,121.54830200199784,31.21788954184469
大桥公园,杨树浦路宁国南路交叉口,杨浦区,121.53739377893136,31.258834602906163
浦兴文化公园,"浦兴路街道东陆路705号(地铁6号线、12号线巨峰路站,近张扬北路)",浦东新区,121.58603870556632,31.280892119838057
鲁迅公园,四川北路2288号(虹口足球场地铁站6号口步行130米),虹口区,121.47903753433876,31.273709639876195
松鹤公园,抚顺路240号(近江浦路),杨浦区,121.50978341727064,31.2822392350111
碧云体育公园,杨高中路1153号,浦东新区,121.5790573117034,31.2450822573046
珠江生活广场,平凉路1889号,杨浦区,121.53985061617496,31.27143675229493
梅园公园,乳山路180号,浦东新区,121.52224071204908,31.23844447606909
东方明珠公园,滨江大道2525弄5-25号,浦东新区,121.49569530885562,31.24311734479136
北外滩航海公园,北外滩国客中心(国际客运中心地铁站出入口步行470米),虹口区,121.49323086880652,31.24978096568857
惠民公园,惠民路724号(近通北路)(平凉路地铁站5号口步行380米),杨浦区,121.51816524893584,31.26042045345943
泾东公园,罗山路286号,浦东新区,121.5519619732649,31.249351872895364
宝联公园,九潭路与眉州路交叉口东北120米,杨浦区,121.52538805410909,31.27319060563488
泾南公园,羽山路850号,浦东新区,121.54925463815265,31.23779508522367
