adname,adress,divisions,lng,lat
阿王葡萄主题公园,塔新路与立业路交叉口西北280米,嘉定区,121.2845047,31.3991009
博爱广场,南翔镇栖林路金地格林世界白金果岭,嘉定区,121.3111854,31.30838334
菊园新区市民文化广场,平城路菊园新区党建广场(东北角),嘉定区,121.2464368,31.4005495
菊园新区党建广场,平城路789号,嘉定区,121.2462489,31.40046253
上海优秀城市文化广场,棋盘路与仓桥村路交叉口北80米,嘉定区,121.2466958,31.39992266
双桥公园,华江公路337-2临附近,嘉定区,121.3319761,31.25280083
极限松鼠运动公园,环城路762弄5号楼信业未来中心,嘉定区,121.2446273,31.39764434
毛桥党建公园,霜竹公路与霜竹公路1235弄交叉口西360米,嘉定区,121.2494626,31.47674949
旭辉广场,白银路928弄(白银路地铁站1号口步行390米),嘉定区,121.2415324,31.34987896
桃溪苑休闲绿地公园,坝桥路与南新路交叉口北120米,嘉定区,121.2154555,31.43625111
旺和苑公园,旺泾村,嘉定区,121.1665689,31.40141272
马陆法治主题公园,北陈路与思义路交叉口东120米,嘉定区,121.3181331,31.33887897
上海大学嘉定校区文荟广场,城中路20号上海大学嘉定校区,嘉定区,121.2445199,31.37924674
楼组党建党员服务广场,新成路,嘉定区,121.2645462,31.3835144
腊梅广场,百安公路与恒盛路交叉口西北120米,嘉定区,121.1639418,31.36417396
瞿门路广场,瞿门路339号附近,嘉定区,121.1589445,31.36556119
江桥镇社区文化活动中心广场,华江路129弄,嘉定区,121.3370057,31.25529932
南翔老街-广场,南翔镇解放街206号南翔老街内,嘉定区,121.3049285,31.29269094
伏虎村四组广场,伏虎弄路高庙路伏虎村四组,嘉定区,121.2555887,31.44518823
法治文化主题公园,外冈镇巨门村墨玉北路2700号外冈蜡梅园,嘉定区,121.1450988,31.354825
嘉北国际垂钓文化小镇沸舍广场,沪宜公路5051号嘉北郊野公园内(东侧),嘉定区,121.200156,31.36158348
鑫荟广场,于田南路69弄,嘉定区,121.1766817,31.28261889
嘉定健康主题公园,栖林路与瑞林路交叉口北60米,嘉定区,121.3175777,31.30097018
