id,行业类型,名称,类型,地址,联系电话,经度,纬度,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈
B0FFH8I5LJ,,万科·天空之城,商务住宅;住宅区;住宅区,徐盈路989-1号,,121.252357,31.17566,310000,上海市,21,上海市,310118,青浦区,上海虹桥商务区
B00155D762,,上海康城,商务住宅;住宅区;住宅区,莘松路958弄,,121.354866,31.104476,310000,上海市,21,上海市,310112,闵行区,
B001558I9G,,汤臣一品,商务住宅;住宅区;住宅小区,花园石桥路28弄(陆家嘴地铁站9B口步行160米),021-58885678,121.501529,31.23301,310000,上海市,21,上海市,310115,浦东新区,陆家嘴
B0FFHU23LC,,丰盛里,商务住宅;住宅区;住宅小区,南京西路茂名北路297号(南京西路地铁站12号口旁),,121.459576,31.226734,310000,上海市,21,上海市,310106,静安区,淮海路
B00155MVAQ,,爱博二村,商务住宅;住宅区;住宅小区,申滨路1051弄,,121.305943,31.206482,310000,上海市,21,上海市,310112,闵行区,华漕
B00155LU6O,,大宅风范城,商务住宅;住宅区;住宅小区,鹤望路365号,,121.325915,31.243627,310000,上海市,21,上海市,310114,嘉定区,上海虹桥商务区
B00155QHY1,,西郊家园,商务住宅;住宅区;住宅小区,徐泾镇诸光路1355弄,,121.300614,31.181489,310000,上海市,21,上海市,310118,青浦区,徐泾
B00155L4CO,,志成花苑·知雅汇,商务住宅;住宅区;住宅小区,涞坊路333弄,021-67625028;18377417891,121.317403,31.15204,310000,上海市,21,上海市,310117,松江区,九亭
B00155R1BY,,万科城市花园,商务住宅;住宅区;住宅小区,七宝镇七莘路3333号,,121.342852,31.15895,310000,上海市,21,上海市,310112,闵行区,七宝
B0FFF00QLS,,中远两湾城,商务住宅;住宅区;住宅小区,远景路488号(中潭路地铁站2号口步行360米),,121.442988,31.252108,310000,上海市,21,上海市,310107,普陀区,光新
B001556REN,,翠湖天地,商务住宅;住宅区;住宅小区,济南路168弄1-15号,,121.478011,31.217902,310000,上海市,21,上海市,310101,黄浦区,淮海路
B00156O7ZR,,华悦家园,商务住宅;住宅区;住宅小区,虹漕路地铁站1号口步行360米,,121.409543,31.165659,310000,上海市,21,上海市,310104,徐汇区,漕河泾
B00155KDNJ,,中环一号,商务住宅;住宅区;住宅小区,真大路,,121.404646,31.292652,310000,上海市,21,上海市,310113,宝山区,桃浦
B00150B281,,天馨花园,商务住宅;住宅区;住宅小区,蕰川路1498弄,021-56803275,121.428497,31.362831,310000,上海市,21,上海市,310113,宝山区,杨行
