名称,地址,区划,lng,lat
广场公园,金陵中路与黄陂南路交叉口,黄浦区,121.4671951,31.22643167
杨树浦电厂遗迹公园,上海国际时尚中心西南,杨浦区,121.5521528,31.26874474
波阳公园,波阳路200号(近贵阳路),杨浦区,121.5472958,31.2743502
杨浦公园,双阳路369号,杨浦区,121.5319408,31.28247449
复兴岛公园,共青路386号,杨浦区,121.5581068,31.28858142
黄兴公园,营口路699号(黄兴公园地铁站2号口步行150米),杨浦区,121.525631,31.29535612
延春公园,营口路20号(近靖宇东路),杨浦区,121.5315319,31.29036424
内江公园,控江路261号,杨浦区,121.5406534,31.28895325
江浦公园,长阳路1111号(江浦路口),杨浦区,121.5197379,31.26806752
平凉公园,平凉路1738号(近临青路),杨浦区,121.5383045,31.26882338
黄兴全民体育公园,五角场街道双阳北路363号(黄兴公园地铁站2号口步行430米),杨浦区,121.5236061,31.29894831
金桥公园,台儿庄路408号,浦东新区,121.588869,31.25915814
世纪公园,陆家嘴金融贸易区锦绣路1001号,浦东新区,121.548302,31.21788954
大桥公园,杨树浦路宁国南路交叉口,杨浦区,121.5373938,31.2588346
浦兴文化公园,"浦兴路街道东陆路705号(地铁6号线、12号线巨峰路站,近张扬北路)",浦东新区,121.5860387,31.28089212
鲁迅公园,四川北路2288号(虹口足球场地铁站6号口步行130米),虹口区,121.4790375,31.27370964
松鹤公园,抚顺路240号(近江浦路),杨浦区,121.5097834,31.28223924
碧云体育公园,杨高中路1153号,浦东新区,121.5790573,31.24508226
珠江生活广场,平凉路1889号,杨浦区,121.5398506,31.27143675
梅园公园,乳山路180号,浦东新区,121.5222407,31.23844448
东方明珠公园,滨江大道2525弄5-25号,浦东新区,121.4956953,31.24311734
北外滩航海公园,北外滩国客中心(国际客运中心地铁站出入口步行470米),虹口区,121.4932309,31.24978097
惠民公园,惠民路724号(近通北路)(平凉路地铁站5号口步行380米),杨浦区,121.5181652,31.26042045
泾东公园,罗山路286号,浦东新区,121.551962,31.24935187
宝联公园,九潭路与眉州路交叉口东北120米,杨浦区,121.5253881,31.27319061
泾南公园,羽山路850号,浦东新区,121.5492546,31.23779509
四川北路公园,四川北路1428号(四川北路地铁站1号口步行220米),虹口区,121.4803144,31.25683361
四平科技公园,四平路1777号,杨浦区,121.5018044,31.28965863
民星公园,殷行街道嫩江路1111号(近中原路),杨浦区,121.5307102,31.31611711
曲阳公园,中山北一路880号,虹口区,121.4810934,31.28888431
霍山公园,霍山路118号(近舟山路)(提篮桥地铁站1号口步行400米),虹口区,121.5067088,31.25546966
上海人民广场,人民大道185号,黄浦区,121.4706459,31.23076301
德惠路口袋公园,东至德惠路、南至顺平路,杨浦区,121.5333564,31.27815576
人民公园,南京西路231号,黄浦区,121.4685899,31.23407487
工农公园,包头路929号(近殷行路),杨浦区,121.5334144,31.32784343
新江湾城公园,政和路与国秀路进出口西北角,杨浦区,121.5094276,31.33578957
闸北公园,共和新路1555号(近洛川东路),静安区,121.4554045,31.27244137
黄兴公园-中心广场,营口路699号黄兴公园,杨浦区,121.5252929,31.29531525
东沟公园,浦东北路1200弄,浦东新区,121.5732785,31.298796
静安雕塑公园,石门二路128号(近北京西路)(自然博物馆地铁站1号口旁),静安区,121.4593169,31.23673359
中兴公园,中华新路396号(中兴路地铁站1号口步行290米),静安区,121.4653887,31.25663318
开兴体育公园,双桥路318号,浦东新区,121.5989874,31.28860647
金桥镇樱花公园,金京路与佳乐路交叉口西南角,浦东新区,121.6123659,31.27017723
绿洲公园,高行镇近兰谷路庭安路交叉口,浦东新区,121.5935527,31.3288796
高桥公园,花山路482号,浦东新区,121.568545,31.34772014
江湾公园,新市北路1509号(近丰镇路),虹口区,121.477412,31.30780317
昆山公园,昆山花园路13号(百官街口),虹口区,121.4821674,31.2509576
凉城公园,凉城路800号(近车站北路),虹口区,121.4673693,31.2998434
大宁公园,广中西路288号(近共和新路),静安区,121.438486,31.27762799
复兴公园,复兴中路516号,黄浦区,121.4645784,31.21891629
高行绿地公园,高行镇金京路906号,浦东新区,121.6107924,31.28928445
活力102体育休闲公园,陆家嘴街道乳山路102号活力102俱乐部,浦东新区,121.5164223,31.23695305
辅德里公园,老成都北路7弄之20-44号,静安区,121.4620951,31.2267172
锦绣文化公园,高科西路2599号,浦东新区,121.5411718,31.19278701
世博公园,世博大道2700号2号(世博大道地铁站1号口步行260米),浦东新区,121.4804346,31.18909879
太平桥公园,自忠路170号(一大会址·新天地地铁站1号口步行490米),黄浦区,121.4723744,31.22162706
花木公园,杜鹃路332号(龙阳路地铁站8号口步行490米),浦东新区,121.5496683,31.20601686
和平公园-和平广场,新港路和平公园(西南角),虹口区,121.4974372,31.27170303
浦东体育公园,源深路655号(源深体育中心地铁站2号口步行370米),浦东新区,121.5320241,31.23350314
南浦广场公园,浦东南路2277号,浦东新区,121.5110644,31.20513175
蓬莱公园,南车站路350号,黄浦区,121.4870412,31.20810387
紫蝶公园,繁锦路1003号(洲海路地铁站2号口步行470米),浦东新区,121.5824336,31.31282391
静安公园,华山路189号(静安寺地铁站2号口步行110米),静安区,121.442286,31.22389389
世博文化公园,济坤路100号,浦东新区,121.4723217,31.18110272
淮海公园,太仓路56号,黄浦区,121.4730543,31.22501036
交通公园,新马路262号,静安区,121.4628876,31.24939287
张江艺术公园,张江镇张江高科技园区松涛路666号,浦东新区,121.5800085,31.20536547
柳园公园,世纪大道(浦东南路地铁站3B口步行450米),浦东新区,121.5033714,31.23801461
