id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0I2OUQRTN,,兄弟垂钓中心,体育休闲服务;休闲场所;垂钓园,沿钱公路131号,13817785163,121.5707844,30.88377472,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.7'}"
B0HDM1UN2U,,树修营地,体育休闲服务;休闲场所;露营地,青村镇沿钱公路5599号,13472819737,121.569062,30.89563497,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0KA17LKMD,,上海东方金融小镇生态园,体育休闲服务;休闲场所;休闲场所|风景名胜;风景名胜相关;旅游景点,畅心路与银杏大道交叉口东120米,,121.5725809,30.89476604,,上海市,,上海市,,奉贤区,,"{'cost': , 'opentime2': , 'level': , 'rating': '3.7', 'open_time': , 'ticket_ordering': '0'}"
B0JDUDN0RW,,斯博特游泳俱乐部,体育休闲服务;运动场馆;游泳馆,融沁路与聚永路交叉口西180米,15021265663,121.5721721,30.89850046,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B0G3BUP8BD,,桃园813娃娃爷叔农家乐,体育休闲服务;体育休闲服务场所;体育休闲服务场所,青村镇桃园村813号,13061970826,121.5777869,30.88233357,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.6'}"
B0I6LH1RYV,,赶芒户外拓展营地(奉贤雉趣园基地),体育休闲服务;体育休闲服务场所;体育休闲服务场所,奉柘公路与星火公路交叉口东北420米,,121.5507219,30.87646006,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.3'}"
B0FFIW5S9K,,上海申隆生态垂钓基地,体育休闲服务;体育休闲服务场所;体育休闲服务场所,上海申隆生态园内(东侧),13818760418;15021834389,121.5769139,30.89613886,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.0'}"
B0FFLJOTI5,,上海爱钓客垂钓休闲中心,体育休闲服务;休闲场所;垂钓园,青村镇丁家村,17000058089,121.5509494,30.90146985,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.4'}"
B0J01AT2ZS,,雨彤草莓采摘园,体育休闲服务;休闲场所;采摘园,钱桥镇钱忠村475号,15221531453,121.5473287,30.87758492,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.6'}"
B0KG6SVJB0,,广扩钓场,体育休闲服务;休闲场所;垂钓园,青村申隆二村丁夏村,,121.5519055,30.90271086,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0J22HWYAI,,意境高尔夫野奢营地,体育休闲服务;休闲场所;露营地,沿钱公路与观光路交叉口东南420米,,121.5553236,30.90671744,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0J21LCAB4,,恩光葡萄园,体育休闲服务;休闲场所;采摘园,沿钱公路与观光路交叉口南360米,18221749387,121.5526438,30.90695868,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.8'}"
B0FFGOESVM,,海湾百姓健身中心,体育休闲服务;运动场馆;健身中心,海湾镇民乐路28弄66号29幢,18516244226,121.5602398,30.86512445,,上海市,,上海市,,奉贤区,,"{'cost': '1275.00', 'rating': '4.3'}"
B0FFHFL9H2,,筠韵网吧,体育休闲服务;娱乐场所;网吧,海湾镇星火农场民乐路87号,15932827922,121.560344,30.86486375,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B0JKBUQEWF,,无忧闲院,体育休闲服务;休闲场所;休闲场所,青村镇李窑村李窑中心路111号,19117263020,121.5824422,30.90462627,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.8'}"
B0FFILFHZV,,简韵网吧,体育休闲服务;娱乐场所;网吧,海湾镇海农公路民乐路28弄87号,,121.5603791,30.86476786,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.8'}"
B0J3RRT3HG,,GF台球俱乐部,体育休闲服务;运动场馆;台球厅,青村镇钱桥社区长丰路142号2楼,18606111179,121.5388577,30.87553511,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.0'}"
B0FFKR756S,,上海海奉护理站,体育休闲服务;度假疗养场所;疗养院,海光路399号,,121.5641458,30.86473909,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFHW2ZB0,,上海申亚乡村度假农园-垂钓区,体育休闲服务;体育休闲服务场所;体育休闲服务场所,青村镇沿线公路4698号上海申亚乡村度假农园,,121.5521524,30.91031283,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.6'}"
B0FFKT7NTI,,奉贤海湾森林公园房车营地(房车露营),体育休闲服务;休闲场所;露营地,观光路与沿钱公路交叉口西320米,,121.5500294,30.91113645,,上海市,,上海市,,奉贤区,,"{'cost': '517.00', 'rating': '4.0'}"
B001576IFB,,草莓采摘园(上海绕城高速店),体育休闲服务;休闲场所;采摘园,青村镇上海绕城高速公路草莓采摘园,021-57561865,121.5504694,30.91174991,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.7'}"
B0FFGCEIVJ,,六月犬舍采摘点,体育休闲服务;休闲场所;采摘园,观光路,13818460028,121.5460369,30.90994737,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.6'}"
B0FFMGI6XN,,小番茄采摘园,体育休闲服务;休闲场所;采摘园,青村镇朱店村(沿钱公路与观光路路口向西10米往北),17853639485,121.5503992,30.91231245,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B0FFHFQGVA,,上海奉华有机草莓采摘园,体育休闲服务;体育休闲服务场所;体育休闲服务场所,平庄西路与中心河路交叉口西360米,13641670585;13801698418,121.5320894,30.89460393,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.8'}"
B0J0ZZDRA0,,半壁山庄,体育休闲服务;休闲场所;休闲场所,海滨路与星安路交叉口西北40米,,121.5632275,30.86186453,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.6'}"
B0IUCAOT1H,,星8台球,体育休闲服务;运动场馆;台球厅,振钱路与龙泉路交叉口南80米,,121.5366828,30.87230398,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B0JD4CL2P4,,卫忠垂钓中心,体育休闲服务;休闲场所;垂钓园,观光路729号,,121.5393214,30.90658798,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B0FFJSDV7T,,沪嵩农家乐(川湘居),体育休闲服务;休闲场所;休闲场所,奉柘公路3203弄26号,,121.5386706,30.87020178,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B001553UY4,,上海天阳钢管有限公司,体育休闲服务;运动场馆;健身中心|公司企业;公司;公司,青村镇钱桥金钱公路4638号,021-57595073;13917939892,121.529947,30.88183104,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0IKYSBGNC,,笑笑草莓园,体育休闲服务;休闲场所;采摘园,金钱公路4712号,15356196286;18368009719,121.5316855,30.87864026,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.4'}"
B0FFM9LP6S,,上海团拓真人野战俱乐部(二店),体育休闲服务;休闲场所;休闲场所,海湾镇海兴路888号都市菜园内,15656301117,121.5876815,30.86903004,,上海市,,上海市,,奉贤区,,"{'cost': '210.00', 'rating': '3.7'}"
B0HBTS11YG,,钱桥网咖,体育休闲服务;娱乐场所;网吧,钱桥新苑大门左侧商铺奉柘公路3314号,15279532335,121.5339259,30.87085727,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0JRV5M11O,,恐龙梦公园,体育休闲服务;休闲场所;游乐场,民乐路9号西南门,,121.5599378,30.85817002,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B0H6XNTX8W,,观光农家乐,体育休闲服务;休闲场所;休闲场所,观光路,,121.5372515,30.90779354,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.7'}"
B0J0RADA83,,恐龙梦公园·营地,体育休闲服务;休闲场所;休闲场所,海农公路与海兴路交叉口西320米,,121.560046,30.85834808,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B00156G7G9,,吴房农家乐,体育休闲服务;娱乐场所;棋牌室,政通路112-4号,021-57595265;13818185880,121.5267535,30.88743256,,上海市,,上海市,,奉贤区,,"{'cost': '117.00', 'rating': '4.7'}"
B0G225UHG9,,上海MC亲子营地,体育休闲服务;体育休闲服务场所;体育休闲服务场所,海湾镇都市菜园,17612189980,121.5853534,30.86621295,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.7'}"
B0FFLPH654,,新张村老年日间服务中心,体育休闲服务;度假疗养场所;疗养院,南张中心路与奉柘公路交叉口北140米,,121.5331375,30.87152397,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0I3VCFQ0H,,光明湖水岸营地,体育休闲服务;体育休闲服务场所;体育休闲服务场所,五四大道与海兴路交叉口北200米,18116237221,121.5859368,30.86560351,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.0'}"
B0I3F7P5ZM,,冲锋者超级营地,体育休闲服务;体育休闲服务场所;体育休闲服务场所,海兴路888号,13661445230,121.5861009,30.86564054,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.8'}"
B0FFL8C2JH,,Pan'da黄桃采摘园,体育休闲服务;休闲场所;采摘园,观光路,13661435436,121.5355657,30.90752874,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.7'}"
B0J3A9PCX4,,静若梵花瑜伽生活馆,体育休闲服务;运动场馆;健身中心,海农公路1188弄166号3层01室,13761831643,121.5640733,30.857796,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B0HRFC2FF5,,奉贤黄桃采摘垂钓中心,体育休闲服务;休闲场所;休闲场所,解放中心路,13818226118,121.5314878,30.90447364,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.3'}"
B0JGX92WZ6,,上海团拓真人CS团建俱乐部(都市菜园店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,五四大道与海兴路交叉口北200米,13524341117,121.5858207,30.86558648,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.0'}"
B0J0AH5MSH,,都市菜园英招越野俱乐部,体育休闲服务;体育休闲服务场所;体育休闲服务场所,海兴路888号都市菜园内,13911018322,121.5855826,30.86544348,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.6'}"
B0JRDOJXOY,,春兵跆拳道,体育休闲服务;运动场馆;跆拳道场馆,海湾镇海农公路碧桂园凤鸣海尚营销中心三楼,,121.5640232,30.85774496,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.6'}"
B0H3S7NEJC,,青溪吴之房,体育休闲服务;休闲场所;游乐场,北横港路与吴房村百通路交叉口西约80米,18917600358,121.5252543,30.89251865,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.7'}"
B0JGAZDJUX,,途乐农场枇杷果园,体育休闲服务;休闲场所;采摘园,奉城镇朱墩村团结613号,,121.5991548,30.89491697,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B00157HQQA,,申隆垂钓中心,体育休闲服务;休闲场所;垂钓园,青村镇浦星公路8175号,,121.5240178,30.89871972,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.5'}"
B0IRVUPVCU,,壹花壹木·Live in the Sun,体育休闲服务;休闲场所;休闲场所,青村镇李窑村622号,18321528818,121.5925359,30.91022665,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.5'}"
B0FFFS7LOS,,姚家村农家会所,体育休闲服务;休闲场所;休闲场所,青港一支路与上塑路交叉口东北100米,,121.5748916,30.92060585,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.3'}"
B0J3MHFK27,,青普这厢·芳华李窑,体育休闲服务;娱乐场所;娱乐场所,青溪书院东北侧60米,17521542434,121.5935472,30.91026065,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0KB6O7W2F,,青普这厢·酒肆,体育休闲服务;娱乐场所;酒吧,青普这厢·芳华李窑东侧,,121.5935662,30.91025565,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.8'}"
B0IBYANK2T,,畅野时光露营基地,体育休闲服务;休闲场所;休闲场所,吴房村,16621125558,121.520946,30.89604298,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.5'}"
B0FFG0EH8M,,青村镇朱店村农家会所,体育休闲服务;休闲场所;休闲场所,朱店村1359号,,121.5499343,30.92195888,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.0'}"
B0JAZ58DQV,,思尔屯·吴房村,体育休闲服务;体育休闲服务场所;体育休闲服务场所,吴房村988,,121.5208728,30.89555407,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0IURAN8RH,,宏鹰篮球,体育休闲服务;运动场馆;篮球场馆,青村镇姚家村1127号,,121.578089,30.92145278,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.8'}"
B0JDKS61QU,,鹿隐轰趴,体育休闲服务;娱乐场所;娱乐场所,吴房村931号,13681961683,121.5199617,30.89527173,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0G3MSWBOW,cinema,DFC上影宝华国际影城(宝华帝华商业广场店),体育休闲服务;影剧院;电影院,南奉公路3111弄9号楼302室,021-57560770,121.5704647,30.92466634,,上海市,,上海市,,奉贤区,,"{'cost': , 'opentime2': '10:00-22:00', 'seat_ordering': '1', 'rating': '4.3', 'open_time': '10:00-22:00'}"
B0H32R6CHK,hotel,上海朵云闲居民宿(奉贤吴房村店),住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,青村镇吴房村914号,021-51343882,121.5192293,30.89512579,,上海市,,上海市,,奉贤区,,"{'cost': , 'star': , 'opentime2': , 'rating': '4.8', 'lowest_price': , 'hotel_ordering': '1', 'open_time': }"
B0FFL45T6F,,唛乐汇KTV(青村店),体育休闲服务;娱乐场所;KTV,青村镇南奉公路3111弄9号,,121.5704436,30.9246883,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.4'}"
