id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0J2VUJQ8Y,,上海易博门窗,购物服务;家居建材市场;建材五金市场,沿钱公路与中横港路交叉口南20米,15921876816,121.5621905,30.88828376,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B00156G7FK,,申隆超市,购物服务;便民商店/便利店;便民商店/便利店,青村镇申隆二村2004号,,121.5604449,30.89280363,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0G3A675QS,,桑记乐汇生鲜超市,购物服务;专卖店;专营店,沿钱公路与森林大道交叉口西南40米,18939774476,121.5605421,30.89272182,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.8'}"
B0FFGBXAYT,,上海双翼建材经营部,购物服务;家居建材市场;建材五金市场,钱桥镇桃园村1111号(奉柘公路沿钱公路交界),13641989627;18121045627,121.5639933,30.8805557,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B0FFG8GGUO,,近海食品店,购物服务;便民商店/便利店;便民商店/便利店,青村镇钱桥奉柘公路2538号,,121.5618576,30.87984323,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.0'}"
B0G0XSXMAC,,庆现食品店,购物服务;便民商店/便利店;便民商店/便利店,中横港路与竹中路交叉口西南20米,13817843750,121.548956,30.88515467,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0JASK7YT3,,黄沙水泥加气块建筑材料,购物服务;家居建材市场;家居建材市场,奉柘公路与竹奉路交叉口东南220米,15000133168,121.5604433,30.8762373,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0FFGB9ITU,,中财管道,购物服务;家居建材市场;建材五金市场,钱桥镇奉柘公路2720号,18049709577;18930339577,121.5561329,30.87548706,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.6'}"
B0IB5C37Y2,,车站食品(安全放心店),购物服务;便民商店/便利店;便民商店/便利店,青村镇申隆二村丁夏1404号,,121.5570216,30.90086366,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B0JK5SCPRX,,老二两钓鱼俱乐部,购物服务;专卖店;专营店,沿钱公路4698号,13651815751,121.5519085,30.90271387,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.7'}"
B0FFM8W0JC,,永程大理石,购物服务;家居建材市场;建材五金市场,奉柘公路与星火公路交叉路口北侧,13585636515;15102161318,121.5478854,30.87388616,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.3'}"
B0FFFRSCCO,,新如海超市(奉柘公路店),购物服务;超级市场;超市,上海申凡起重设备有限公司东北门西160米,,121.5478022,30.87383003,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B0FFLDNQVG,,四民食品店,购物服务;便民商店/便利店;便民商店/便利店,盐青路北侧,,121.5835658,30.8949235,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.7'}"
B0JA27K1AA,,方太官方授权社区5S店(海湾店),购物服务;购物相关场所;购物相关场所,瞭海路137号,18321479768,121.5630167,30.8671452,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.3'}"
B0GK0H9ENX,,上海如天包装设备有限公司,购物服务;家电电子卖场;手机销售|公司企业;公司;公司,青村镇钱桥路1153号,021-67182903;13611916529,121.5468901,30.87136066,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.0'}"
B0FFL5APXM,,乐佳生鲜超市,购物服务;购物相关场所;购物相关场所,奉城镇星火农场了海路155号,18019706266,121.5636197,30.86721896,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B00156YZW2,,上海永新家具,购物服务;家居建材市场;家具城,青村镇钱桥社区奉柘公路3038号,13671737518;15221928753,121.5441601,30.87305511,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B0FFFRT5QC,,古城家具厂家直销,购物服务;家居建材市场;家具城,钱桥镇奉柘公路3068号,13311872928,121.5435555,30.87288794,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.9'}"
B0FFIDHL0L,,赛蒂食品店,购物服务;便民商店/便利店;便民商店/便利店,海湾铭苑西南1门旁,18017819869,121.560885,30.86574803,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.4'}"
B0FFKH6WMJ,,宠乐缘宠物店,购物服务;专卖店;宠物用品店,海湾铭苑西南1门旁,13917888081,121.5610553,30.86541747,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0FFL07QWL,,爱玛电动车二本机电(海农公路店),购物服务;专卖店;自行车专卖店,海湾镇海农公路1680号,18918038510,121.5610934,30.86533457,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.2'}"
B0FFIMCYRT,,万权便利店,购物服务;便民商店/便利店;便民商店/便利店,"海湾镇,海湾新苑大门口",17317899616,121.5568872,30.86587086,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '4.1'}"
B0FFGNN1DI,,广源超市(奉柘公路店),购物服务;便民商店/便利店;便民商店/便利店,青村镇奉柘公路3088号,13916498977,121.5421669,30.87251819,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.7'}"
B0FFH10S7E,,电动车配件,购物服务;专卖店;自行车专卖店,奉柘公路与罗神路交叉口西60米,13901956289,121.5420125,30.87248187,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': '3.6'}"
