id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFK7914I,,上海东方金融小镇开发有限公司,金融保险服务;金融保险服务机构;金融保险机构,青村镇钱桥社区朱蒋村沿钱公路5599号上海申隆生态园内,,121.5708736,30.89607961,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFFFMCHL,,中国邮政储蓄银行(钱桥营业所),金融保险服务;银行;中国邮政储蓄银行,钱桥镇长丰路147-149号,021-57598176;95580,121.5384134,30.875707,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00156G7WJ,,中国邮政储蓄银行24小时自助银行(钱桥营业所),金融保险服务;自动提款机;中国邮政储蓄银行ATM,长丰路147-149号,,121.5385628,30.87567036,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00156GNYQ,,上海农商银行(钱桥支行),金融保险服务;银行;上海农商银行,振水路17号,021-57596185;021-57596569,121.5369774,30.87533591,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00156GO7H,,上海农商银行24小时自助银行,金融保险服务;自动提款机;上海农商银行ATM,振水路17号,,121.5369774,30.87531492,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00155IUN4,,中国建设银行(上海星火支行),金融保险服务;银行;中国建设银行,星火开发区民乐路52号,021-57501041;021-57503081;95533,121.5582062,30.86158143,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFFEL9JT,,上海农商银行(海湾分理处),金融保险服务;银行;上海农商银行,海湾镇海农公路1488号,021-57501098,121.5626415,30.86139201,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00156GB2T,,中国建设银行24小时自助银行(上海星火支行),金融保险服务;自动提款机;中国建设银行ATM,民乐路52号,,121.5583896,30.86162868,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00155IOMI,,中国邮政储蓄银行(海湾支行),金融保险服务;银行;中国邮政储蓄银行,星火农场海滨路163号,021-57501555,121.5633157,30.861267,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0FFGCBOGF,,上海农商银行24小时自助银行(海湾分理处),金融保险服务;自动提款机;上海农商银行ATM,海农公路1488号,,121.5626615,30.86139804,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0JKTO98XX,,海湾分理处,金融保险服务;银行;银行,海滨路与海农公路交叉口东北20米,,121.5625243,30.86137986,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0GDSLS4F5,,中国工商银行(青村支行),金融保险服务;银行;中国工商银行,南奉公路3111弄19号楼,021-37567390,121.5695733,30.92647833,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0JUOUI0J7,,上海农商银行(青村支行),金融保险服务;银行;上海农商银行,南奉公路3111弄5号,021-57561083;021-57566259,121.5706177,30.92632451,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B0GK6SQ2KZ,,中国工商银行24小时自助银行(青村支行),金融保险服务;自动提款机;中国工商银行ATM,南奉公路与振兴路交叉口南40米,,121.5694,30.92644217,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00154D6HE,,中国农业银行(青村支行),金融保险服务;银行;中国农业银行,南奉公路2790号,021-20731061;021-20731063,121.5778764,30.92627578,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00155IOI5,,中国邮政储蓄银行(青村营业所),金融保险服务;银行;中国邮政储蓄银行,南奉公路2806号,021-57561555,121.5775561,30.92626556,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
B00155N1DY,,中国农业银行24小时自助银行(青村支行),金融保险服务;自动提款机;中国农业银行ATM,南奉公路2790号,,121.577495,30.92628651,,上海市,,上海市,,奉贤区,,"{'cost': , 'rating': }"
