id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
BV09044159,,西新镇(公交站),交通设施服务;公交车站;公交车站相关,南建专线,,121.2567991,31.78121358,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11366338,,新海水闸(红绿灯路口)(公交站),交通设施服务;公交车站;公交车站相关,南牛线区间,,121.2485037,31.78153599,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10323241,,新海水闸(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南牛线;南牛线区间,,121.2439783,31.78280537,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11566613,,新海水闸(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南牛线,,121.2435513,31.78285035,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11566616,,新建路(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南牛线;南牛线区间,,121.2487647,31.78071583,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10027554,,实验站(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2558726,31.81619257,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10323240,,新东(公交站),交通设施服务;公交车站;公交车站相关,南建专线,,121.2643083,31.78034211,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10386247,,招呼站(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2441705,31.81507455,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10027445,,育新村(公交站),交通设施服务;公交车站;公交车站相关,南建专线,,121.2365395,31.7834791,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11341071,,育新村(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南牛线;南牛线区间,,121.2365395,31.7834791,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11453308,,实验站(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2651094,31.81705141,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10925570,,仓望港(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2653612,31.81707722,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10027555,,黄浦码头(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.237455,31.81439234,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10385588,,西新镇(公交站),交通设施服务;公交车站;公交车站相关,南牛线;南牛线区间,,121.2508917,31.77286732,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10323259,,海滨村(公交站),交通设施服务;公交车站;公交车站相关,南建专线,,121.2751061,31.77897221,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11330544,,仓望港(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2738844,31.81789473,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10027566,,北新桥(公交站),交通设施服务;公交车站;公交车站相关,南新专线;南海线;崇明南新专线接驳线,,121.2863346,31.79237525,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11534950,,临时站(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2748071,31.81798377,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHHP77E,,小陈螃蟹停车场,交通设施服务;停车场;公共停车场,育道北路,,121.253073,31.77091148,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10323243,,奶牛场(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南牛线;南牛线区间,,121.2257531,31.78456863,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11287917,,桥北路(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南新专线;南海线,,121.2876057,31.80060875,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11490644,,三官村(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南新专线,,121.285253,31.78607978,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11330382,,招呼站(公交站),交通设施服务;公交车站;公交车站相关,崇明南新专线接驳线,,121.2877015,31.80121671,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11352605,,招呼站(公交站),交通设施服务;公交车站;公交车站相关,崇明南新专线接驳线,,121.285246,31.78606079,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11330539,,北沿公路(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2798269,31.8184781,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11330543,,邮电局(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2252752,31.81316588,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10908213,,育德村(公交站),交通设施服务;公交车站;公交车站相关,南牛线;南牛线区间,,121.2545147,31.76630737,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11303367,,白港(公交站),交通设施服务;公交车站;公交车站相关,南新专线;南海线;崇明南新专线接驳线,,121.2889175,31.80983536,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10027391,,三星镇(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南新专线;崇明南新专线接驳线,,121.2835786,31.77663565,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10027556,,跃进农场(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2230153,31.81484542,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10599636,,奶牛场桥(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南牛线;南牛线区间,,121.2219432,31.78238533,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11341073,,华荣村(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南牛线区间,,121.2219432,31.78238533,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10029182,,华荣村(公交站),交通设施服务;公交车站;公交车站相关,崇明乡村6路;崇明乡村6路区间,,121.2207441,31.78288536,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10386244,,新海镇政府(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2871668,31.81914949,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11282334,,三官堂(公交站),交通设施服务;公交车站;公交车站相关,南海线,,121.2954739,31.78995702,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10025507,,八号桥(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南牛线;南牛线区间;崇明乡村6路;崇明乡村6路区间,,121.2194622,31.77907264,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11303368,,新海农场(公交站),交通设施服务;公交车站;公交车站相关,南新专线;南海线;南跃线;崇明南新专线接驳线,,121.2901016,31.81847308,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10027438,,纯阳堂桥(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南新专线;崇明南新专线接驳线,,121.2823453,31.76924923,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0GU2BC6ZE,,宏海公路-路侧停车位,交通设施服务;停车场;停车场相关,宏海公路与海腾路交叉口南40米,,121.2901336,31.81866507,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10908214,,烈士村(公交站),交通设施服务;公交车站;公交车站相关,南牛线;南牛线区间,,121.2591243,31.76051857,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
