id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
BV09044159,,西新镇(公交站),交通设施服务;公交车站;公交车站相关,南建专线,,121.2523244,31.78315304,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11366338,,新海水闸(红绿灯路口)(公交站),交通设施服务;公交车站;公交车站相关,南牛线区间,,121.2440309,31.78347646,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11566616,,新建路(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南牛线;南牛线区间,,121.244292,31.78265619,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10323241,,新海水闸(公交站),交通设施服务;公交车站;公交车站相关,南建专线;南牛线;南牛线区间,,121.2395053,31.78474545,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11566613,,新海水闸(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南牛线,,121.2390782,31.78479035,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10027554,,实验站(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2513952,31.81813792,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10323240,,新东(公交站),交通设施服务;公交车站;公交车站相关,南建专线,,121.2598292,31.78227834,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10386247,,招呼站(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2396947,31.8170199,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV10027445,,育新村(公交站),交通设施服务;公交车站;公交车站相关,南建专线,,121.2320642,31.78541667,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11341071,,育新村(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南牛线;南牛线区间,,121.2320642,31.78541667,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
BV11453308,,实验站(招呼站)(公交站),交通设施服务;公交车站;公交车站相关,南跃线,,121.2606266,31.81899312,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
