id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0HAO5J4W0,,水影星光小院,体育休闲服务;娱乐场所;娱乐场所,三星镇西新村西光626号,13788916668,121.2644049,31.7847427,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0HR5DB8BS,,豫轩熙生态园,体育休闲服务;体育休闲服务场所;体育休闲服务场所,三星镇育新村七队,18101611379,121.2402088,31.78726061,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
B0JG0ADI4T,,(济檬园)森林生态氧吧,体育休闲服务;休闲场所;休闲场所,三星镇西新村1221号,,121.2420664,31.78182807,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
B0FFGIJCG2,,小陈螃蟹垂钓,体育休闲服务;休闲场所;垂钓园,育徳村村委会西北500米,15001884195,121.2527822,31.76952537,,上海市,,上海市,,崇明区,,"{'cost': '43.00', 'rating': '4.0'}"
B0GKK4V24M,,ZH农家生态园,体育休闲服务;休闲场所;采摘园,三星镇育德北路1115号,15112081115,121.2634521,31.76967018,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
B0FFFQ4UV9,,汉忠柑橘采摘园,体育休闲服务;休闲场所;采摘园,绿华镇华荣村建城704号,13472763980;13601640987,121.2167651,31.78337165,,上海市,,上海市,,崇明区,,"{'cost': '136.00', 'rating': '3.9'}"
B0FFGNLC9Z,,荣美田园,体育休闲服务;休闲场所;休闲场所,绿华镇华荣村建城207号,021-59351988;18616855471,121.2169748,31.77865216,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.2'}"
B0FFGOF8F4,,崇明新海怡心养老院,体育休闲服务;度假疗养场所;疗养院,新海镇兴阔路189号,,121.2915106,31.82307875,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHIVU1A,hotel,春楠农家乐(烈士路分店),住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,烈士路三星镇育德烈士村1201号,"021-59602265;17317350671;+861056320612,89224",121.2541288,31.75506303,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': , 'rating': '4.3', 'lowest_price': , 'hotel_ordering': '1', 'open_time': }"
B0FFG95ZBF,,天鹅苑垂钓中心,体育休闲服务;休闲场所;垂钓园,三华公路南50米,021-39633666,121.2449626,31.75501056,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.1'}"
B0FFF3OLYQ,hotel,上海星育农家乐茅家小院,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,三星镇三华公路403号,021-59601183,121.257482,31.75387353,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': '00:00-24:00', 'rating': '4.3', 'lowest_price': , 'hotel_ordering': '1', 'open_time': '24小时营业'}"
B0FFHW25HI,,朕格农家乐,体育休闲服务;休闲场所;休闲场所,绿华镇华星村城北2队,13817274524;18221370896,121.2303351,31.75981206,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
B0FFGRCUWT,,崇明星育屋里人家农家乐,体育休闲服务;休闲场所;休闲场所,区育德烈士村826号,13764419560,121.2513801,31.75457376,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.7'}"
B00156EF3R,hotel,屋里人家3号绿色园饭店,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,三星镇三华公路411号(近陈海公路),18019096817;18930477798,121.2561559,31.75326804,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': '07:00-19:00', 'rating': '4.4', 'lowest_price': , 'hotel_ordering': '0', 'open_time': '07:00-19:00'}"
B0FFFFQF0L,hotel,明珠湖天鹅苑度假村,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,三华公路777号,021-39633666,121.2459386,31.75351836,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': , 'rating': '4.4', 'lowest_price': , 'hotel_ordering': '1', 'open_time': }"
B00156EFIU,,绿华敬老院,体育休闲服务;度假疗养场所;疗养院,新建公路894号,,121.2147861,31.77009866,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFIA2NKI,,蓓佳农家乐,体育休闲服务;体育休闲服务场所;体育休闲服务场所,绿华镇华星村719号,"15316878065;18916311800;+862126137886,82086",121.2217179,31.76041506,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.2'}"
B0FFKDVQWG,,水上娱乐游艺船,体育休闲服务;体育休闲服务场所;体育休闲服务场所,三华公路333号明珠湖公园内,021-59603888,121.2552957,31.74933589,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.7'}"
