id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0HAO5J4W0,,水影星光小院,体育休闲服务;娱乐场所;娱乐场所,三星镇西新村西光626号,13788916668,121.2599254,31.78667954,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0HR5DB8BS,,豫轩熙生态园,体育休闲服务;体育休闲服务场所;体育休闲服务场所,三星镇育新村七队,18101611379,121.2357346,31.7892003,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
B0JG0ADI4T,,(济檬园)森林生态氧吧,体育休闲服务;休闲场所;休闲场所,三星镇西新村1221号,,121.2375931,31.78376753,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
B0FFGIJCG2,,小陈螃蟹垂钓,体育休闲服务;休闲场所;垂钓园,育徳村村委会西北500米,15001884195,121.2483098,31.77146393,,上海市,,上海市,,崇明区,,"{'cost': '43.00', 'rating': '4.0'}"
B0GKK4V24M,,ZH农家生态园,体育休闲服务;休闲场所;采摘园,三星镇育德北路1115号,15112081115,121.2589746,31.77160533,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
B0FFFQ4UV9,,汉忠柑橘采摘园,体育休闲服务;休闲场所;采摘园,绿华镇华荣村建城704号,13472763980;13601640987,121.2122729,31.7852927,,上海市,,上海市,,崇明区,,"{'cost': '136.00', 'rating': '3.9'}"
B0FFGNLC9Z,,荣美田园,体育休闲服务;休闲场所;休闲场所,绿华镇华荣村建城207号,021-59351988;18616855471,121.2124833,31.78057275,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.2'}"
B0FFGOF8F4,,崇明新海怡心养老院,体育休闲服务;度假疗养场所;疗养院,新海镇兴阔路189号,,121.2869932,31.82499451,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHIVU1A,hotel,春楠农家乐(烈士路分店),住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,烈士路三星镇育德烈士村1201号,"021-59602265;17317350671;+861056320612,89224",121.2496573,31.75699945,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': , 'rating': '4.3', 'lowest_price': , 'hotel_ordering': '1', 'open_time': }"
B0FFF3OLYQ,hotel,上海星育农家乐茅家小院,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,三星镇三华公路403号,021-59601183,121.2530093,31.75580901,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': '00:00-24:00', 'rating': '4.3', 'lowest_price': , 'hotel_ordering': '1', 'open_time': '24小时营业'}"
B00156EF3R,hotel,屋里人家3号绿色园饭店,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,三星镇三华公路411号(近陈海公路),18019096817;18930477798,121.2516838,31.75520381,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': '07:00-19:00', 'rating': '4.4', 'lowest_price': , 'hotel_ordering': '0', 'open_time': '07:00-19:00'}"
B0FFG95ZBF,,天鹅苑垂钓中心,体育休闲服务;休闲场所;垂钓园,三华公路南50米,021-39633666,121.2404921,31.75694696,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.1'}"
B0FFFFQF0L,hotel,明珠湖天鹅苑度假村,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,三华公路777号,021-39633666,121.2414683,31.75545472,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': , 'rating': '4.4', 'lowest_price': , 'hotel_ordering': '1', 'open_time': }"
B0FFHW25HI,,朕格农家乐,体育休闲服务;休闲场所;休闲场所,绿华镇华星村城北2队,13817274524;18221370896,121.2258582,31.76174254,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
B0FFGRCUWT,,崇明星育屋里人家农家乐,体育休闲服务;休闲场所;休闲场所,区育德烈士村826号,13764419560,121.2469093,31.75651045,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.7'}"
B00156EFIU,,绿华敬老院,体育休闲服务;度假疗养场所;疗养院,新建公路894号,,121.2102926,31.77201543,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFIA2NKI,,蓓佳农家乐,体育休闲服务;体育休闲服务场所;体育休闲服务场所,绿华镇华星村719号,"15316878065;18916311800;+862126137886,82086",121.2172333,31.76233821,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.2'}"
B0FFKDVQWG,,水上娱乐游艺船,体育休闲服务;体育休闲服务场所;体育休闲服务场所,三华公路333号明珠湖公园内,021-59603888,121.2508243,31.75127136,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.7'}"
B00156ZL6V,hotel,桔香园农家乐饭店,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,绿港生态村建民路713号,021-59353001;13701650803;13816914121,121.2203613,31.75494678,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': '10:30-16:00', 'rating': '4.6', 'lowest_price': , 'hotel_ordering': '0', 'open_time': '10:30-16:00'}"
B0FFKF0OAO,,敬友农家乐(三星镇店),体育休闲服务;体育休闲服务场所;体育休闲服务场所,海洪港村817号,13818918227,121.2571225,31.74801432,,上海市,,上海市,,崇明区,,"{'cost': '87.00', 'rating': '4.3'}"
B00155FJ30,,三星敬老院,体育休闲服务;度假疗养场所;疗养院,协进村496,021-59601521,121.2816201,31.75490326,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156NAY2,hotel,崇明湖西农庄,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,绿华镇绿港村建民102号,021-59351717;13003191706,121.2298734,31.75064622,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': , 'rating': '4.2', 'lowest_price': , 'hotel_ordering': '1', 'open_time': }"
B0KB69A5V6,,桔香园采摘基地,体育休闲服务;休闲场所;采摘园,民柒路与绿港北路交叉口北200米,,121.2201702,31.75404224,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.7'}"
B0FFIU70EP,,思乡园农庄,体育休闲服务;体育休闲服务场所;体育休闲服务场所,绿华镇绿港北路建民668号,021-59607799;13818527109;13916141201,121.2216067,31.75232612,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.2'}"
B00155ND91,,三毛农家乐,体育休闲服务;休闲场所;休闲场所,三星镇海洪港村原村民委员会办事处,021-59601000;13003215179,121.266667,31.74704562,,上海市,,上海市,,崇明区,,"{'cost': '76.00', 'rating': '4.7'}"
B0FFH854H2,hotel,富氧农庄,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,海洪港村草棚141号,021-59601687;13816338629;18016289018,121.2714083,31.74882602,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': '00:00-24:00', 'rating': '4.1', 'lowest_price': , 'hotel_ordering': '1', 'open_time': '24小时营业'}"
B0FFGJQRSZ,,华煜农家乐,体育休闲服务;休闲场所;休闲场所,星虹路223号,021-59609777,121.2701488,31.74684609,,上海市,,上海市,,崇明区,,"{'cost': '103.00', 'rating': '4.5'}"
B0IRCD7IML,,滑索,体育休闲服务;休闲场所;休闲场所,西沙明珠湖景区内(西南角),021-59603888,121.2454198,31.74651336,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.5'}"
B0FFKT3CSY,,上海来钿休闲生态园农庄,体育休闲服务;体育休闲服务场所;体育休闲服务场所|餐饮服务;餐饮相关场所;餐饮相关,区崇明区绿华镇绿湖村湖滨616号,13816731038,121.2352268,31.74612929,,上海市,,上海市,,崇明区,,"{'cost': , 'opentime2': , 'rating': '4.2', 'open_time': , 'meal_ordering': '0'}"
B0FFH60LXG,hotel,上海沁香农家旅馆,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,绿港村建同402号,13506197913;18221270478;18918960978,121.211927,31.75160172,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': , 'rating': '2.7', 'lowest_price': , 'hotel_ordering': '1', 'open_time': }"
B0FFIWTABZ,,百友居农庄,体育休闲服务;体育休闲服务场所;体育休闲服务场所,绿华镇绿湖村大新201号,15800547380,121.2416735,31.74222055,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.9'}"
B0GKN78SAO,,瀛西风情农家乐,体育休闲服务;休闲场所;休闲场所,三星镇宏海公路4225弄2号崇明岛自种蔬菜散养鸡鸭鹅休闲娱乐度假住宿K歌棋牌室,13701766384,121.2782713,31.74593571,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.0'}"
B0JKBCP5UV,,三星镇市民健身驿站,体育休闲服务;运动场馆;健身中心,宏海公路4291号三星镇社区党群服务中心3层,,121.2791363,31.74736289,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.1'}"
B0FFG1P1P0,,鱼标本馆,体育休闲服务;休闲场所;休闲场所|风景名胜;风景名胜相关;旅游景点,三华公路333号明珠湖公园内,021-59603888,121.2444441,31.74135131,,上海市,,上海市,,崇明区,,"{'cost': , 'opentime2': , 'level': , 'rating': '3.6', 'open_time': , 'ticket_ordering': '0'}"
B0FFF9VXXX,hotel,上海兴瀛农庄,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,三星镇海洪港村427号,,121.2697178,31.74168673,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': '09:00-21:00', 'rating': '3.8', 'lowest_price': , 'hotel_ordering': '0', 'open_time': '09:00-21:00'}"
B0H0BL06VS,,川海奇遇主题亲子乐园,体育休闲服务;休闲场所;游乐场,三华公路333号明珠湖公园内,021-59602009;021-59603888,121.2433978,31.73923192,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.1'}"
B0FFG1MGSL,,智能平衡车,体育休闲服务;运动场馆;运动场所,三华公路333号明珠湖公园,021-59603888,121.2439176,31.73926589,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.4'}"
B0I1JZDJ3C,,绿华镇华西村多功能市民球场(文体广场),体育休闲服务;体育休闲服务场所;体育休闲服务场所,绿华镇华西村建桥1088号(北侧),,121.180103,31.78806472,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.6'}"
B0JA17SLFC,,Y·Camping·优客美露营地,体育休闲服务;体育休闲服务场所;体育休闲服务场所,北沿公路3176号,15021332337,121.320155,31.81824917,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
B0FFH0T7UV,,小六农家乐(崇明西沙湿地店),体育休闲服务;休闲场所;休闲场所,绿华镇绿港村堡镇903号,021-59352644;18017035125,121.2201212,31.74150115,,上海市,,上海市,,崇明区,,"{'cost': '70.00', 'rating': '4.6'}"
B0KBBAOO30,,漫屿户外运动营地,体育休闲服务;体育休闲服务场所;体育休闲服务场所,新堡路988号,13601694101;19116340931,121.2180165,31.74141048,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.4'}"
B0HDGUPB9N,,光明瑞华果园游客中心,体育休闲服务;休闲场所;采摘园|生活服务;信息咨询中心;服务中心,北沿公路3176号新海农场,021-59658558,121.3223574,31.81536972,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHUU0YW,hotel,上海国军农家乐,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,绿港村堡镇409号,021-59352396;18930089719,121.2163,31.74200242,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': '10:00-20:00', 'rating': '4.2', 'lowest_price': , 'hotel_ordering': '1', 'open_time': '10:00-20:00'}"
B00155R3U2,,西来农庄,体育休闲服务;休闲场所;休闲场所,绿华镇绿港村堡镇五队525号,021-59353399,121.2164614,31.7414326,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.7'}"
B0FFFEMTO7,hotel,杜娘娘农家乐,住宿服务;住宿服务相关;住宿服务相关|体育休闲服务;休闲场所;休闲场所,绿华镇绿港村堡镇408号,13818165381;13916508907,121.2160055,31.7417838,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': '00:00-24:00', 'rating': '4.0', 'lowest_price': , 'hotel_ordering': '0', 'open_time': '24小时营业'}"
B0FFG6JC9R,,老陆农家乐,体育休闲服务;休闲场所;休闲场所,绿华镇绿港村堡镇404号,13816711089;15900975287,121.2155856,31.741843,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.9'}"
B0FFL02SH4,,水上运动基地,体育休闲服务;体育休闲服务场所;体育休闲服务场所,三华公路333号西沙明珠湖景区(西南角),18018556769,121.2430005,31.73527405,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
