id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFFF7C2O,,公共厕所,公共设施;公共厕所;公共厕所,港沿镇东首上海聚银庄园度假村内,,121.6647111,31.58289263,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0I16HV8GS,,公共厕所,公共设施;公共厕所;公共厕所,草港公路3178号,,121.7081351,31.56564085,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFMEFGXE,,公共厕所,公共设施;公共厕所;公共厕所,向蟠公路与建惠公路交叉口东80米,,121.6552824,31.58205752,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHLSPWU,,公共厕所,公共设施;公共厕所;公共厕所,富裕公路与菜场二路交叉口东南100米,,121.6540624,31.58646355,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156EF42,,公共厕所,公共设施;公共厕所;公共厕所,港中路503号,,121.6529485,31.58624261,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0IGVU3AOE,,无障碍公共厕所,公共设施;公共厕所;公共厕所,港中二路与港沿公路交叉口东南40米,,121.6517715,31.58824966,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156EEWI,,公共厕所,公共设施;公共厕所;公共厕所,振兴窗帘灯具(崇明区港沿镇政府南),,121.6516787,31.58832783,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFI9548Y,,公共厕所,公共设施;公共厕所;公共厕所,港沿公路港沿幼儿园,,121.6496535,31.58652757,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHLS9LI,,公共厕所,公共设施;公共厕所;公共厕所,合东公路与合五公路交叉口南20米,,121.7080313,31.58705367,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0JUFZKW4X,,公共厕所,公共设施;公共厕所;公共厕所,大港公路605号,,121.7168059,31.56464365,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0I0JU6LMW,,无障碍公共厕所,公共设施;公共厕所;公共厕所,齐成南北路与齐富公路交叉口西南100米,,121.6619708,31.60208106,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0J0RNGEG9,,公共厕所,公共设施;公共厕所;公共厕所,堡北路与堡镇支路交叉口东北60米,,121.6321014,31.56265568,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHLSKMC,,公共厕所,公共设施;公共厕所;公共厕所,堡镇北路北堡小学,,121.6310132,31.55965546,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0J6G7Q1Q7,,公共厕所,公共设施;公共厕所;公共厕所,惠富路1700号,,121.6767985,31.60754659,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0I6TAO90D,,公共厕所,公共设施;公共厕所;公共厕所,跃富公路与马中路交叉口东北220米,,121.6418605,31.59477568,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHLSZ9N,,公共厕所,公共设施;公共厕所;公共厕所,堡镇北路534-536附近,,121.6293166,31.55764296,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFLG72GD,,公共厕所,公共设施;公共厕所;公共厕所,陈海公路与向化公路交叉口西北80米,,121.7209374,31.54179263,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0IGU7ZHRV,,无障碍公共厕所,公共设施;公共厕所;公共厕所,石桥路与堡镇丽平路交叉口东北180米,,121.6283398,31.55871618,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFGTHIF1,,公共厕所,公共设施;公共厕所;公共厕所,石桥路与堡镇丽平路交叉口东北180米,,121.6283398,31.55865218,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156EDYN,,公共厕所,公共设施;公共厕所;公共厕所,堡镇北路909号,,121.6282082,31.55673752,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHLT5V0,,公共厕所,公共设施;公共厕所;公共厕所,向堡公路与水泯沟沿路交叉口西40米,,121.644699,31.53121884,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFGE00SV,,公共厕所,公共设施;公共厕所;公共厕所,堡镇北路与虹渡路交叉口东北160米,,121.6270468,31.55535515,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156EGVI,,公共厕所,公共设施;公共厕所;公共厕所,港沿公路中国石化中富加油站(惠中),,121.6706338,31.61457317,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHLTCLK,,公共厕所,公共设施;公共厕所;公共厕所,堡镇北路904号,,121.6224756,31.54932925,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFGWTAYF,,公共厕所,公共设施;公共厕所;公共厕所,堡镇北路902号,,121.6215537,31.54820539,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156EDW2,,公共厕所,公共设施;公共厕所;公共厕所,向贸路与向化大街交叉口西100米,,121.7165037,31.52367209,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFJYVSJF,,公共厕所,公共设施;公共厕所;公共厕所,灵山路与堡镇北路交叉口东南140米,,121.6206989,31.54468967,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFGTJN9U,,公共厕所,公共设施;公共厕所;公共厕所,堡镇中路与大通路交叉口南120米,,121.6188948,31.54372367,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHLSNF2,,公共厕所,公共设施;公共厕所;公共厕所,堡镇中路与微山路交叉口南40米,,121.6170786,31.54162468,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0G0KBQM8Q,,公共厕所,公共设施;公共厕所;公共厕所,堡镇人民村中心卫生室西侧,,121.6107401,31.56903763,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0I3SDUMG1,,公共厕所,公共设施;公共厕所;公共厕所,向化公路2000号,,121.746159,31.55562362,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFGSI9QC,,公共厕所,公共设施;公共厕所;公共厕所,大通路448号,,121.6119728,31.55029724,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0J1OUDYUD,,无障碍公共厕所,公共设施;公共厕所;残障洗手间/无障碍洗手间,工农路与堡兴路交叉口东20米,,121.614248,31.54041337,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFIG363I,,公共厕所,公共设施;公共厕所;公共厕所,新征北横路南100米,,121.6956674,31.62700689,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFGU82G4,,公共厕所,公共设施;公共厕所;公共厕所,堡镇中路与向阳路交叉口东北100米,,121.6132032,31.53606472,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFHLSH5I,,公共厕所,公共设施;公共厕所;公共厕所,福利路与胜利弄交叉口西20米,,121.6096906,31.53407157,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFF06RCN,,公共厕所,公共设施;公共厕所;公共厕所,堡港路玉屏新村,,121.608579,31.53689999,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0IG6UEWNN,,无障碍公共厕所,公共设施;公共厕所;公共厕所,福利路与胜利弄交叉口西南40米,,121.6095757,31.53388167,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFF06109,,公共厕所,公共设施;公共厕所;公共厕所,浜南路与陈彷公路三二五五弄交叉口东60米,,121.7457768,31.52147929,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00155QBW8,,公共厕所,公共设施;公共厕所;公共厕所,崇明新港路与电力路交叉口西20米,,121.6042513,31.53063508,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156ECYH,,公共厕所,公共设施;公共厕所;公共厕所,陈彷公路与汲浜公路交叉口西北60米,,121.7480826,31.52208529,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0I0K731RV,,公共厕所,公共设施;公共厕所;公共厕所,前竖公路1186号,,121.5980534,31.61337862,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0G3T9QOC1,,公共厕所,公共设施;公共厕所;公共厕所,公和东路,,121.6591833,31.7308235,,江苏省,,南通市,,启东市,,"{'cost': , 'rating': }"
B0FFF2RJDZ,,公共厕所,公共设施;公共厕所;公共厕所,凤凰街与凤凰街路交叉口西北50米,,121.6844565,31.39232405,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0HGFC5QWD,,公共厕所(JS-NT-0799),公共设施;公共厕所;公共厕所,戤效路,,121.8130114,31.69320266,,江苏省,,南通市,,启东市,,"{'cost': , 'rating': }"
B0FFHLSKGT,,公共厕所,公共设施;公共厕所;公共厕所,长兴南环路与凤凰公路交叉口西60米,,121.6849095,31.38274007,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B02010U0PD,,公共厕所,公共设施;公共厕所;公共厕所,沿江公路与汇大线交叉口东南140米,,121.673677,31.7542195,,江苏省,,南通市,,启东市,,"{'cost': , 'rating': }"
B0FFF2F9NS,,崇启大桥服务区公共厕所,公共设施;公共厕所;公共厕所,沪陕高速崇启大桥服务区,,121.6894079,31.76476202,,江苏省,,南通市,,启东市,,"{'cost': , 'rating': }"
B0FFFZ0DXO,,公共厕所,公共设施;公共厕所;公共厕所,人民东路91附近,,121.801716,31.73725364,,江苏省,,南通市,,启东市,,"{'cost': , 'rating': }"
B0FFK6TRK9,,公共厕所,公共设施;公共厕所;公共厕所,和合路与东和线交叉口西120米,,121.8054527,31.74024341,,江苏省,,南通市,,启东市,,"{'cost': , 'rating': }"
B02010U8LE,,崇启大桥服务区公共厕所,公共设施;公共厕所;公共厕所,崇启大桥服务区与G40沪陕高速交叉口西南300米,,121.687587,31.76643843,,江苏省,,南通市,,启东市,,"{'cost': , 'rating': }"
