id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFFF7C2O,,公共厕所,公共设施;公共厕所;公共厕所,港沿镇东首上海聚银庄园度假村内,,121.6604054,31.58492337,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0IGVU3AOE,,无障碍公共厕所,公共设施;公共厕所;公共厕所,港中二路与港沿公路交叉口东南40米,,121.6474896,31.5903039,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0HUOAFQ3E,,揽海路环保公共厕所,公共设施;公共厕所;公共厕所,揽海路与滨澜路交叉口,,121.8035271,31.46824986,310000,上海市,21,上海市,310151,崇明区,陈家,
B0J2FR635O,,公共厕所(雨水桥),公共设施;公共厕所;公共厕所,雨水桥边,,121.7032195,31.40012596,310000,上海市,21,上海市,310151,崇明区,,
B0J2F50345,,公共厕所(公园阳光草坪),公共设施;公共设施;公共设施,花溪路,,121.7110626,31.40181499,310000,上海市,21,上海市,310151,崇明区,,
B0J2FR5WCN,,公共厕所(梅园),公共设施;公共设施;公共设施,花溪路梅园,,121.7101106,31.40354469,310000,上海市,21,上海市,310151,崇明区,,
B0J2FR5WBX,,公共厕所(百果园),公共设施;公共设施;公共设施,香柚路厕所,,121.7043551,31.41108534,310000,上海市,21,上海市,310151,崇明区,,
B0J2FR636A,,公共厕所(烧烤区),公共设施;公共厕所;公共厕所,水曲路烧烤区,,121.7139423,31.40449984,310000,上海市,21,上海市,310151,崇明区,,
B0FFG299B8,,公共厕所(崇明区博物馆),公共设施;公共厕所;公共厕所,城桥镇鳌山路696号崇明区博物馆,,121.3967414,31.62087272,310000,上海市,21,上海市,310151,崇明区,城桥,
B0FFKGBOWT,,公共卫生间,公共设施;公共厕所;公共厕所,丰康路与长橘路交叉口西南80米,,121.6960994,31.39555014,310000,上海市,21,上海市,310151,崇明区,长兴镇/长兴岛,
B0J0U75WXJ,,公共厕所(香朵开心农场),公共设施;公共厕所;公共厕所,庙镇小星公路1500号,,121.3502064,31.74441914,310000,上海市,21,上海市,310151,崇明区,,
B0J2TZ44TZ,,公共厕所(水趣园),公共设施;公共设施;公共设施,水曲路,,121.7121991,31.40527466,310000,上海市,21,上海市,310151,崇明区,,
B0H3MA9PG8,,公共厕所(紫海鹭缘景区服务中心),公共设施;公共厕所;公共厕所,北沿公路2018号,,121.4908259,31.67439641,310000,上海市,21,上海市,310151,崇明区,,
B0J3CUCW8Z,,公共厕所(自然回响停车场),公共设施;公共厕所;公共厕所,东风公路2863弄,,121.4322759,31.72095092,310000,上海市,21,上海市,310151,崇明区,,
B0FFH07GAC,,前卫生态村-公共厕所,公共设施;公共厕所;公共厕所,纬八路前卫生态村(东南角),,121.5092321,31.72124965,310000,上海市,21,上海市,310151,崇明区,,
B0FFILCSBA,,公共厕所(装修中),公共设施;公共厕所;公共厕所,八一路2号,,121.3906378,31.61865981,310000,上海市,21,上海市,310151,崇明区,城桥,
B0FFL8D4TY,,长兴岛郊野公园-公共厕所,公共设施;公共厕所;公共厕所,G40(沪陕高速),,121.7179268,31.40157834,310000,上海市,21,上海市,310151,崇明区,,
B00155QBWT,,瀛洲公园-公共厕所,公共设施;公共厕所;公共厕所,崇明东门路与崇明南门路交叉口南220米,,121.3957797,31.61824881,310000,上海市,21,上海市,310151,崇明区,城桥,
B0I3S5YYW1,,前卫村玫瑰庄园南厕所,公共设施;公共厕所;公共厕所,前卫生态村海上花岛南侧,,121.4974803,31.72798147,310000,上海市,21,上海市,310151,崇明区,,
B0JD75EV5G,,新乐村公共厕所,公共设施;公共厕所;公共厕所,星村公路1601号,,121.3545191,31.82594248,310000,上海市,21,上海市,310151,崇明区,,
B0H3RZFMG0,,崇明荷花博览园1号门公共厕所,公共设施;公共厕所;公共厕所,荷花博览园游园小火车西站南侧,,121.2375424,31.72981155,310000,上海市,21,上海市,310151,崇明区,,
B0H3RZEJWX,,崇明荷花博览园2号门公共厕所,公共设施;公共厕所;公共厕所,堡湖路367号西沙荷花博览园,,121.2379675,31.72970566,310000,上海市,21,上海市,310151,崇明区,,
B0H3DDPXLM,,高家庄园网球场厕所,公共设施;公共厕所;公共厕所,港东公路999号,,121.4175804,31.68674838,310000,上海市,21,上海市,310151,崇明区,,
B0FFG2W6I2,,公共厕所(明珠湖烧烤场),公共设施;公共厕所;公共厕所,西沙明珠湖景区烧烤场东北侧,,121.2568159,31.74836215,310000,上海市,21,上海市,310151,崇明区,,
B0JGUCHPD7,,江镇村应急避难场所,公共设施;公共设施;公共设施,宏海公路293号,,121.3553073,31.68297259,310000,上海市,21,上海市,310151,崇明区,,
