id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0KBYS5V5Z,,海桥海乐店,购物服务;购物相关场所;购物相关场所,海西北路与海滨路交叉口北420米,,121.2678728,31.79163205,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '2.5'}"
B0JDRDHZO7,,佳芳商店,购物服务;便民商店/便利店;便民商店/便利店,新建公路与海西路交叉口西北40米,,121.266744,31.78016624,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '2.6'}"
B0FFMB0VEW,,益群杂货商店,购物服务;便民商店/便利店;便民商店/便利店,新建公路西北30米,,121.2769576,31.77889115,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.6'}"
B0GU1LYOHJ,,芳圆杂货经营部,购物服务;便民商店/便利店;便民商店/便利店,宏海公路与桥中路交叉口南100米,18917922553,121.2865982,31.79247789,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
B0GUAOGAHL,,搭建夹芯板定做铝合金,购物服务;家居建材市场;建材五金市场,宏海公路与海桥公路交叉口北100米,,121.2864454,31.79229908,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.5'}"
B0HBK7TEDO,,水博士管佳春装潢店(新建公路店),购物服务;家居建材市场;建材五金市场,新建公路与育中路交叉口西420米,,121.2267908,31.78455835,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.5'}"
B0KBKUDLGT,,佳春建材店,购物服务;家居建材市场;建材五金市场,新建公路与育中路交叉口西440米,,121.2266117,31.78460524,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '2.5'}"
B00156EEYX,,跃进菜场,购物服务;综合市场;蔬菜市场,跃进公路700号,,121.2230064,31.81364821,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.3'}"
B00156EERP,,欣鹏杂货商店,购物服务;便民商店/便利店;便民商店/便利店,三星镇纯阳村小兴西路东459号,,121.2840258,31.77799525,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.5'}"
B0FFGVVX0B,,华聪食品商店,购物服务;便民商店/便利店;便民商店/便利店,新海镇跃进公路708号,,121.2229514,31.81380719,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.7'}"
B0FFHR3I9J,,育德杂货店,购物服务;便民商店/便利店;便民商店/便利店,三星镇育德村947号,,121.2552353,31.76585004,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.7'}"
B0JRT93ZAA,,陈鹏小店,购物服务;便民商店/便利店;便民商店/便利店,宏海公路与新建公路交叉路口东北侧家缘石膏线条上海市崇明区三星镇红海公路新建路口,,121.2846977,31.77782132,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.0'}"
B0FFL3E30Y,,易诚电器服务部(德馨嘉苑店),购物服务;家电电子卖场;数码电子,X501(北沿公路),18101721871,121.2853929,31.81929,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.5'}"
B0JUPMUJKX,,盛业建材有限公司,购物服务;购物相关场所;购物相关场所,523县道(宏海公路),15900828916,121.2826607,31.77037998,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.1'}"
B0FFKVYY5C,,翔翔百货商店,购物服务;便民商店/便利店;便民商店/便利店,宏海公路与海腾路交叉口南50米,021-59656850;17317313021,121.2902993,31.81873283,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.2'}"
B0GDL7JJLD,,旭日烟杂酒店,购物服务;便民商店/便利店;便民商店/便利店|住宿服务;宾馆酒店;宾馆酒店,新海镇宏海公路明珠湖猪肉店隔壁,,121.2901865,31.8181589,,上海市,,上海市,,崇明区,,"{'cost': , 'star': , 'opentime2': , 'rating': '3.4', 'lowest_price': , 'hotel_ordering': '0', 'open_time': }"
B0FFM8ZNO1,,明珠湖生态健康猪肉专卖(新海店),购物服务;综合市场;农副产品市场,宏海公路与海腾路交叉口南80米,,121.2902015,31.81823189,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.9'}"
B00156EDWP,,农工商超市(新海店),购物服务;超级市场;超市,北沿公路3364号,021-59658636,121.2896743,31.82020202,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.3'}"
B0FFHIXHVG,,爱军食品经营部,购物服务;购物相关场所;购物相关场所,新海农场菜场转角大楼103室,,121.2905867,31.81885542,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.1'}"
B0FFMB3856,,五金电器(海腾路店),购物服务;家居建材市场;建材五金市场,海腾路与宏海公路交叉口东南20米,,121.2903561,31.81877175,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.6'}"
B0G015SSU1,,鑫皖百货商店,购物服务;便民商店/便利店;便民商店/便利店,新海镇新海农场菜市场转角楼,,121.2903721,31.81888575,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.6'}"
B0FFG95C4M,,新海菜场,购物服务;综合市场;蔬菜市场,新海农场海腾路1471号,,121.2910559,31.81868468,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.4'}"
B0FFIF94LX,,百港食品商店,购物服务;便民商店/便利店;便民商店/便利店,"新海镇新海农贸市场A-17,A-18号",021-59656455,121.2911896,31.81831441,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.6'}"
B0FFIQ4KOD,,尚品电动车,购物服务;专卖店;自行车专卖店,新海镇海腾路1431弄3号,13501668023,121.2919282,31.8184543,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.9'}"
B0JRDODI6N,,新平烟杂店,购物服务;便民商店/便利店;便民商店/便利店,新海镇海腾路1471号,,121.2911008,31.81860559,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '2.7'}"
