id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0KBYS5V5Z,,海桥海乐店,购物服务;购物相关场所;购物相关场所,海西北路与海滨路交叉口北420米,,121.2633898,31.79356781,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '2.5'}"
B0JDRDHZO7,,佳芳商店,购物服务;便民商店/便利店;便民商店/便利店,新建公路与海西路交叉口西北40米,,121.262263,31.78210099,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '2.6'}"
B0FFMB0VEW,,益群杂货商店,购物服务;便民商店/便利店;便民商店/便利店,新建公路西北30米,,121.272466,31.78081736,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.6'}"
B0GU1LYOHJ,,芳圆杂货经营部,购物服务;便民商店/便利店;便民商店/便利店,宏海公路与桥中路交叉口南100米,18917922553,121.2820917,31.79439517,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.8'}"
B0GUAOGAHL,,搭建夹芯板定做铝合金,购物服务;家居建材市场;建材五金市场,宏海公路与海桥公路交叉口北100米,,121.2819391,31.79421652,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.5'}"
B0HBK7TEDO,,水博士管佳春装潢店(新建公路店),购物服务;家居建材市场;建材五金市场,新建公路与育中路交叉口西420米,,121.222309,31.7864896,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.5'}"
B0KBKUDLGT,,佳春建材店,购物服务;家居建材市场;建材五金市场,新建公路与育中路交叉口西440米,,121.2221297,31.78653635,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '2.5'}"
B00156EEYX,,跃进菜场,购物服务;综合市场;蔬菜市场,跃进公路700号,,121.2185186,31.81558077,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '4.3'}"
B0FFGVVX0B,,华聪食品商店,购物服务;便民商店/便利店;便民商店/便利店,新海镇跃进公路708号,,121.2184635,31.81573973,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.7'}"
B00156EERP,,欣鹏杂货商店,购物服务;便民商店/便利店;便民商店/便利店,三星镇纯阳村小兴西路东459号,,121.2795245,31.77991354,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.5'}"
B0JRT93ZAA,,陈鹏小店,购物服务;便民商店/便利店;便民商店/便利店,宏海公路与新建公路交叉路口东北侧家缘石膏线条上海市崇明区三星镇红海公路新建路口,,121.2801954,31.77973876,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.0'}"
B0FFHR3I9J,,育德杂货店,购物服务;便民商店/便利店;便民商店/便利店,三星镇育德村947号,,121.2507625,31.76778768,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.7'}"
B0FFL3E30Y,,易诚电器服务部(德馨嘉苑店),购物服务;家电电子卖场;数码电子,X501(北沿公路),18101721871,121.2808859,31.82121327,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': '3.5'}"
