id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B00150FA19,,中国农业银行(上海港西支行),金融保险服务;银行;中国农业银行,三双公路1581弄13号,021-59671237;95599,121.4105979,31.69029349,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156GNVF,,上海农商银行(港西支行),金融保险服务;银行;上海农商银行,港西镇三双公路1581号15弄,021-59671238,121.4103557,31.69026635,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00155FGEO,,中国邮政储蓄银行(南盘滧支行),金融保险服务;银行;中国邮政储蓄银行,三双公路1581弄11号,021-59671580,121.4108011,31.6902026,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156GLDN,,上海农商银行24小时自助银行(港西支行),金融保险服务;自动提款机;上海农商银行ATM,三双公路1581弄15号,,121.4104188,31.69025539,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156DCCS,,上海农商银行(猛将庙分理处),金融保险服务;银行;上海农商银行,庙镇镇合作公路1303号,021-59382530,121.3620515,31.74343227,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00155FGD4,,中国邮政储蓄银行(合作支行),金融保险服务;银行;中国邮政储蓄银行,小星公路1208号,021-59382509,121.36109,31.74305053,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00155CCPN,,中国农业银行(崇明合作支行),金融保险服务;银行;中国农业银行,合作镇小星公路1230号,021-59382529,121.3601246,31.7433189,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00153113D,,中国农业银行(上海庙镇支行),金融保险服务;银行;中国农业银行,宏海公路1880号,021-20732273;95599,121.3456751,31.71468267,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00155FGEM,,中国邮政储蓄银行(上海崇明区庙镇支行),金融保险服务;银行;中国邮政储蓄银行,庙镇宏海公路1888号,021-59361120;021-59361509,121.3451621,31.71494558,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0FFFFQ30O,,中国邮政储蓄银行(长征营业所),金融保险服务;银行;中国邮政储蓄银行,长征公路3359弄172号,021-59311195;021-59311791,121.4073954,31.76355032,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B001577RLT,,中国工商银行24小时自助银行(合作公路),金融保险服务;自动提款机;中国工商银行ATM,庙镇合作公路41号,,121.343208,31.71720321,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B001557LU0,,上海农商银行(庙镇支行),金融保险服务;银行;上海农商银行,庙镇合作公路7号,021-59361648,121.3426383,31.71639714,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00153901E,,上海农商银行(江口分理处),金融保险服务;银行;上海农商银行,宏海公路253号,021-69361223,121.3566879,31.68242748,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
