id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B00150FA19,,中国农业银行(上海港西支行),金融保险服务;银行;中国农业银行,三双公路1581弄13号,021-59671237;95599,121.4059079,31.69203789,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156GNVF,,上海农商银行(港西支行),金融保险服务;银行;上海农商银行,港西镇三双公路1581号15弄,021-59671238,121.4056656,31.69201066,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00155FGEO,,中国邮政储蓄银行(南盘滧支行),金融保险服务;银行;中国邮政储蓄银行,三双公路1581弄11号,021-59671580,121.4061112,31.69194707,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156GLDN,,上海农商银行24小时自助银行(港西支行),金融保险服务;自动提款机;上海农商银行ATM,三双公路1581弄15号,,121.4057288,31.69199973,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156DCCS,,上海农商银行(猛将庙分理处),金融保险服务;银行;上海农商银行,庙镇镇合作公路1303号,021-59382530,121.3573926,31.74521231,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00155FGD4,,中国邮政储蓄银行(合作支行),金融保险服务;银行;中国邮政储蓄银行,小星公路1208号,021-59382509,121.3564328,31.74483195,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00155CCPN,,中国农业银行(崇明合作支行),金融保险服务;银行;中国农业银行,合作镇小星公路1230号,021-59382529,121.3554691,31.74510181,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00153113D,,中国农业银行(上海庙镇支行),金融保险服务;银行;中国农业银行,宏海公路1880号,021-20732273;95599,121.3410507,31.71648665,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00155FGEM,,中国邮政储蓄银行(上海崇明区庙镇支行),金融保险服务;银行;中国邮政储蓄银行,庙镇宏海公路1888号,021-59361120;021-59361509,121.3405388,31.71675051,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B001577RLT,,中国工商银行24小时自助银行(合作公路),金融保险服务;自动提款机;中国工商银行ATM,庙镇合作公路41号,,121.343208,31.71720321,310000,上海市,21,上海市,310151,崇明区,,
B001557LU0,,上海农商银行(庙镇支行),金融保险服务;银行;上海农商银行,庙镇合作公路7号,021-59361648,121.3426383,31.71639714,310000,上海市,21,上海市,310151,崇明区,,
B0FFFFQ30O,,中国邮政储蓄银行(长征营业所),金融保险服务;银行;中国邮政储蓄银行,长征公路3359弄172号,021-59311195;021-59311791,121.4026978,31.76530134,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00153901E,,上海农商银行(江口分理处),金融保险服务;银行;上海农商银行,宏海公路253号,021-69361223,121.3520441,31.68421024,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B00156EVOC,,中国邮政储蓄银行(江口营业所),金融保险服务;银行;中国邮政储蓄银行,宏海公路255号,021-69361148,121.3517671,31.6842771,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
B0HRV7WGSF,,太平洋保险-守护·成长·绽放,金融保险服务;金融保险服务机构;金融保险机构,光明路与谊西路交叉口东360米,,121.4665467,31.70267981,,上海市,,上海市,,崇明区,,"{'cost': , 'rating': }"
