id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFI6WDEN,,亿果优选便利店(漕河泾店),购物服务;便民商店/便利店;便民商店/便利店,沪闵路9238号,17601219238,121.4285261,31.16414776,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0I1VGQ4KK,,全家(徐汇万科中心店),购物服务;便民商店/便利店;便民商店/便利店,定安路55号徐汇万科中心1期F1层,13012882391,121.4292657,31.16001293,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B00156EP9Z,,全家便利店(冠生园路二店),购物服务;便民商店/便利店;便民商店/便利店,冠生园路7号,021-54015532;13166357665,121.4281644,31.16516375,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B00155IQKV,,好德便利店(钦州店),购物服务;便民商店/便利店;便民商店/便利店,钦州路112号,021-64754965,121.4262935,31.16444966,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0HALX5NI9,,罗森便利店(上海光大会展中心美居酒店店),购物服务;便民商店/便利店;便民商店/便利店,沪闵路与康健路交叉口东南40米,18202137415,121.4300534,31.16714335,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0GK3CUKLU,,罗森便利店(钦州路260店),购物服务;便民商店/便利店;便民商店/便利店,钦州路252号、258号、260底层,021-80270663;4008206390,121.4264025,31.16663467,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B001570316,,爱森优选(康惠苑店),购物服务;综合市场;农副产品市场|购物服务;便民商店/便利店;便民商店/便利店,康健路10号(漕宝路地铁站5号口步行330米),13636596038,121.4284397,31.16729102,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B0FFGWHGQ1,,振联烟酒(雪茄),购物服务;便民商店/便利店;便民商店/便利店,康健路2号102室,13701689152,121.4288664,31.16731659,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.1'}"
B0FFLQ90PQ,,全家FamilyMart(柳州路二店),购物服务;便民商店/便利店;便民商店/便利店,柳州路84-1号(上海南站地铁站8号口步行200米),021-34161725;021-60389624,121.4239575,31.15950438,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFM13TOU,,全家便利店(康健路二店),购物服务;便民商店/便利店;便民商店/便利店,康健路21号(漕宝路地铁站5号口步行380米),13564112013;15214344419,121.4278737,31.16753713,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B001524952,,俐民商场(九弄小区店),购物服务;便民商店/便利店;便民商店/便利店,康健路29-1号(漕宝路地铁站5号口步行410米),,121.4275352,31.16757466,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.1'}"
B0FFHO8WVV,,快客超市(泰成商务楼店),购物服务;超级市场;超市|购物服务;便民商店/便利店;便民商店/便利店,沪闵路9502(漕宝路地铁站5号口步行260米),021-54488911;15902100172,121.4293471,31.16773005,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0GD5Z12KU,,喜士多(沪闵路店),购物服务;便民商店/便利店;便民商店/便利店,沪闵路9506-5号(漕宝路地铁站1号口步行210米),13701773308,121.4293671,31.16801093,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B0HG0U0OZ1,,罗森(冠生园路店),购物服务;便民商店/便利店;便民商店/便利店,冠生园路226号,021-80270663;4008206390,121.4223979,31.16532859,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B0FFGCEFGO,,友联商店(石龙路),购物服务;便民商店/便利店;便民商店/便利店,石龙路336号(石龙路地铁站出入口步行380米),,121.4360192,31.15829521,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '3.9'}"
B0FFK6NG5C,,勇辉划得来食品(冠生园路店),购物服务;便民商店/便利店;便民商店/便利店|购物服务;专卖店;专营店,薛家宅小区南3门旁,,121.4214156,31.16526356,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B00154DGPK,,快客(习勤小区店),购物服务;便民商店/便利店;便民商店/便利店,习勤路52号,021-64708196,121.4232368,31.1677033,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0FFFVWB54,,世纪华联超市(上海南站店),购物服务;便民商店/便利店;便民商店/便利店|购物服务;超级市场;超市,沪闵路9001号上海南站东北出口处(上海南站地铁站4出口旁),15270925094,121.4245577,31.15585699,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0H1K9680N,,逸刻EGO漕宝路二店,购物服务;便民商店/便利店;便民商店/便利店,漕宝路36号11号楼1楼102B,13816606243,121.4273297,31.16995816,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.4'}"
B00154DNNG,,可的便利店(康健店),购物服务;便民商店/便利店;便民商店/便利店,康健路107号,021-64707125,121.4223276,31.16754536,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0GRT9FZUL,,京东便利店(上海南站店),购物服务;便民商店/便利店;便民商店/便利店,金牛苑西北3门东北110米,18054957719,121.4302859,31.15458122,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B0G2K1XPUD,,京东便利店(上海南站店),购物服务;便民商店/便利店;便民商店/便利店,沪闵路9001号上海南站2F层001,,121.4243324,31.15568482,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.1'}"
B0FFFV8P1I,,良良超市展会用品,购物服务;超级市场;超市|购物服务;便民商店/便利店;便民商店/便利店,习勤路14号,13818000975,121.4231997,31.16856881,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B0H2GOWLT4,,十足便利店(上海南站店),购物服务;便民商店/便利店;便民商店/便利店,沪闵路9001号上海南站2F层(上海南站地铁站4号入口旁),4008555327,121.4242102,31.1556227,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.0'}"
B0FFKZEXJ4,,便利蜂(上海南站店),购物服务;便民商店/便利店;便民商店/便利店,石龙路750-3号B1层07号南1-B22-23,4000001234,121.426701,31.15439842,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.4'}"
B0FFGJ9K9D,,百惠便利店,购物服务;便民商店/便利店;便民商店/便利店,桂林东街101号,,121.4213022,31.15773835,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.0'}"
B0FFK308O3,,旅途易购(上海南站),购物服务;便民商店/便利店;便民商店/便利店,沪闵路9001号上海南站2F层,,121.4246719,31.15516849,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.0'}"
B0FFGHNJ3N,,第一食品(上海火车站南站),购物服务;便民商店/便利店;便民商店/便利店,沪闵路9001号上海火车站南站2层(上海南站地铁站3号口旁),,121.4256694,31.15466298,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B0FFI3NKKC,,淳欣食品(全季酒店店),购物服务;便民商店/便利店;便民商店/便利店,康健路139-1号,,121.4209048,31.16710008,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.4'}"
B0HDO56KG6,,京东便利店(漕宝路店),购物服务;便民商店/便利店;便民商店/便利店,漕宝路51号105室(漕宝路地铁站8号口步行200米),15800938074;18217113623,121.425589,31.17028677,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B00155HNUB,,罗森(龙漕一店),购物服务;便民商店/便利店;便民商店/便利店,漕宝路地铁站4号口步行220米,021-34161350;4008206390,121.4326527,31.17040853,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '3.9'}"
B0FFIXFKFM,,快客(汇腾广场店),购物服务;便民商店/便利店;便民商店/便利店,漕溪路280号汇腾广场F1层(漕宝路地铁站6号口步行70米),,121.4297095,31.17083896,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B0JB1796QU,,时代优选超市(金牛苑小区店),购物服务;便民商店/便利店;便民商店/便利店,石龙路665号(上海南站地铁站2号口步行150米),15026900406,121.4295306,31.15385452,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.1'}"
B0FFGY84UT,,全家便利店(龙漕路二店),购物服务;便民商店/便利店;便民商店/便利店,龙华街道龙华西路31弄39号,13662743677;18221322372,121.4321758,31.1708146,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B0FFHCE3EQ,,罗森(上海师范大学徐汇校区东部店),购物服务;便民商店/便利店;便民商店/便利店,上海师范大学紫薇苑食堂二楼,4008206390,121.4186725,31.16309394,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.4'}"
B0FFFONHDL,,杉裕超市,购物服务;便民商店/便利店;便民商店/便利店,石龙路693号(上海南站地铁站2号口步行380米),13764758918,121.4291731,31.15350721,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.0'}"
B0FFJ22KZB,,罗森便利店(东泉小区店),购物服务;便民商店/便利店;便民商店/便利店,石龙路119号-4-5(石龙路地铁站东南口步行200米),021-54270740;021-54962562;4008206390,121.4389503,31.158857,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B00155FVHH,,喜士多(新漕宝店),购物服务;便民商店/便利店;便民商店/便利店,漕宝路75号(漕宝路地铁站8号口步行380米),18916072667,121.4238384,31.17024369,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B0IK5SRZM0,,喜士多(龙川北路店),购物服务;便民商店/便利店;便民商店/便利店,龙川北路787号,13348335650,121.4319799,31.15371417,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0FFHRD31Q,,全家便利店(漕宝路七店),购物服务;便民商店/便利店;便民商店/便利店,漕宝路77弄1-47号华尔兹花园,4008200996,121.4232316,31.17018402,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFHN0YN8,,全家便利店(东泉路店),购物服务;便民商店/便利店;便民商店/便利店,东泉路3号(石龙路地铁站东南口步行200米),,121.4393431,31.15881973,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B0FFKVZ0T9,,罗森(大树下创意空间店),购物服务;便民商店/便利店;便民商店/便利店,石龙路345弄28号A幢1楼101室,18870046446,121.4367019,31.1549921,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0FFF4NWFW,,快客(金林店),购物服务;便民商店/便利店;便民商店/便利店,柳州路258-6号,13621791309,121.4203761,31.16863674,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '3.9'}"
B00155ILGS,,好德便利店(漕溪三村店),购物服务;便民商店/便利店;便民商店/便利店,漕泾街道漕溪三村497号(漕宝路地铁站3号口步行430米),021-54488958,121.4332757,31.17208764,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.4'}"
B0FFG69VQG,,快客(锦和航天大厦店),购物服务;便民商店/便利店;便民商店/便利店,漕溪路222号3号楼101单元,13262500985;18817375886,121.4299697,31.17302221,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.1'}"
B00155ILAZ,,颐欣超市(天运综合大楼店),购物服务;便民商店/便利店;便民商店/便利店,漕宝路柳州路漕宝路111号,13818272691,121.4200816,31.16972888,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B0FFJ22JWY,,全家便利店(罗城路店),购物服务;便民商店/便利店;便民商店/便利店,罗城路570弄22号底层,021-34161593;17366418283;18917145956,121.433055,31.1520387,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B0FFJY30RT,,好的超市(石龙路),购物服务;便民商店/便利店;便民商店/便利店,石龙路832号(上海南站地铁站2号口步行440米),15900505909,121.4266822,31.15166384,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFFDD6LH,,铭雨便利店(正南花苑店),购物服务;便民商店/便利店;便民商店/便利店,石龙路824号(上海南站地铁站2号口步行420米),,121.4267954,31.15177592,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.1'}"
B0FFMEXAP2,,东泉涵轩便利店,购物服务;便民商店/便利店;便民商店/便利店,东泉小区东块西南门南50米(石龙路地铁站东南口步行390米),,121.4402111,31.15723314,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '3.9'}"
B0FFIL9M4U,,文禄食品店,购物服务;便民商店/便利店;便民商店/便利店,石龙路836号(上海南站地铁站2号口步行450米),15259881255,121.4266282,31.15161079,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.2'}"
B0FFJIVX01,,全家便利店(石龙路二店),购物服务;便民商店/便利店;便民商店/便利店,石龙路818弄19号101室,021-64278329;021-64279503,121.4263337,31.15136655,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0HB6RLTO0,,思源便利店(罗城路店),购物服务;便民商店/便利店;便民商店/便利店,石龙路与动力南五路交叉口南20米,18110353511,121.42718,31.15156353,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.0'}"
B0FFJXOJR0,,喜多多(仪表新村店),购物服务;便民商店/便利店;便民商店/便利店,漕宝路99弄7号,15001964231,121.4220529,31.17168794,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0FFF90K88,,全家便利店(漕东支路店),购物服务;便民商店/便利店;便民商店/便利店,漕东支路106号,021-54960027;18221563536,121.43296,31.17339148,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFF5XQ9B,,全家便利店(龙漕路店),购物服务;便民商店/便利店;便民商店/便利店,轨道交通十二号线龙漕路站12-102-2,021-22057668;021-54593201;13122537129,121.4367255,31.17180042,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
