id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈
BV10029707,,徐家汇(地铁站),交通设施服务;地铁站;地铁站,11号线;1号线;9号线,,121.4319862,31.19739195,310000,上海市,21,上海市,310104,徐汇区,徐家汇
BV10025073,,上海南站(地铁站),交通设施服务;地铁站;地铁站,15号线;1号线;3号线,,121.4254169,31.15646872,310000,上海市,21,上海市,310104,徐汇区,康健
BV10039893,,陕西南路(地铁站),交通设施服务;地铁站;地铁站,10号线;12号线;1号线,,121.4541768,31.21706142,310000,上海市,21,上海市,310104,徐汇区,淮海路
BV10039880,,宜山路(地铁站),交通设施服务;地铁站;地铁站,3号线;4号线;9号线,,121.4225631,31.18858695,310000,上海市,21,上海市,310104,徐汇区,徐家汇
BV10025307,,交通大学(地铁站),交通设施服务;地铁站;地铁站,10号线;11号线,,121.4306332,31.20408566,310000,上海市,21,上海市,310104,徐汇区,
BV10039862,,常熟路(地铁站),交通设施服务;地铁站;地铁站,1号线;7号线,,121.4445491,31.21541534,310000,上海市,21,上海市,310104,徐汇区,湖南路
BV10026004,,上海体育馆(地铁站),交通设施服务;地铁站;地铁站,1号线;4号线,,121.4328088,31.18469852,310000,上海市,21,上海市,310104,徐汇区,龙华
BV10039859,,龙华中路(地铁站),交通设施服务;地铁站;地铁站,12号线;7号线,,121.4524949,31.18630159,310000,上海市,21,上海市,310104,徐汇区,龙华
BV10025213,,漕河泾开发区(地铁站),交通设施服务;地铁站;地铁站,9号线,,121.3931232,31.17250877,310000,上海市,21,上海市,310104,徐汇区,漕河泾
BV10039879,,桂林路(地铁站),交通设施服务;地铁站;地铁站,15号线;9号线,,121.4134242,31.17665867,310000,上海市,21,上海市,310104,徐汇区,田林
BV10026584,,漕宝路(地铁站),交通设施服务;地铁站;地铁站,12号线;1号线,,121.4285225,31.17023062,310000,上海市,21,上海市,310104,徐汇区,漕河泾
BV10024943,,龙华(地铁站),交通设施服务;地铁站;地铁站,11号线;12号线,,121.448379,31.17459143,310000,上海市,21,上海市,310104,徐汇区,龙华
BV10039807,,龙耀路(地铁站),交通设施服务;地铁站;地铁站,11号线,,121.4551423,31.16166129,310000,上海市,21,上海市,310104,徐汇区,龙华
BV10039860,,东安路(地铁站),交通设施服务;地铁站;地铁站,4号线;7号线,,121.4503215,31.19273352,310000,上海市,21,上海市,310104,徐汇区,枫林路
BV10039894,,衡山路(地铁站),交通设施服务;地铁站;地铁站,1号线,,121.4418265,31.20641836,310000,上海市,21,上海市,310104,徐汇区,岳阳
BV10026582,,锦江乐园(地铁站),交通设施服务;地铁站;地铁站,1号线,,121.4094671,31.14409919,310000,上海市,21,上海市,310104,徐汇区,梅陇
BV10039940,,大木桥路(地铁站),交通设施服务;地铁站;地铁站,12号线;4号线,,121.4587257,31.19598953,310000,上海市,21,上海市,310104,徐汇区,枫林路
BV10039861,,肇嘉浜路(地铁站),交通设施服务;地铁站;地铁站,7号线;9号线,,121.4456239,31.20133631,310000,上海市,21,上海市,310104,徐汇区,
BV10039973,,上海图书馆(地铁站),交通设施服务;地铁站;地铁站,10号线,,121.4397606,31.20984485,310000,上海市,21,上海市,310104,徐汇区,湖南路
BV10039806,,云锦路(地铁站),交通设施服务;地铁站;地铁站,11号线,,121.4539554,31.16842302,310000,上海市,21,上海市,310104,徐汇区,龙华
BV10039938,,龙漕路(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线;12号线;3号线,,121.439784,31.17136204,310000,上海市,21,上海市,310104,徐汇区,龙华
BV10024951,,上海体育场(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线;4号线,,121.4389267,31.18749932,310000,上海市,21,上海市,310104,徐汇区,龙华
BV10039937,,虹梅路(地铁站),交通设施服务;地铁站;地铁站,12号线,,121.3926053,31.16222018,310000,上海市,21,上海市,310104,徐汇区,漕河泾
BV10024842,,桂林公园(地铁站),交通设施服务;地铁站;地铁站,12号线;15号线,,121.4150093,31.16885783,310000,上海市,21,上海市,310104,徐汇区,田林
BV10820979,,华泾西(地铁站),交通设施服务;地铁站;地铁站,(在建)19号线;15号线,,121.435535,31.11535542,310000,上海市,21,上海市,310104,徐汇区,华泾
BV10024941,,上海游泳馆(地铁站),交通设施服务;地铁站;地铁站,11号线,,121.4368179,31.18101689,310000,上海市,21,上海市,310104,徐汇区,龙华
BV10039881,,嘉善路(地铁站),交通设施服务;地铁站;地铁站,12号线;9号线,,121.4561434,31.20474198,310000,上海市,21,上海市,310104,徐汇区,岳阳
BV10039994,,石龙路(地铁站),交通设施服务;地铁站;地铁站,3号线,,121.4386044,31.15985686,310000,上海市,21,上海市,310104,徐汇区,龙华
BV10820973,,华东理工大学(地铁站),交通设施服务;地铁站;地铁站,15号线,,121.4243653,31.14615088,310000,上海市,21,上海市,310104,徐汇区,康健
BV10820984,,朱梅路(地铁站),交通设施服务;地铁站;地铁站,15号线,,121.4331955,31.12628069,310000,上海市,21,上海市,310104,徐汇区,华泾
BV10607588,,虹漕路(地铁站),交通设施服务;地铁站;地铁站,12号线,,121.4059092,31.16590218,310000,上海市,21,上海市,310104,徐汇区,漕河泾
BV10039993,,漕溪路(地铁站),交通设施服务;地铁站;地铁站,3号线,,121.4337981,31.17863613,310000,上海市,21,上海市,310104,徐汇区,龙华
BV10820976,,罗秀路(地铁站),交通设施服务;地铁站;地铁站,15号线,,121.4311933,31.13346177,310000,上海市,21,上海市,310104,徐汇区,华泾
BV11471657,,华泾路(地铁站),交通设施服务;地铁站;地铁站,(在建)19号线;(在建)23号线,,121.4523139,31.12193592,310000,上海市,21,上海市,310104,徐汇区,华泾
BV11471655,,上海植物园(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线,,121.4458437,31.15097138,310000,上海市,21,上海市,310104,徐汇区,
BV11471653,,徐浦大桥(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线,,121.4513858,31.12912093,310000,上海市,21,上海市,310104,徐汇区,华泾
BV11471650,,龙启路(地铁站),交通设施服务;地铁站;地铁站,(在建)23号线,,121.4446761,31.160545,310000,上海市,21,上海市,310104,徐汇区,龙华
