id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0HB6RMUZN,tour,绿谷,风景名胜;公园广场;公园,定安路与沪闵路辅路交叉口东南180米,,121.4246027,31.16277088,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': , 'level': , 'rating': '4.1', 'open_time': , 'ticket_ordering': '0'}"
B0FFILFL30,tour,CBD中央公园,风景名胜;公园广场;公园,万科中心地块内临近上海南站,,121.4226983,31.16109283,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': '00:00-24:00,仅供参考,实际以商家为准', 'level': , 'rating': '3.8', 'open_time': '24小时营业', 'ticket_ordering': '0'}"
B00155L0UC,tour,桂林公园,风景名胜;公园广场;公园,漕宝路188号(桂林公园地铁站5号口步行100米),021-64830915,121.4086473,31.16906115,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': '05:00-19:30', 'level': 'AAA', 'rating': '4.7', 'open_time': '05:00-19:30', 'ticket_ordering': '0'}"
B0FFL105A5,tour,桂林公园-东园,风景名胜;风景名胜相关;旅游景点,桂林路128号桂林公园内(桂林公园地铁站5号口步行230米),021-64830915,121.40915,31.16932848,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': , 'level': , 'rating': '3.5', 'open_time': , 'ticket_ordering': '0'}"
B0FFKZOYIW,tour,桂林公园-西园,风景名胜;风景名胜相关;旅游景点,漕宝路188号桂林公园(桂林公园地铁站5号口步行360米),021-64830915,121.4081827,31.16862705,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': , 'level': , 'rating': '3.4', 'open_time': , 'ticket_ordering': '0'}"
B0HBKKNUOJ,tour,桂林公园-观音阁,风景名胜;风景名胜;寺庙道观,九曲长廊桂林公园(桂林公园地铁站5号口步行260米),021-64830915,121.4086443,31.16940679,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': , 'level': , 'rating': '3.5', 'open_time': , 'ticket_ordering': '0'}"
B0FFHKDU6C,,徐家汇体育公园,体育休闲服务;运动场馆;运动场所,零陵路800号(上海游泳馆地铁站2号口旁),021-64266666,121.4303804,31.18530722,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'rating': '4.6'}"
B00156NS4T,tour,康健园,风景名胜;公园广场;公园,冠生园路458号(桂林公园地铁站4号口步行370米),021-64365081,121.4127783,31.16772817,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': '06:00-18:00', 'level': , 'rating': '4.7', 'open_time': '06:00-18:00', 'ticket_ordering': '0'}"
B0FFHUD4BQ,tour,油罐艺术中心,风景名胜;公园广场;公园,龙腾大道2380号,021-69500005,121.4552152,31.16834207,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': '全年周一不开放；全年周二至周五12:00-18:00开放；全年周六至周日10:00-18:00开放', 'level': , 'rating': '4.7', 'open_time': '12:00-18:00', 'ticket_ordering': '0'}"
B0FFI8D8QU,tour,徐汇跑道公园,风景名胜;风景名胜;风景名胜,云锦路与龙兰路交叉口北220米,,121.4486019,31.17224237,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': '00:00-24:00', 'level': , 'rating': '4.3', 'open_time': '24小时营业', 'ticket_ordering': '0'}"
B00154GF8J,tour,光启公园,风景名胜;公园广场;公园,南丹路17号(徐家汇地铁站1号口步行230米),021-64070098;021-64381780,121.4253829,31.19331887,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': '00:00-24:00', 'level': , 'rating': '4.7', 'open_time': '24小时营业', 'ticket_ordering': '0'}"
B0FFGXK5WR,tour,徐光启纪念馆,风景名胜;风景名胜;纪念馆,南丹路17号光启公园(徐家汇地铁站1号口步行230米),021-64381780;021-64689252,121.4255184,31.19281973,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': '周二至周日 09:00-16:30', 'level': , 'rating': '5.0', 'open_time': '09:00-16:30', 'ticket_ordering': '0'}"
B0FFMCC2IW,tour,康健社区体育公园,风景名胜;公园广场;公园,康健新村街道桂林西街168号康健社区体育场内(近浦北路),021-54199404,121.4085513,31.15637621,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '30.00', 'opentime2': '08:00-20:00', 'level': , 'rating': '4.4', 'open_time': '08:00-20:00', 'ticket_ordering': '0'}"
B00155ILI8,tour,徐家汇公园,风景名胜;公园广场;公园,肇嘉浜路986号(徐家汇地铁站14号口步行250米),,121.4332405,31.20116561,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': '00:00-24:00', 'level': , 'rating': '4.8', 'open_time': '24小时营业', 'ticket_ordering': '0'}"
B00155HVVN,tour,徐家汇公园-百代公司旧址,风景名胜;风景名胜相关;旅游景点,衡山路811号,,121.4326783,31.20161032,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': '09:00-18:00', 'level': , 'rating': '4.7', 'open_time': '09:00-18:00', 'ticket_ordering': '0'}"
B0JKPMS9LN,tour,徐家汇公园法治文化广场,风景名胜;公园广场;城市广场,徐家汇公园东北角,,121.4338376,31.20303177,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': , 'level': , 'rating': '3.9', 'open_time': , 'ticket_ordering': '0'}"
B0FFIOQJVD,tour,徐家汇公园-长廊,风景名胜;风景名胜相关;旅游景点,肇嘉浜路986号(徐家汇地铁站14号口步行400米),,121.4321625,31.20018705,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': , 'level': , 'rating': '3.7', 'open_time': , 'ticket_ordering': '0'}"
B0J26AOWNQ,tour,口袋公园,风景名胜;公园广场;公园,漕东支路至龙田路,,121.4323521,31.17841541,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': , 'opentime2': , 'level': , 'rating': '4.3', 'open_time': , 'ticket_ordering': '0'}"
