id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈
B00156CNA6,,嘉慧园停车场内部专用,交通设施服务;停车场;专用停车场,武康路嘉慧园西门,,121.4366117,31.21238709,310000,上海市,21,上海市,310104,徐汇区,湖南路
B0JU9U2QTI,,幽澜苑内部地面停车场,交通设施服务;停车场;专用停车场,老沪闵路666弄-1-15号幽澜苑,,121.4243662,31.14718034,310000,上海市,21,上海市,310104,徐汇区,康健
B0JBLHTNWE,,光华园内部地面停车场(出入口),交通设施服务;停车场;停车场出入口,光华园内部地面停车场(华东理工大学地铁站2号口步行490米),,121.4264718,31.14139401,310000,上海市,21,上海市,310104,徐汇区,
B0JBLHO7WL,,光华园内部地面停车场,交通设施服务;停车场;专用停车场,老沪闵路790弄-1-107号光华园,,121.4264718,31.14139401,310000,上海市,21,上海市,310104,徐汇区,
B0FFIL33RV,tour,HAPPY·PARK,风景名胜;公园广场;城市广场|科教文化服务;培训机构;培训机构,柳州路138号,021-64820178,121.4215662,31.16131477,310000,上海市,21,上海市,310104,徐汇区,康健
B0FFKW4KTV,diner,正新鸡排(田林路店),餐饮服务;快餐厅;快餐厅,田林街道田林路116号(桂林公园地铁站6号口步行320米),021-57882137;13391013097;15301728697,121.4119414,31.17224593,310000,上海市,21,上海市,310104,徐汇区,漕河泾
B0FFHKER6C,,停车场(出入口),交通设施服务;停车场;公共停车场,桂林路400-5号附近(桂林公园地铁站6号口步行170米),,121.4130773,31.1718339,310000,上海市,21,上海市,310104,徐汇区,虹梅路
B0FFFPTDWI,,手机维修回收,生活服务;维修站点;维修站点,桂林路401号399弄旁(桂林公园地铁站6号口步行360米),13901547686,121.412831,31.17356584,310000,上海市,21,上海市,310104,徐汇区,田林
B00155MTN7,,安踏(田林路店),购物服务;专卖店;儿童用品店|购物服务;体育用品店;体育用品店,田林路99号(桂林公园地铁站6号口步行260米),4008582020,121.4135276,31.17231896,310000,上海市,21,上海市,310104,徐汇区,田林
B0I0JA5TU4,,言小咖文化传媒有限公司,科教文化服务;科教文化场所;科教文化场所,桂林路400-4号楼(桂林公园地铁站6号口步行260米),,121.4120425,31.17167029,310000,上海市,21,上海市,310104,徐汇区,漕河泾
B0J3U6Z5N8,,煜聚图文(冶金小区店),生活服务;摄影冲印店;摄影冲印,桂林路215号(桂林公园地铁站5号口步行200米),,121.4139632,31.16997448,310000,上海市,21,上海市,310104,徐汇区,田林
B0FFGWHGPY,,RAOYIN服装店,购物服务;服装鞋帽皮具店;服装鞋帽皮具店,田林路田林路120-7号(桂林公园地铁站6号口步行370米),,121.4113439,31.17212462,310000,上海市,21,上海市,310104,徐汇区,田林
B0FFM0JW61,,言小咖少儿公众表达力培训中心,科教文化服务;培训机构;培训机构,桂林路400号4号楼(桂林公园地铁站6号口步行260米),13817032000,121.4121406,31.17155442,310000,上海市,21,上海市,310104,徐汇区,漕河泾
B0FFKSK2SI,diner,潘宁波糕团(田林路店),餐饮服务;甜品店;甜品店,田林路100号(桂林公园地铁站6号口步行310米),13764195029,121.413957,31.17261512,310000,上海市,21,上海市,310104,徐汇区,田林
B0JK17I3QO,diner,曾三仙米线(田林路店),餐饮服务;中餐厅;中餐厅,田林路120-5号(桂林公园地铁站6号口步行370米),15000762391,121.411405,31.17212766,310000,上海市,21,上海市,310104,徐汇区,田林
B0H3DUQYTE,,海澜之家(田林路二店),购物服务;服装鞋帽皮具店;品牌服装店,田林路100号(桂林公园地铁站6号口步行300米),021-64180830,121.4139079,31.17260509,310000,上海市,21,上海市,310104,徐汇区,田林
B0FFK0N5Q7,,中国福利彩票(田林路店),生活服务;彩票彩券销售点;彩票彩券销售点,田林路65弄24号(桂林公园地铁站6号口步行360米),,121.4144965,31.17271746,310000,上海市,21,上海市,310104,徐汇区,田林
B0FFJJFEEV,,华为(桂林路店),购物服务;家电电子卖场;手机销售,桂林路400号(桂林公园地铁站6号口步行280米),021-64079851,121.4123807,31.1720773,310000,上海市,21,上海市,310104,徐汇区,田林
B0FFIVP3I8,,罗蒙(田林路店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,田林路103号(桂林公园地铁站6号口步行260米),021-54566917,121.412777,31.17212954,310000,上海市,21,上海市,310104,徐汇区,田林
B0FFG2J39J,,罗森(田林路店),购物服务;便民商店/便利店;便民商店/便利店,桂林路385-1号(桂林公园地铁站6号口步行250米),021-33562301;4008206390,121.4131723,31.17265554,310000,上海市,21,上海市,310104,徐汇区,漕河泾
B00156PXF1,diner,胡记锅贴游子老鸭粉丝汤,餐饮服务;餐饮相关场所;餐饮相关,田林路116号(桂林公园地铁站6号口步行320米),13166443233,121.4118653,31.17223089,310000,上海市,21,上海市,310104,徐汇区,漕河泾
B0JRMDNFRR,,扬州五建,公司企业;公司;建筑公司,漕宝路121号(桂林公园地铁站1号口步行300米),,121.4156898,31.17028364,310000,上海市,21,上海市,310104,徐汇区,田林
B0GKJMWR0L,,招商银行24小时自助银行(田林支行),金融保险服务;自动提款机;招商银行ATM,田林路105号102室(桂林公园地铁站6号口步行390米),,121.4112489,31.17188269,310000,上海市,21,上海市,310104,徐汇区,田林
B0FFI8ZED9,,苹果手机售后维修服务中心iPad Mac,生活服务;维修站点;维修站点,虹梅街道田林路103号-1A(91215号线桂林路公园步行100米左右),18616146869,121.412704,31.17214248,310000,上海市,21,上海市,310104,徐汇区,田林
B0H6Z5R73V,,现代大厦内部地下停车场,交通设施服务;停车场;专用停车场,襄阳南路218号现代大厦A楼,,121.4527592,31.21392566,310000,上海市,21,上海市,310104,徐汇区,淮海路
B0IGUUYTQP,,复旦大学附属眼耳鼻喉科医院汾阳院区内部地面停车场,交通设施服务;停车场;专用停车场,汾阳路83号(太原路口)复旦大学附属眼耳鼻喉科医院(汾阳院区),,121.4487558,31.21171584,310000,上海市,21,上海市,310104,徐汇区,岳阳
B0H0BC16RU,,融创领馆壹号院内部停车场(出入口),交通设施服务;停车场;停车场出入口,华济路与长华路交叉口东140米,,121.4470897,31.11761289,310000,上海市,21,上海市,310104,徐汇区,华泾
B0FFHLSELZ,,公共厕所(体育公园),公共设施;公共厕所;公共厕所,零陵路682号,,121.4392003,31.18739387,310000,上海市,21,上海市,310104,徐汇区,枫林路
B0IR6ZPEG0,,教育部基础教育监测中心内部地面停车场(出入口),交通设施服务;停车场;停车场出入口,茶陵北路与斜土路交叉口东南60米,,121.4607051,31.20069414,310000,上海市,21,上海市,310104,徐汇区,枫林路
