id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0JUTDCVZK,,XDS喜德盛自行车(沪闵路专卖店),购物服务;专卖店;自行车专卖店,沪闵路9234号,15201916899;18117152819,121.4237806,31.16597145,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B00156EP9Z,,全家便利店(冠生园路二店),购物服务;便民商店/便利店;便民商店/便利店,冠生园路7号,021-54015532;13166357665,121.4235367,31.16704573,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B0FFIR685J,,百年利永(上海馆),购物服务;购物相关场所;购物相关场所,钦州路231弄1-21号2楼,021-33562858,121.421992,31.16834063,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.8'}"
B0FFGM4ZRX,,百果园(康惠苑店),购物服务;综合市场;果品市场,康健路10号,021-54503281,121.4237299,31.16915304,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B0IUS59XAB,,盒马生鲜奥莱店(康健店),购物服务;超级市场;超市,康健路18号(漕宝路地铁站5号口步行430米),13701992411,121.4226197,31.16922122,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFK1E5C5,,利永紫砂汇(河滨国际公寓店),购物服务;专卖店;专营店,钦州路209-211号河滨国际公寓,021-33562858,121.4219528,31.16872814,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0FFI8Z35Q,,中国移动·手机回收换屏(泰成花苑店),购物服务;家电电子卖场;手机销售|生活服务;生活服务场所;生活服务场所,康健路11号1室(漕宝路地铁站5号口步行320米),18321627223,121.4238532,31.16940809,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0FFM13TOU,,全家便利店(康健路二店),购物服务;便民商店/便利店;便民商店/便利店,康健路21号(漕宝路地铁站5号口步行380米),13564112013;15214344419,121.4232454,31.16941756,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFHMUE0E,,万商生活广场(光大店),购物服务;商场;普通商场,漕河泾街道漕宝路78号(漕宝路地铁站8号口步行430米),021-58377775,121.4242662,31.16899583,310000,上海市,21,上海市,310104,徐汇区,康健,
B0I6LZ306S,,联华超市(钦州路店),购物服务;超级市场;超市,钦州路231弄10号101室-1,021-64087029;13651856277,121.426747,31.16650718,310000,上海市,21,上海市,310104,徐汇区,漕河泾,
