id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFJCJMGI,diner,润苑·悦椿轩(徐汇万科中心店),餐饮服务;中餐厅;中餐厅,定安路55号徐汇万科中心A座203,18616799693,121.4247954,31.16203914,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '350.00', 'opentime2': '11:00-21:00', 'rating': '4.9', 'open_time': '11:00-21:00', 'meal_ordering': '0'}"
B0HR4X2THN,diner,润苑·影Vision(徐汇万科中心A座店),餐饮服务;中餐厅;中餐厅,安定路55号徐汇万科中心A座2层203(距地铁15号线上海南站出口步行670米),18616799693,121.4249148,31.16187762,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '1800.00', 'opentime2': '11:00-13:30；18:30-20:30', 'rating': '4.8', 'open_time': '11:00-13:30 18:30-20:30', 'meal_ordering': '0'}"
B0H22BHQ2T,diner,马记永·兰州牛肉面(徐汇万科中心店),餐饮服务;快餐厅;快餐厅,安定路55号徐汇万科中心A座T2-102B,17621624426,121.4249449,31.16199757,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '28.00', 'opentime2': '周一至周日 10:00-22:00', 'rating': '4.4', 'open_time': '10:00-22:00', 'meal_ordering': '0'}"
B0G0R4A55O,diner,老乡鸡(徐汇万科中心店),餐饮服务;快餐厅;快餐厅,南宁路980号一层01单元,021-64225227;18016476935;4007661777,121.4243653,31.16134074,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '33.00', 'opentime2': '10:00-21:00', 'rating': '4.6', 'open_time': '10:00-21:00', 'meal_ordering': '0'}"
B0I33UYDPB,diner,胡子大厨·超级小炒肉(徐汇万科中心店),餐饮服务;中餐厅;中餐厅,徐汇万科中心A座,13140073771;19145607423,121.4248526,31.16191641,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': [], 'opentime2': '10:30-21:00', 'rating': '4.3', 'open_time': '10:30-21:00', 'meal_ordering': '0'}"
B0H0XA2WGH,diner,沃歌斯(徐汇万科中心店),餐饮服务;外国餐厅;西餐厅(综合风味),定安路55号徐汇万科中心A座1层102-103,021-54590832,121.4247162,31.1621628,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': [], 'opentime2': [], 'rating': '4.3', 'open_time': [], 'meal_ordering': '0'}"
B0I2UHS7DJ,diner,喜家德虾仁水饺(徐汇万科中心店),餐饮服务;中餐厅;中餐厅,定安路55号徐汇万科中心1期,18408084320,121.4249268,31.1620155,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': [], 'opentime2': '10:00-20:00', 'rating': '4.5', 'open_time': '10:00-20:00', 'meal_ordering': '0'}"
B0J2H1JRAZ,diner,小满手工粉(徐汇万科中心店),餐饮服务;中餐厅;中餐厅,定安路55号徐汇万科中心1期F1层,17337659091;4000036177,121.424953,31.16123339,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': [], 'opentime2': '10:00-20:30', 'rating': '4.2', 'open_time': '10:00-20:30', 'meal_ordering': '0'}"
B0IA31A3QG,diner,锦·日本料理,餐饮服务;外国餐厅;日本料理,浦北路1号上海中星铂尔曼大酒店2楼(近柳州路),[],121.4219397,31.16337265,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '332.00', 'opentime2': [], 'rating': '3.9', 'open_time': [], 'meal_ordering': '0'}"
B0H2XGDI33,diner,真功夫(徐汇万科中心店),餐饮服务;快餐厅;快餐厅,定安路55号徐汇万科中心1期F1层,021-64360061;15921015171,121.4251025,31.16138762,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '29.00', 'opentime2': '周一至周日 10:00-21:00', 'rating': '4.1', 'open_time': '10:00-21:00', 'meal_ordering': '0'}"
