id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0JUTDCVZK,,XDS喜德盛自行车(沪闵路专卖店),购物服务;专卖店;自行车专卖店,沪闵路9234号,15201916899;18117152819,121.4284079,31.16408863,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B00156EP9Z,,全家便利店(冠生园路二店),购物服务;便民商店/便利店;便民商店/便利店,冠生园路7号,021-54015532;13166357665,121.4281644,31.16516375,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B0FFIR685J,,百年利永(上海馆),购物服务;购物相关场所;购物相关场所,钦州路231弄1-21号2楼,021-33562858,121.4266219,31.16646104,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.8'}"
B0FFGM4ZRX,,百果园(康惠苑店),购物服务;综合市场;果品市场,康健路10号,021-54503281,121.4283575,31.16727192,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B0IUS59XAB,,盒马生鲜奥莱店(康健店),购物服务;超级市场;超市,康健路18号(漕宝路地铁站5号口步行430米),13701992411,121.4272488,31.1673414,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFK1E5C5,,利永紫砂汇(河滨国际公寓店),购物服务;专卖店;专营店,钦州路209-211号河滨国际公寓,021-33562858,121.4265828,31.16684879,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0FFLQ90PQ,,全家FamilyMart(柳州路二店),购物服务;便民商店/便利店;便民商店/便利店,柳州路84-1号(上海南站地铁站8号口步行200米),021-34161725;021-60389624,121.4239575,31.15950438,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFI8Z35Q,,中国移动·手机回收换屏(泰成花苑店),购物服务;家电电子卖场;手机销售|生活服务;生活服务场所;生活服务场所,康健路11号1室(漕宝路地铁站5号口步行320米),18321627223,121.4284807,31.16752696,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0FFM13TOU,,全家便利店(康健路二店),购物服务;便民商店/便利店;便民商店/便利店,康健路21号(漕宝路地铁站5号口步行380米),13564112013;15214344419,121.4278737,31.16753713,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B00156EP81,,上海正阀五金机电(薛家宅小区店),购物服务;家居建材市场;建材五金市场,冠生园路218-5号,021-64086206;13817431482;13817670492,121.4227804,31.165345,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.7'}"
B0FFG3U8KD,,中国移动(康健店),购物服务;家电电子卖场;手机销售|生活服务;维修站点;维修站点,康健路69号,15711665616,121.4245296,31.16759187,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.4'}"
B0HKXCQP2H,,瑞奢名品·回收名表名包钻石黄金奢侈品(冠生苑冠生园路237弄店),购物服务;专卖店;专营店,钦州南路38号底层-3,13162596196,121.4214379,31.1627239,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B00155AK2N,,联华超市(桂林店),购物服务;超级市场;超市,冠生园路232号,021-34140069,121.4220434,31.16530421,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B0FFHHYRR9,,百果园(冠生苑冠生园路235弄店),购物服务;综合市场;果品市场,冠生园路235弄1-5单号冠生苑冠生园路235弄,021-64279765,121.4218062,31.16505508,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.4'}"
B0FFHIDJ5R,,汇金奥特莱斯,购物服务;商场;商场,沪闵路9001-3号(上海南站地铁站4出口步行50米),021-34769999,121.4234581,31.15651736,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0FFHMUE0E,,万商生活广场(光大店),购物服务;商场;普通商场,漕河泾街道漕宝路78号(漕宝路地铁站8号口步行430米),021-58377775,121.4242662,31.16899583,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.8'}"
B0I3UCNP2A,,瑞趣网羽体育中心,购物服务;体育用品店;体育用品店,石龙路666号长途客运南站4号门停车场内,13162885835,121.4291439,31.15488444,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFLNN345,,BruceHouse·BH家具工作室(上海光大会展中心F座店),购物服务;家居建材市场;家居建材市场,漕宝路86号上海光大会展中心F座F1层,13482627711;15202190176,121.4240919,31.16848789,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.0'}"
B0HRXKP8AR,diner,BAKER&SPICE(漕宝路店),餐饮服务;糕饼店;糕饼店|购物服务;购物相关场所;购物相关场所,和诚商务大楼北门西60米(漕宝路地铁站8号口步行270米),021-54488096;18918082706,121.4267878,31.16982153,,上海市,,上海市,,徐汇区,,"{'cost': '82.00', 'opentime2': '周一至周日 09:00-18:00', 'rating': '4.6', 'open_time': '09:00-18:00', 'meal_ordering': '0'}"
B00155GOHW,,徐汇区漕河泾菜市场,购物服务;综合市场;蔬菜市场,"冠生园路256号漕河泾农副产品市场34,35,36号摊位",021-64758268;13636392789;13681605254,121.4204845,31.16540852,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B00155GOHW,,徐汇区漕河泾菜市场,购物服务;综合市场;蔬菜市场,"冠生园路256号漕河泾农副产品市场34,35,36号摊位",021-64758268;13636392789;13681605254,121.4204845,31.16540852,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.3'}"
B0JKCUKF48,,DAHON大行折叠车徐汇专卖店,购物服务;专卖店;自行车专卖店,冠生园路393号110商铺,13917499609,121.4203273,31.1649486,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFHS1QJ9,,New Balance(上海银泰购物中心工厂店),购物服务;体育用品店;体育用品店,石龙路750-3号上海南站南广场盛泰百货B1新白伦专柜,4008902887,121.4275794,31.15441356,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B00156O55W,,徐汇日月光中心,购物服务;商场;商场,漕宝路33号日月光B3层(漕宝路地铁站出入口旁),021-64731878;021-64731888,121.4279656,31.17088953,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.7'}"
B0FFF5SYGC,,汇金奥特莱斯北商场,购物服务;商场;购物中心,沪闵路9001号-3号(上海南站地铁站2号口旁),021-34769980;021-34769999,121.4268453,31.15418472,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFK9N5R3,,齐佰惠生活超市(三江路店),购物服务;超级市场;超市,三江路32号(漕宝路地铁站3号口步行420米),13761008788;17368791229,121.4336577,31.16958652,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFJ0N3TK,,亚信口腔(徐汇日月光诊所),购物服务;个人用品/化妆品店;其它个人用品店,漕宝路33号日月光中心四楼(漕宝路地铁站出入口旁),021-34197809;021-34197949,121.4280918,31.17066681,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B0FFILKK3B,,新华书店(徐汇日月光中心店),购物服务;专卖店;书店,漕宝路33号徐汇日月光中心L2层L2-15,021-64700414,121.4283933,31.17063024,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0HABNO7CL,,Apple授权专营店(徐汇日月光店),购物服务;家电电子卖场;手机销售,漕宝路33号徐汇日月光1楼31-1室,13918908021,121.4281319,31.17081179,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.7'}"
B0JBAZB86T,,奥乐齐超市(徐汇日月光中心),购物服务;超级市场;超市,漕宝路33号徐汇日月光中心B2层B2-17,4008201973,121.4289041,31.17093479,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B0J2PS704L,,OPPO官方授权体验店(徐汇区日月光中心店),购物服务;家电电子卖场;手机销售,虹梅路街道漕宝路33号日月光中心B座L1-45-46,17621329188,121.4272775,31.17080866,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.8'}"
B0J2L525V5,,三星授权体验店(徐汇日月光店),购物服务;家电电子卖场;数码电子,漕宝路33号B座L1-31-2,021-34197998;13636568111;15921672634,121.4275569,31.17075605,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.4'}"
B0J3N5KVUH,,Hotwind(徐汇日月光店),购物服务;服装鞋帽皮具店;服装鞋帽皮具店,漕宝路33号徐汇日月光中心商场地下二层01部位B2-56-1号,021-59766557,121.4281319,31.17082179,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFGWF0PQ,,汇金奥特莱斯南商场,购物服务;商场;商场,石龙路750-3号B1层(上海南站地铁站2号口步行60米),021-34769999,121.4265589,31.15377557,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.5'}"
B0FFIYEYA7,,耐克(汇金奥特莱斯北商场店),购物服务;体育用品店;耐克专卖店,沪闵路9001号汇金奥特莱斯北商场F1层,4008806453,121.4276816,31.15386599,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
B0FFH29HLC,,科华公寓商铺,购物服务;购物相关场所;购物相关场所,钦州路500弄1-6号(漕宝路地铁站8号口步行290米),,121.4254227,31.1704025,,上海市,,上海市,,徐汇区,,"{'cost': '87000.00', 'rating': }"
B0H1U90G4J,,屈臣氏(徐汇日月光店),购物服务;超级市场;屈臣氏,漕宝路33号徐汇日月光中心F1层(漕宝路地铁站出入口旁),021-34197962;13501926072,121.4280928,31.17093968,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.4'}"
B0I0OKZIGK,,优衣库(徐汇日月光中心店),购物服务;服装鞋帽皮具店;品牌服装店,漕宝路33号徐汇日月光中心B2层B2-01/02/03/86/87/88/89/90/91/92/93,021-34197972,121.4273115,31.17106257,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': '4.6'}"
