id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0J3SS0GA9,,上海银行(漕河泾支行),金融保险服务;银行;上海银行,定安路50号,021-64366655;021-64706489;95594,121.4299267,31.16050361,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B0I0JA3X0R,,上海房产抵押贷款公司,金融保险服务;金融保险服务机构;金融保险机构,定安路55号徐汇万科中心,4008340048,121.4278914,31.1599191,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B00157GN0N,,上海农商银行(漕河泾支行),金融保险服务;银行;上海农商银行,沪闵路9450之2-3(漕宝路地铁站5号口步行430米),021-64513491,121.4290178,31.16569264,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B00155AUGQ,,上海农商银行24小时自助银行(漕河泾支行),金融保险服务;自动提款机;上海农商银行ATM,冠生园路8号闵冠商务中心F1层,,121.4289827,31.16563162,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B00155MSMU,,中国农业银行(上海漕河泾支行),金融保险服务;银行;中国农业银行,冠生园路233号(习勤路口),021-20732462;95599,121.423164,31.16510656,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B00155GRPE,,中国民生银行ATM(漕河泾支行),金融保险服务;自动提款机;中国民生银行ATM,康健路38号(康健路钦州路交界处靠近光大会展中心),,121.4256223,31.16731234,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B00155IUME,,中国建设银行(上海康健支行),金融保险服务;银行;中国建设银行,钦州南路281号,021-64364480;021-64364773;021-64364838,121.4221078,31.16213892,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B00155MSMT,,中国农业银行24小时自助银行(上海漕河泾支行),金融保险服务;自动提款机;中国农业银行ATM,冠生园路223号,,121.4231289,31.16510952,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B00155IUMF,,中国建设银行24小时自助银行(康健支行),金融保险服务;自动提款机;中国建设银行ATM,钦州南路281号,,121.4219686,31.16214677,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B0FFIED52E,,海通证券,金融保险服务;证券公司;证券公司,柳州路138号,021-64848420,121.4215421,31.16147366,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B001573ZVM,,一加投资,金融保险服务;金融保险服务机构;金融保险机构,石龙路395号,021-64820178,121.4340495,31.15677878,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B00155IB1L,,中国邮政储蓄银行(习勤路支行),金融保险服务;银行;中国邮政储蓄银行,康健路85-1号(近习勤路),021-64364014,121.4235102,31.16756868,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B0015484AE,,中国工商银行(漕宝路支行),金融保险服务;银行;中国工商银行,习勤路24号(近康健路),021-54640052,121.4232308,31.16802013,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
B0015182B3,,光大万商奥莱工厂店,金融保险服务;银行;中国光大银行,漕宝路70号上海光大会展中心C座7层,021-64326328;021-64326331,121.4246728,31.16870846,,上海市,,上海市,,徐汇区,,"{'cost': , 'rating': }"
