id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFJCJMGI,diner,润苑·悦椿轩(徐汇万科中心店),餐饮服务;中餐厅;中餐厅,定安路55号徐汇万科中心A座203,18616799693,121.4294209,31.16015308,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '350.00', 'opentime2': '11:00-21:00', 'rating': '4.9', 'open_time': '11:00-21:00', 'meal_ordering': '0'}"
B00156O98L,diner,润苑大酒楼(徐汇店),餐饮服务;中餐厅;综合酒楼,田东路258弄4号,18616799693,121.4353765,31.17557224,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '199.00', 'opentime2': '11:00-14:00；17:00-21:00', 'rating': '4.9', 'open_time': '11:00-14:00 17:00-21:00', 'meal_ordering': '0'}"
B0HR4X2THN,diner,润苑·影Vision(徐汇万科中心A座店),餐饮服务;中餐厅;中餐厅,安定路55号徐汇万科中心A座2层203(距地铁15号线上海南站出口步行670米),18616799693,121.4295401,31.15999133,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '1800.00', 'opentime2': '11:00-13:30；18:30-20:30', 'rating': '4.8', 'open_time': '11:00-13:30 18:30-20:30', 'meal_ordering': '0'}"
B0H22BHQ2T,diner,马记永·兰州牛肉面(徐汇万科中心店),餐饮服务;快餐厅;快餐厅,安定路55号徐汇万科中心A座T2-102B,17621624426,121.4295702,31.16011131,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '28.00', 'opentime2': '周一至周日 10:00-22:00', 'rating': '4.4', 'open_time': '10:00-22:00', 'meal_ordering': '0'}"
B0G0R4A55O,diner,老乡鸡(徐汇万科中心店),餐饮服务;快餐厅;快餐厅,南宁路980号一层01单元,021-64225227;18016476935;4007661777,121.4289913,31.15945484,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '33.00', 'opentime2': '10:00-21:00', 'rating': '4.6', 'open_time': '10:00-21:00', 'meal_ordering': '0'}"
B0FFF0B0QS,diner,麦当劳(中星城店),餐饮服务;快餐厅;麦当劳,柳州路99号中星城1层(上海南站地铁站8号口步行360米),021-64182052;021-64182075,121.4242208,31.160829,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '28.00', 'opentime2': '07:00-23:00', 'rating': '4.7', 'open_time': '07:00-23:00', 'meal_ordering': '0'}"
B0I33UYDPB,diner,胡子大厨·超级小炒肉(徐汇万科中心店),餐饮服务;中餐厅;中餐厅,徐汇万科中心A座,13140073771;19145607423,121.429478,31.16003022,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': [], 'opentime2': '10:30-21:00', 'rating': '4.3', 'open_time': '10:30-21:00', 'meal_ordering': '0'}"
B0H0XA2WGH,diner,沃歌斯(徐汇万科中心店),餐饮服务;外国餐厅;西餐厅(综合风味),定安路55号徐汇万科中心A座1层102-103,021-54590832,121.4293418,31.1602769,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': [], 'opentime2': [], 'rating': '4.3', 'open_time': [], 'meal_ordering': '0'}"
B00155G1IX,diner,东北农家小院(钦州路店),餐饮服务;中餐厅;东北菜,钦州路138号101室,13122248828,121.4263185,31.16517132,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': '67.00', 'opentime2': '09:00-23:00', 'rating': '4.6', 'open_time': '09:00-23:00', 'meal_ordering': '0'}"
B0I2UHS7DJ,diner,喜家德虾仁水饺(徐汇万科中心店),餐饮服务;中餐厅;中餐厅,定安路55号徐汇万科中心1期,18408084320,121.4295521,31.16012927,310000,上海市,21,上海市,310104,徐汇区,,"{'cost': [], 'opentime2': '10:00-20:00', 'rating': '4.5', 'open_time': '10:00-20:00', 'meal_ordering': '0'}"
