Column1,Column2,Column3,lat,lng
长沙徐特立公园,龙喜路(近特立路),长沙县,113.0744809,28.2605099
星沙生态公园,湘龙街道特立西路与腾辉路交汇处,长沙县,113.0658281,28.2579446
双拥公园,湘龙街道开元西路与腾辉路交汇处,长沙县,113.0663448,28.25211316
湖南松雅湖国家湿地公园,星沙街道滨湖东路,长沙县,113.093278,28.27361624
星沙文化公园,[],长沙县,113.0693922,28.23935103
湖南松雅湖国家湿地公园-礼乐广场,滨湖东路松雅湖湿地公园,长沙县,113.0971826,28.26159524
月湖公园,万家丽北路与三一大道交汇处西北角,开福区,113.0272643,28.2408203
湖南长沙县法治文化主题公园,金茂路与兴茂街交叉口东南40米,长沙县,113.0792978,28.23759504
望仙公园,东三路(松雅湖第二小学西),长沙县,113.0918418,28.25612191
滨湖林荫广场,星沙大道与滨湖路交叉口西南60米,长沙县,113.0794185,28.26382637
马栏山运动公园,鸭子铺路,开福区,113.0233296,28.22456079
鸭嘴公园,浏阳河风光带,开福区,113.0087427,28.22381227
杉仙岭社区公园,星沙街道金茂路3栋,长沙县,113.0766693,28.23769273
马栏山公园,鸭子铺路,开福区,113.0235473,28.23090122
中南社区公园,卫星路中南汽车世界(博展路店),长沙县,113.0558192,28.23913105
小象动物公园(长沙松雅湖吾悦广场店),吾悦广场(长沙松雅湖店),长沙县,113.0957401,28.25610415
泉星公园,泉塘街道泉星物流园小区,长沙县,113.1075395,28.23234818
湖南烈士公园,东风路22号,开福区,112.9933405,28.2153477
月湖公园-演艺广场,万家丽北路辅路与传媒路交叉口西180米,开福区,113.0333962,28.24004887
金科公园,向阳路与桂花路交叉口北80米,长沙县,113.0638236,28.23161851
洪西体育公园,山月路299号,开福区,113.0255251,28.2637393
龙塘水体公园,星沙街道开元东路长沙经济技术开发区,长沙县,113.124143,28.24674659
长桥公园,东七路与远大二路交叉口南180米,长沙县,113.1131152,28.21577222
银河社区公园,长沙县经济技术开发区尚都花园城,长沙县,113.0745121,28.23309439
月岛-河畔社区公园,栖凤路,开福区,113.0058536,28.24439277
九道湾社区公园,长园路与火炬路交叉处,芙蓉区,113.0079721,28.21668649
东驿体育公园,人民东路469号正东方向130米,芙蓉区,113.0594435,28.19644196
新城公园,泉塘街道星沙大道与营盘东路交叉口东140米,长沙县,113.0806003,28.21685527
晓园公园,五一大道70号(长沙火车站地铁站1号口步行210米),芙蓉区,113.0027199,28.19840481
沙湾公园,劳动东路南侧(沙湾公园地铁站2号口步行90米),雨花区,113.0339004,28.15857124
东业运动公园,泉塘街道新安路早安星城,长沙县,113.0791733,28.22063711
烟囱公园,德雅路1191号,开福区,113.0082308,28.2339148
龙华公园,大元路31号,长沙县,113.1316898,28.19748122
秀峰山公园,秀峰路69号芙蓉北路,开福区,112.9717522,28.29444066
桂花公园,桂花路97(桂花公园地铁站3号口步行180米),雨花区,112.9981748,28.17449157
长沙市望月公园,咸嘉湖路6号,岳麓区,112.9471974,28.21503806
湘郡社区公园,万家丽北路与滨湖西路交叉口南60米,长沙县,113.055971,28.27389178
磨盘洲生态公园,临河路与贤达路交叉口西北360米,雨花区,113.0695182,28.15374915
捞刀河滨水市民公园,滨河北路与知行路交叉口东260米,开福区,112.9924808,28.2636078
咸嘉湖景区,枫林一路,岳麓区,112.9362882,28.21265645
北辰滨江公园,新河街道湘江北路与秋月路交叉口西150米,开福区,112.9707732,28.23732571
滨湖路口袋公园,腾辉路与滨湖路西南角,长沙县,113.0655883,28.27174535
江湾体育公园,恒大江湾(农园路东),芙蓉区,113.0447769,28.20660411
泉塘公园-人口文化主题公园,泉塘公园(西南角),长沙县,113.1063859,28.22147245
马栏山公园-欢乐广场,三一大道辅路与文创路交叉口东280米,开福区,113.0270663,28.23677586
西湖公园-西湖文化园,[],岳麓区,112.9362822,28.21265346
鸽子湖公园,凉塘东路与蓝田北路交叉口东南100米,长沙县,113.1617278,28.24440499
银星湾公园,银星路与潇湘景观道交汇处,望城区,112.93765,28.28818531
第一湾社区公园,栖凤路与双拥街交叉口东40米,开福区,112.9990379,28.24346736
友邻公园,龙柏路147号,芙蓉区,113.0163895,28.20996387
爱民公园,芙蓉北路街道芙蓉北路,开福区,112.9784634,28.27907324
南郊公园,南二环二段442号,天心区,112.9597167,28.144392
长龙公园,长龙街道蓝田北路长龙公园,长沙县,113.1588725,28.25370646
红橡公园,马王堆红橡国际广场北(浏阳河大道),芙蓉区,113.0339678,28.21151638
景星社区公园,阳高路与东七路交叉路口西北侧(康桥长郡西南侧),长沙县,113.1118855,28.2264123
沙溪公园,泉塘安置区三期南面,长沙县,113.1168077,28.20996748
八方公园,观沙岭街道金星路与含光路交界处,岳麓区,112.9313827,28.24034666
