id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0H1NA8ATF,,方斜路-道路停车位,交通设施服务;停车场;路边停车场,方斜路与建国新路交叉口北60米,,121.4791568,31.21725537,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
BV10024873,,老西门(地铁站),交通设施服务;地铁站;地铁站,10号线;8号线,,121.479305,31.22099002,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0HGFA6OIJ,,康宁商厦地下停车场,交通设施服务;停车场;公共停车场,中华路1359号(老西门地铁站7号口步行290米),,121.4817928,31.21930205,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00156CU1R,,大吉路-道路停车位,交通设施服务;停车场;路边停车场,方斜路与大吉路交叉口南60米,,121.4782719,31.214771,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B00155MFUY,,开元坊停车场,交通设施服务;停车场;公共停车场,大吉路194号开元坊(陆家浜路地铁站4号口步行80米),,121.4807314,31.21511195,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
BV11600382,,斜桥(公交站),交通设施服务;公交车站;公交车站相关,218路;23路;303路;318路;43路;715路;730路;781路;955路;大桥一线高峰车;徐川专线,,121.4769725,31.21470131,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
BV10039882,,陆家浜路(地铁站),交通设施服务;地铁站;地铁站,8号线;9号线,,121.4816357,31.21377523,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
BV10024872,,老西门(公交站),交通设施服务;公交车站;公交车站相关,11路内圈;11路外圈;135路;220路;304路;324路;537路;736路;926路;930路,,121.479362,31.2233031,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0H2G7W5J6,,吉安路-道路停车位,交通设施服务;停车场;路边停车场,吉安路与自忠路交叉口西北40米,,121.4754386,31.22232033,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0G0276OQE,,万事利大厦陆家浜路停车场,交通设施服务;停车场;公共停车场,陆家浜路1380号(陆家浜路地铁站7号口步行320米),,121.478544,31.21275675,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
BV10339826,,老西门(复兴东路)(公交站),交通设施服务;公交车站;公交车站相关,24路;715路;775路;969路,,121.4824157,31.22234044,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
BY0001JTXF,,停车场,交通设施服务;停车场;公共停车场,西藏南路与方浜西路交叉口西60米,,121.476446,31.2231568,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
