id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFHFDXSB,,威尔仕健身(老西门新苑),体育休闲服务;运动场馆;健身中心,西藏南路688弄15号(老西门地铁站3号口步行320米),021-31659446;021-63461803,121.4787824,31.21815186,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.6'}"
B0J3PR9G1U,,乐刻健身(老西门南六MIX精品馆),体育休闲服务;运动场馆;健身中心,西藏南路686号南六B1层,13761848103,121.4791757,31.21897361,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.7'}"
B0FFHQ32TA,,执琢健身(老西门店),体育休闲服务;运动场馆;健身中心,西藏南路769-3号(文惠小区底商),15618919677,121.4802916,31.21792433,,上海市,,上海市,,黄浦区,,"{'cost': '6687.00', 'rating': '4.2'}"
B0FFG92FJR,,蚂蚁健身康复私教工作室(永惠大厦A栋店),体育休闲服务;运动场馆;健身中心,西藏南路765号永惠大厦A座1301室,15222277211;18217117371,121.4804893,31.21787493,,上海市,,上海市,,黄浦区,,"{'cost': '2885.00', 'rating': '4.0'}"
B0FFHS9K7Y,,嘉草网咖(卢湾国际广场店),体育休闲服务;娱乐场所;网吧,西藏南路518-528号地下一层,021-53865808,121.4785374,31.21961046,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.6'}"
B0K6VR1IOY,,谎宴·云胡岛剧本杀推理社,体育休闲服务;体育休闲服务场所;体育休闲服务场所,西藏南路765号永惠大厦2201室,18341310206,121.4805806,31.21795816,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.6'}"
B0GKVB2MWM,,凯平棋牌会所(永惠大厦店),体育休闲服务;娱乐场所;棋牌室,西藏南路765号永惠大厦21楼2103室,021-63330332,121.4806318,31.21767244,,上海市,,上海市,,黄浦区,,"{'cost': '61.00', 'rating': '4.2'}"
B0K6ZMSBJL,,撩8·24小时自助台球,体育休闲服务;运动场馆;台球厅,建国新路1号(实华公寓进),18516108892,121.4802927,31.21671191,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.5'}"
B00150CEAC,,斜桥游泳池,体育休闲服务;运动场馆;游泳馆,大吉路218号(陆家浜路地铁站4号口步行330米),021-63450508,121.4787094,31.21544894,,上海市,,上海市,,黄浦区,,"{'cost': '19.00', 'rating': '4.7'}"
B0HD3UQ8ZZ,,骨语荟·推拿艾灸(陆家浜路店),体育休闲服务;休闲场所;休闲场所,陆家浜路1378号万事利大厦1701室,13402025437,121.4786112,31.21303481,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.3'}"
B0FFK90QTC,,Real Gym私教工作室(新邻生活站商场店),体育休闲服务;运动场馆;健身中心,陆家浜路1100号新邻生活站商场F3层,18512115368,121.4823081,31.21345135,,上海市,,上海市,,黄浦区,,"{'cost': '260.00', 'rating': '4.0'}"
B0IRUC44IA,,六号棋牌吧(紫宇大楼店),体育休闲服务;娱乐场所;棋牌室,制造局路27紫宇大楼5层(陆家浜路地铁站7号口步行430米),16628566323,121.4780343,31.21248541,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.6'}"
