id,行业类型,名称,类型,地址,联系电话,lng,lat,省份代码,省份名称,城市代码,城市名称,区域代码,区域名称,所在商圈,rating
B0FFK5E3W4,,罗森便利店(惠达大厦店),购物服务;便民商店/便利店;便民商店/便利店,西藏南路746号(老西门地铁站3号出口步行250米),021-53098197;4008206390,121.4796956,31.2181475,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.5'}"
B0FFKQ2JIH,,南六,购物服务;商场;商场,西藏南路686号(老西门地铁站3号口步行130米),021-63231661,121.4788807,31.21894977,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.6'}"
B0G0DY5IUY,,盒马鲜生(老西门南六店),购物服务;超级市场;超市,西藏南路686号南六F1层,9510217,121.4785806,31.21905685,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.7'}"
B0015721TH,,捷安特(西藏南路店),购物服务;专卖店;自行车专卖店,西藏南路769号,13585692246,121.4803228,31.21785746,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '3.9'}"
B0FFGPNZS2,,链家(老西门店),生活服务;中介机构;中介机构|购物服务;购物相关场所;购物相关场所,建国新路53-57号(陆家浜路地铁站4号口步行490米),18516159427,121.4784193,31.21651159,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.7'}"
B00154H7MT,,红房子(方斜路店),购物服务;购物相关场所;购物相关场所|餐饮服务;餐饮相关场所;餐饮相关,方斜路419号(陆家浜路地铁站4号口步行470米),,121.4785718,31.2161642,,上海市,,上海市,,黄浦区,,"{'cost': , 'opentime2': , 'rating': '4.5', 'open_time': , 'meal_ordering': '0'}"
B0FFM1XMMH,,Poliform Shanghai 复兴荟,购物服务;家居建材市场;家具城,复兴东路1258号(老西门地铁站7号口步行80米),021-62098009,121.4793983,31.22074841,,上海市,,上海市,,黄浦区,,"{'cost': '83.00', 'rating': '4.8'}"
B0HK159R6C,,唐宁书店(上海复兴店),购物服务;专卖店;书店,复兴中路118号·C栋复兴风唐宁书店,021-63356183;18321151022,121.4758903,31.22020861,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': }"
B0FFFP5XJQ,,吉买盛超级生活广场(大兴街店),购物服务;超级市场;超市,大兴街18号3层(近陆家浜路),021-63451554;021-63452420;021-63459888,121.4838674,31.21534202,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.5'}"
B0FFG0MLGS,,新邻生活站商场,购物服务;商场;商场,陆家浜路1100号(陆家浜路地铁站6号口步行60米),021-31159030,121.482564,31.21350807,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.5'}"
B0FFGCHE4G,,名创优品(上海新邻广场店),购物服务;购物相关场所;购物相关场所,陆家浜路1100号新邻生活广场B1F层01室,18521360426,121.4821726,31.213349,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.6'}"
B0FFF5U50K,,全家便利店(陆家浜路店),购物服务;便民商店/便利店;便民商店/便利店,陆家浜路1055号(陆家浜路地铁站6号口步行320米),021-53863673;13167166959,121.4840431,31.21432302,,上海市,,上海市,,黄浦区,,"{'cost': , 'rating': '4.7'}"
